SL. No.,Ranks,Killed,Injured
1,Constables,129,3107
2,Head Constables,267,602
3,Assistant Sub-Inspectors,7,113
4,Sub-Inspectors,53,400
5,Inspectors,1,122
6,Other Gazetted Officers,4,96
Total,Total,461,4440
