SL. No.,Crime Heads,1972,1973,1974,1975,1976,1977,1978,Percentage Change Over 1977
1,Arms Act,27311,31709,40798,48134,52846,57225,57903,1.2
2,Opium Act,11459,11451,11813,12364,14301,12102,12792,5.7
3,Gambling Act ,176184,194833,194898,173126,146306,192284,235790,22.6
4,Excise Act,134329,143220,145010,90507,100381,90461,103250,14.1
5,Prohibition Act,219432,214171,347179,686438,692685,660211,686784,4
6,Explosives and Explosive Substances Act,2048,1523,1575,1961,3080,1903,1803,-5.3
7,Suppression of Immoral Traffic in Women & Girls Act,8384,11816,14825,14708,16150,13924,15448,10.9
8,Motor Vehicles Act,750071,581211,658111,757797,713820,593742,714482,20.3
9,Customs Act,28,65,284,89,103,258,195,-24.4
10,Prevention of Corruption Act,557,329,235,489,367,807,1245,54.3
11,Indian Railways Act,24127,31042,27173,34739,36534,28036,24944,-11
12,Other Offences under Local & Special Laws declared to be Cognizable but not included above,1161045,1259548,1138319,1384918,1446337,1048108,937587,-10.5
13,Total,2514975,2480918,2580140,3205270,3222910,2699061,2792223,3.5
