SL. No.,Year,Estimated Population in Millions (Mid-Year),Total Cognizable Crime Under the Indian Penal Code,Rate of Crime Per One Lakh of Population
1,1968,511.1,862016,168.7
2,1969,522.5,845167,161.8
3,1970,534.3,955422,178.8
4,1971,551.2,952581,172.8
5,1972,563.5,984773,174.8
6,1973,575.9,1077181,187
7,1974,588.3,1192277,202.7
8,1975,600.8,1160520,193.2
9,1976,613.3,1093897,178.4
10,1977,625.8,1267004,202.5
11,1978,638.4,1344968,210.7
Percentage Change in 1978 Over 1968,Percentage Change in 1980 Over 1970,24.9,56,24.9
