SL. No.,Heads of Crime,Total Cases for Trial During the Year,Cases Compounded or Withdrawn,Cases in which Trials were Completed,Cases Convicted,Cases Pending Trial at the End of the year
1,Arms Act,156730,445,48733,35714,107552
2,Opium Act,29859,66,11903,9100,17890
3,Gambling Act ,303497,609,204639,186402,98249
4,Excise Act,218265,926,88837,71178,128502
5,Prohibition Act,442,2,199,184,241
6,Explosives & Explosive Substances Act,3047,34,1187,855,1826
7,Suppression of Immoral Traffic Act,821095,11358,481642,369413,328095
8,Motor Vehicles Act,20032,203,14660,14088,5169
9,Prevention of Corruption Act,962039,4487,679277,643417,278275
10,Customs Act,2913,15,1274,1068,1624
11,Indian Railways Act,27685,59,23105,22665,4521
12,Other Offences,1076661,12435,898843,856159,165383
13,Total,3622265,30639,2454299,2210243,1137327
