SL. No.,Category,States/U.Ts./Cities,By Religion - Hindu,By Religion - Muslim,By Religion - Sikh,By Religion - Christian,By Religion - Other,By Religion - Total,By Community - Scheduled Caste,By Community - Scheduled Tribe,By Community - Other,By Community - Total,By Education - Illiterate,By Education - Below Primary,By Education - Above Primary But Below Matric/Hr. Sec.,By Education - Matric/ Higher Secondary and Above,By Education - Total,By Family Background - Living with Parents,By Family Background - Living with Guardian,By Family Background - Homeless,By Family Background - Total,Economic Set-Up - Lower Income (Below Rs. 150/PM),Economic Set-Up - Lower Middle Income (Above Rs.150 But Below Rs. 500 P.M.),Economic Set-Up - Upper Middle Income (Above Rs.500 But Below Rs. 1000 P.M.),Economic Set-Up - Upper Income (Above Rs. 1000 P.M.),Economic Set-Up - Total,Recidivism - New Delinquents,Recidivism - Old Delinquents,Recidivism - Total
1,State,Andhra Pradesh ,1824,661,51,599,333,3468,736,335,2397,3468,2059,764,606,39,3468,2040,426,1002,3468,2526,736,110,96,3468,2986,482,3468
2,State,Assam,865,803,75,92,401,2236,592,300,1344,2236,978,657,500,101,2236,1186,623,427,2236,1562,496,149,29,2236,1537,699,2236
3,State,Bihar,2540,890,56,101,9,3596,846,492,2258,3596,1594,935,885,182,3596,2465,867,264,3596,2605,781,142,68,3596,3393,203,3596
4,State,Gujarat,22008,2478,44,101,342,24973,19784,3514,1675,24973,12856,11098,899,120,24973,18407,4271,2295,24973,18752,5349,835,37,24973,22938,2035,24973
5,State,Haryana,1775,168,211,37,385,2577,818,5,1754,2577,1663,546,304,64,2577,2287,213,77,2577,NA,NA,NA,NA,2577,2074,503,2577
6,State,Himachal Pradesh,1071,55,57,7,19,1209,131,35,1043,1209,666,214,220,109,1209,1087,102,20,1209,963,218,23,5,1209,1034,175,1209
7,State,Jammu and Kashmir,177,1466,62,18,58,1781,48,13,1720,1781,1246,254,126,155,1781,816,155,810,1781,1229,367,85,100,1781,1526,255,1781
8,State,Karnataka ,2382,899,2,134,386,3803,392,253,3158,3803,1645,1048,777,333,3803,2236,535,1032,3803,2368,925,342,168,3803,3257,546,3803
9,State,Kerala,1232,203,NA,324,2,1761,69,268,1424,1761,130,314,894,423,1761,1134,598,29,1761,143,577,753,288,1761,1721,40,1761
10,State,Madhya Pradesh,12750,1993,181,171,1269,16364,1813,1754,12797,16364,7368,4149,3071,1776,16364,13697,1861,806,16364,9719,4740,1725,180,16364,15389,975,16364
