SL. No.,Category,States/U.Ts./Cities,Total Value of Property Stolen,Total Value of Property Recovered
1,State,Andhra Pradesh ,340.1,110.36
2,State,Assam,81.06,12.38
3,State,Bihar,330.09,28.11
4,State,Gujarat,439.81,104.55
5,State,Haryana,190.11,106.96
6,State,Himachal Pradesh,27.22,13.23
7,State,Jammu and Kashmir,86.83,44.76
8,State,Karnataka ,491.92,178.63
9,State,Kerala,163.44,30.02
10,State,Madhya Pradesh,593.55,189.15
11,State,Maharashtra,1353.96,484.91
12,State,Manipur,18.1,2.22
13,State,Meghalaya,11.04,5.58
14,State,Nagaland,15.2,2.48
15,State,Orissa,125.69,26.78
16,State,Punjab,198.53,122.92
17,State,Rajasthan,348.5,207.91
18,State,Sikkim ,4.79,0.77
19,State,Tamil Nadu,348.22,130.21
20,State,Tripura,11.34,1.81
21,State,Uttar Pradesh,3151.22,331.23
22,State,West Bengal ,566.97,216.31
Total (States),State,Total (States),8897.79,2351.28
23,UT,A & N Islands,2.32,0.55
24,UT,Arunachal Pradesh,6.48,2.42
25,UT,Chandigarh,42.99,17.64
26,UT,D & N Haveli,0.7,0.05
27,UT,Delhi,893.91,256.06
28,UT,"Goa, Daman & Diu",19.22,7.72
29,UT,Lakshadweep,0.04,0.01
30,UT,Mizoram,22.21,6.55
31,UT,Pondicherry,12.83,3.53
Total (UTs),UT,Total (UTs),999.87,294.52
Total (All-India),Total (All-India),Total (All-India),9897.66,2645.8
1,City,Ahmedabad ,49.72,18.45
2,City,Bangalore ,258.66,65.04
3,City,Bombay,383.5,338.91
4,City,Calcutta,384.28,202.03
5,City,Delhi,307.18,238.15
6,City,Hyderabad,59.64,18.13
7,City,Kanpur,127.35,13.04
8,City,Madras,64.84,31.93
Total (Cities),City,Total (Cities),2035.17,925.68
