SL. No.,Heads of Crime,Year - 1974,Year - 1975,Year - 1976,Year - 1977,Year - 1978
1,Murder ,1.6,1.5,1.5,1.5,1.4
2,Kidnapping & Abduction,0.9,1,1,1,1
3,Dacoity,1.1,1.1,1,1,1
4,Robbery,1.9,1.9,1.6,1.8,1.7
5,Burglary,16.8,16.6,15.4,15.3,13.7
6,Theft,36.6,36.4,33.4,34.1,32.5
7,Riots,6.7,5.8,5.8,6.3,7.2
8,Criminal Breach of Trust,1.9,2,2.2,1.8,1.7
9,Cheating ,1.3,1.5,1.8,1.5,1.5
10,Counterfeiting,0.1,0.1,0.1,0.1,0.1
11,Miscellaneous,31.1,32.2,36.2,35.6,38.2
Total,Total,100,100,100,100,100
