SL. No.,Crime Heads,Persons Arrested - 1977,Persons Arrested - 1978,Percentage Variation in 1978 Over 1977,Percentage to Total Persons Arrested During 1978
1,Total Cognizable Crimes,1538515,1825940,18.7,100
2,Murder ,42145,45958,9,2.5
3,Kidnapping & Abduction,14611,16369,12,0.9
4,Dacoity,45431,52039,14.5,2.9
5,Robbery,23265,24543,5.5,1.3
6,Burglary,112264,111095,-1,6.1
7,Thefts,244542,242479,-0.8,13.3
8,Riots,397890,534003,34.2,29.2
9,Rape,5123,5756,12.4,0.3
10,Criminal Breach of Trust,15932,17395,9.2,1
11,Cheating ,15026,14955,-0.5,0.8
12,Counterfeiting,387,297,-23.3,Neg.
13,Culpable Homicide Not Amounting to Murder,5187,5224,0.7,0.3
14,Miscellaneous,616712,755830,22.6,41.4
