SL. No.,Year,Incidence of Crime,Volume of Offences Per One Lakh of Population
1,1972,2514975,446.3
2,1973,2480918,430.8
3,1974,2580140,438.6
4,1975,3205270,533.5
5,1976,3222910,525.5
6,1977,2699061,431.3
7,1978,2792223,437.4
