SL. No.,Category,States/UTs/Cities,Murder - Incidence (I),Murder - Volume (V),Culpable Homicide Not Amounting to Murder - Incidence (I),Culpable Homicide Not Amounting to Murder - Volume (V),Rape - Incidence (I),Rape - Volume (V),Kidnapping & Abduction - Incidence (I),Kidnapping & Abduction - Volume (V),Dacoity - Incidence (I),Dacoity - Volume (V),Robbery - Incidence (I),Robbery - Volume (V),Burglary - Incidence (I),Burglary - Volume (V),Thefts - Incidence (I),Thefts - Volume (V),Riots - Incidence (I),Riots - Volume (V),Criminal Breach of Trust - Incidence (I),Criminal Breach of Trust - Volume (V),Cheating - Incidence (I),Cheating - Volume (V),Counterfeiting - Incidence (I),Counterfeiting - Volume (V),Others -  Incidence (I),Others - Volume (V),Total Cognizable Crimes - Incidence (I),Total Cognizable Crimes - Volume (V)
1,State,Andhra Pradesh ,1138,2.3,17,*,157,0.3,313,0.6,283,0.6,393,0.8,7471,15.2,18554,37.7,4461,9.1,639,1.3,734,1.5,34,0.1,33898,68.8,68092,138.2
2,State,Assam,495,2.7,48,0.3,223,1.2,573,3.1,252,1.4,390,2.1,6180,33.6,9134,49.6,4653,25.3,451,2.4,546,3,2,NA,14193,77.1,37140,201.7
3,State,Bihar,2002,3.1,269,0.4,422,0.6,964,1.5,2684,4.1,1559,2.4,15396,23.7,30385,46.8,15747,24.2,1422,2.2,983,1.5,56,0.1,28232,43.4,100121,154.1
4,State,Gujarat,896,2.9,6,*,94,0.3,542,1.7,144,0.5,813,2.6,6472,20.7,18887,60.4,1317,4.2,1485,4.7,904,2.9,8,*,30168,96.4,61736,197.3
5,State,Haryana,288,2.4,82,0.7,64,0.5,192,1.6,37,0.3,71,0.6,2782,23.6,4477,38,187,1.6,378,3.2,250,2.1,1,*,6696,56.9,15505,131.7
6,State,Himachal Pradesh,48,1.2,18,0.4,23,0.6,111,2.8,1,*,35,0.9,630,15.7,798,19.9,219,5.4,106,2.6,81,2,NA,NA,2511,62.5,4581,114
7,State,Jammu & Kashmir,83,1.5,11,0.2,117,2.1,411,7.3,20,0.4,33,0.6,1746,31.2,2083,37.2,1444,25.8,150,2.7,147,2.6,NA,NA,6198,110.7,12443,222.2
8,State,Karnataka ,784,2.3,12,*,73,0.2,292,0.9,227,0.7,872,2.6,10797,31.9,23233,68.6,5147,15.2,1144,3.4,1542,4.6,67,0.2,35946,106.1,80136,236.5
9,State,Kerala,481,1.9,2,*,74,0.3,97,0.4,32,0.1,128,0.5,4200,16.9,4204,17,5926,23.9,328,1.3,493,2,62,0.3,32591,131.5,48618,196.1
10,State,Madhya Pradesh,2193,4.4,28,0.1,858,1.7,1100,2.2,523,1,2279,4.5,27707,55.2,52707,105.1,5754,11.5,1467,2.9,1691,3.4,37,0.1,68125,135.8,164469,327.9
