SL. No.,Category,State/U.Ts,Area in Square Kms.,Estimated Mid-Year Population (in 000),Total Cognizable Crime under I.P.C.,Actual Strength of Police - Civil,Actual Strength of Police - Armed,Actual Strength of Police - Total,Number of Policemen Per 100 SQ. KM. Area,"Number of Policemen Per 10,000 of Population",Number of IPC Cases Per Civil Policeman,Percentage of civil police of total police
1,State,Andhra Pradesh ,276814,49282,68092,39207,7224,46431,16.8,9.4,1.7,84.4
2,State,Assam,78523,18411,37140,18542,9628,28170,35.9,15.3,2,65.8
3,State,Bihar,173876,64995,100121,46065,13123,59188,34,9.1,2.1,77.8
4,State,Gujarat,195984,31290,61736,45290,8816,54106,27.6,17.3,1.4,83.7
5,State,Haryana,44222,11772,15505,11753,4756,16509,37.3,14,1.3,71.2
6,State,Himachal Pradesh,55673,4020,4581,4959,2384,7343,13.2,18.3,0.9,67.5
7,State,Jammu and Kashmir (b),222236(b),5597,12443,13490,2752,16242,7.3,29,0.9,83.1
8,State,Karnataka ,191773,33876,80136,31972,2541,34513,18,10.2,2.5,92.6
9,State,Kerala,38864,24787,48618,18649,3336,21985,56.6,8.9,2.6,84.8
10,State,Madhya Pradesh,442841,50160,164469,39467,20469,59936,13.5,11.9,4.2,65.8
11,State,Maharashtra,307762,58095,150626,78359,9872,88231,28.7,15.2,1.9,88.8
12,State,Manipur,22356,1352,3363,2973,3832,6805,30.4,50.3,1.1,43.7
13,State,Meghalaya,22489,1233,1894,3213,1046,4259,18.9,34.5,0.6,75.4
14,State,Nagaland,16527,657,957,2975,5277,8252,49.9,125.6,0.3,36.1
15,State,Orissa,155782,25677,39589,19763,6304,26067,16.7,10.2,2,75.8
16,State,Punjab,50362,15336,12831,23481,4051,27532,54.7,18,0.5,85.3
17,State,Rajasthan,342214,31319,63752,33824,6968,40792,11.9,13,1.9,82.9
18,State,Sikkim ,7299,243,217,990,326,1316,18,54.2,0.2,75.2
19,State,Tamil Nadu,130069,45716,107973,40802,4395,45197,34.7,9.9,2.6,90.3
20,State,Tripura,10477,1947,5355,4070,1720,5790,55.3,29.7,0.3,70.3
21,State,Uttar Pradesh,294413,100831,217277,84051,22971,107022,36.4,10.6,2.6,78.5
22,State,West Bengal ,87853,52885,92596,41502,26090,67592,76.9,12.8,2.3,61.4
Total (States),State,Total (States),3168409,629481,1290271,605397,167881,773278,24.4,12.3,2.1,78.3
23,UT,A & N Islands,8293 @,167,701,1660,245,1905,23,114.1,0.4,87.1
24,UT,Arunachal Pradesh,83578,588,443,1103,NA,1103,1.3,18.8,0.4,100
25,UT,Chandigarh,114,433,2609,790,977,1767,1550,40.8,3.3,44.7
26,UT,D & N Haveli,491,84,220,73,68,141,28.7,16.8,3,51.8
27,UT,Delhi,1485,5547,43407,16914,5302,22216,1496,40.1,2.6,76.1
28,UT,"Goa, Daman & Diu",3813,1075,2181,1490,569,2059,54,19.2,1.5,72.4
29,UT,Lakshadweep,32,35,20,280,NA,280,875,80,0.1,100
30,UT,Mizoram,21087,418,771,1059,657,1716,8.1,41.1,0.7,61.7
31,UT,Pondicherry,480,560,4345,699,657,1356,282.5,24.2,6.2,51.5
Total (UTs),UT,Total (UTs),119373,8907,54697,24068,8475,32543,27.3,36.5,2.3,74
Total (All-India),Total (All-India),Total (All-India),3287782,638388,1344968,629465,176356,805821,24.5,12.6,2.1,78.1
