SL. No.,States/U.Ts.,District,Murder,Culpable Homicide Not Amounting to Murder,Rape,Kidnapping & Abduction,Dacoity,Robbery,Burglary,Theft,Riots,Criminal Breach of Trust,Cheating ,Counterfeiting,Total Cognizable Crimes Under IPC
1,Andhra Pradesh,Srikakulam,41,NA,6,3,4,6,185,383,133,14,16,NA,3346
2,Andhra Pradesh,Visakhapatnam,49,NA,7,17,5,7,268,1101,270,41,27,1,3233
3,Andhra Pradesh,East Godavari,56,NA,11,9,3,6,528,1190,100,60,36,6,4040
4,Andhra Pradesh,West Godavari,26,NA,12,26,2,10,430,1131,162,37,44,4,3173
5,Andhra Pradesh,Krishna,49,NA,15,21,12,23,519,1198,210,35,49,2,5727
6,Andhra Pradesh,Nellore,36,8,11,25,10,16,407,1002,261,51,39,NA,2734
7,Andhra Pradesh,Kurnool,120,NA,9,25,15,16,302,612,139,32,16,2,2753
8,Andhra Pradesh,Ongole,39,NA,NA,2,6,10,237,578,186,10,10,NA,2573
9,Andhra Pradesh,Anantapur,66,NA,5,15,39,21,476,822,381,28,29,3,3044
10,Andhra Pradesh,Guntur,74,1,3,16,7,17,601,1071,238,41,52,1,5651
11,Andhra Pradesh,Guddapah,80,NA,10,17,13,8,105,616,284,31,18,1,2654
12,Andhra Pradesh,Chittoor,60,NA,6,25,11,19,484,1198,358,46,82,3,4897
13,Andhra Pradesh,Hyderabad District,31,NA,3,6,11,17,199,345,166,19,18,1,1740
14,Andhra Pradesh,Medak,26,NA,3,8,7,10,86,182,88,10,5,NA,977
15,Andhra Pradesh,Mahbubnagar,66,2,8,9,17,25,242,259,145,12,8,NA,2177
16,Andhra Pradesh,Nalgonda,49,1,4,6,9,9,199,143,354,5,3,NA,1875
17,Andhra Pradesh,Nizamabad,40,NA,5,5,21,16,101,195,90,14,14,NA,1114
18,Andhra Pradesh,Adilabad,42,NA,7,4,32,41,190,299,116,17,23,NA,1466
19,Andhra Pradesh,Warangal,45,NA,10,16,12,23,253,514,141,14,18,2,2150
20,Andhra Pradesh,Khammam,44,NA,3,5,7,10,221,412,258,15,37,2,1916
21,Andhra Pradesh,Karimnagar,57,NA,7,8,32,38,167,198,174,12,10,NA,1971
22,Andhra Pradesh,R.P. Vijyawada,NA,3,1,2,NA,1,NA,714,14,5,2,NA,803
23,Andhra Pradesh,R.P. Secunderabad,NA,NA,NA,NA,1,1,3,255,13,1,3,NA,306
1,Assam,Goalpara,63,4,41,63,67,53,699,851,809,54,74,1,4234
2,Assam,Kamrup,54,5,19,43,31,40,1613,2220,1110,124,201,NA,7745
3,Assam,Darrang,67,7,29,74,30,22,690,919,323,38,38,NA,4024
4,Assam,Nowgaon,45,NA,40,77,40,45,799,939,545,64,66,NA,4058
5,Assam,Sibsagar,83,6,43,105,26,125,750,1385,335,50,53,NA,5276
6,Assam,Dibrugarh,88,13,17,59,18,44,366,1028,158,31,46,1,3462
7,Assam,North Lakhimpur,38,1,9,50,12,21,313,366,289,16,19,NA,1965
8,Assam,Karbi Anglong,11,3,9,24,14,12,104,151,80,13,6,NA,888
9,Assam,N.C. Hills,1,NA,1,3,2,2,27,37,18,4,NA,NA,184
10,Assam,Cachar,45,9,15,75,12,26,819,1238,986,57,43,NA,5304
1,Bihar,Patna,128,18,13,80,95,108,1000,4289,705,208,115,23,9748
2,Bihar,Nalanda,76,21,2,25,93,62,344,936,304,25,21,NA,2784
3,Bihar,Bhojpur,120,11,11,34,161,103,547,1393,474,41,26,NA,3802
4,Bihar,Rohtas,117,14,8,16,168,66,685,958,499,41,44,NA,3507
5,Bihar,Gaya,89,4,11,34,68,78,384,978,535,33,28,NA,3518
6,Bihar,Aurangabad,36,5,4,16,58,21,245,490,238,17,11,NA,1584
7,Bihar,Nawada,34,1,3,10,27,24,123,244,232,6,6,NA,1187
8,Bihar,Saran,39,11,5,22,45,24,506,493,316,27,15,NA,2389
9,Bihar,Siwan,34,5,NA,11,46,24,437,455,295,25,37,NA,1913
10,Bihar,Gopalganj,27,2,5,15,33,21,209,274,197,22,13,NA,1178
11,Bihar,West Champaran,36,12,14,14,55,19,182,578,274,28,22,2,1799
12,Bihar,East Champaran ,35,8,9,48,113,21,371,592,725,42,41,NA,2815
13,Bihar,Muzaffarpur,33,2,11,59,93,31,417,868,750,101,104,2,3284
14,Bihar,Vaishali,68,6,7,24,51,13,213,497,306,53,74,9,1811
15,Bihar,Sitamarhi,18,1,5,18,59,10,222,287,402,28,30,NA,1439
16,Bihar,Darbhanga,35,3,9,17,46,17,431,630,517,45,13,1,2277
17,Bihar,Samastipur,41,7,8,21,109,38,418,654,586,44,28,NA,2545
18,Bihar,Madhubani,22,1,3,14,69,12,554,589,576,40,15,NA,2338
19,Bihar,Begusarai,41,7,6,21,50,33,513,808,586,26,7,NA,2733
20,Bihar,Bhagalpur,86,5,10,22,133,63,560,879,749,39,33,4,3468
21,Bihar,Monghyr,74,9,15,54,149,56,474,1773,917,49,31,NA,4814
22,Bihar,East Santhalpargana,40,4,23,42,42,29,135,335,371,18,18,4,1505
23,Bihar,West Santhalpargana,46,10,20,27,40,20,451,524,457,22,15,NA,2244
24,Bihar,Saharsa,42,8,10,19,82,41,752,707,805,34,28,NA,3317
25,Bihar,Katihar,11,4,24,32,46,24,515,513,383,29,11,3,2168
26,Bihar,Purnea ,72,7,21,27,198,48,1102,954,983,42,28,1,4616
27,Bihar,Hazaribagh,55,3,14,16,186,89,671,836,385,44,21,3,3394
28,Bihar,Giridih,57,13,13,15,78,58,450,488,274,22,17,1,2413
29,Bihar,Bokaro & Dhanbad,69,21,43,47,130,129,905,1912,605,86,36,2,5611
30,Bihar,Palamau,88,14,17,28,56,37,271,555,258,46,20,NA,2142
31,Bihar,Ranchi,282,19,45,63,87,111,708,1801,429,63,20,1,5068
32,Bihar,Singhbhum,91,6,18,20,45,25,319,574,260,25,15,NA,2146
33,Bihar,Jamshedpur,25,5,14,35,7,44,176,784,166,24,26,NA,2133
34,Bihar,Rly. Patna,7,1,NA,NA,16,16,20,586,33,8,9,NA,725
35,Bihar,Rly. Jamshedpur,3,1,1,2,2,16,9,375,11,5,2,NA,492
36,Bihar,Rly. Muzaffarpur,5,NA,NA,8,8,15,26,339,98,8,7,NA,591
37,Bihar,Rly. Katihar,NA,NA,NA,8,20,13,51,437,46,6,4,NA,623
1,Gujarat,Ahmedabad Rural,33,NA,5,26,8,63,318,929,115,52,29,NA,3195
2,Gujarat,Kaira,73,NA,6,35,8,73,591,1398,108,221,89,NA,5424
3,Gujarat,Sabarkantha,29,NA,2,18,7,24,292,776,50,60,24,NA,2297
4,Gujarat,R. K. Palanpur,38,NA,3,20,9,61,310,818,66,74,27,NA,2534
5,Gujarat,Meshana,61,1,NA,25,21,152,622,2268,197,187,66,NA,5258
6,Gujarat,Rajkot City,13,NA,NA,20,4,19,142,543,31,40,39,NA,1749
7,Gujarat,Rajkot Rural,35,1,4,11,2,25,198,622,28,40,16,NA,2009
8,Gujarat,Amreli,24,NA,3,10,1,20,117,329,21,19,14,NA,1143
