SL. No.,Crime Heads,Male,Female,Total,Percentage Females
1,Murder ,45196,762,45958,1.7
2,Culpable Homicide Not Amounting to Murder,5183,41,5224,0.8
3,Rape,5744,12,5756,0.2
4,Kidnapping & Abduction,15833,536,16369,3.3
5,Dacoity,51924,115,52039,0.2
6,Robbery,24354,189,24543,0.8
7,Burglary,109253,1842,111095,1.7
8,Thefts,237338,5141,242479,2.1
9,Riots,525534,8469,534003,1.6
10,Criminal Breach of Trust,17302,93,17395,0.5
11,Cheating ,14776,179,14955,1.2
12,Counterfeiting,295,2,297,0.7
13,Total Cognizable Crimes,1795462,30478,1825940,1.7
