SL. No.,Nature of Property Stolen & Recovered,Number of Cases in which Property was Stolen,Value of Property Stolen in Rs. Lakhs,Value of Property Recovered in Rs. Lakh,Percentage of Property Recovered to Value of Property Stolen
1,Wire,12421,125.78,22.86,17.54
2,Cattles,25417,251.49,107.16,42.61
3,Cycles,64087,144.79,31.5,21.76
4,Motor Vehicles & Accessories,11527,1343.89,949.45,70.65
5,Fire Arms,912,16.21,5.77,35.6
6,Explosive,28,0.13,0.08,61.54
7,Others,310874,3179.29,893.23,28.1
8,Total,425266,5061.58,2009.25,39.7
