SL. No.,Heads of Crime ,Persons Arrested,Percentage to Total Persons Arrested
1,Arms Act,53455,1.7
2,Opium Act,12271,0.4
3,Gambling Act ,394674,12.9
4,Excise Act,107870,3.5
5,Prohibition Act,653666,21.4
6,Explosives & Explosive Substances Act,1922,0.1
7,Suppression of Immoral Traffic Act,15920,0.5
8,Motor Vehicles Act,709584,23.2
9,Prevention of Corruption Act,308,Neg.
10,Customs Act,218,Neg.
11,Indian Railways Act,33362,1.1
12,Miscellaneous Act,1078639,35.2
13,Total,3061889,100
