SL. No.,Category,State/U.Ts/Cities,Total Cognizable Crime - Male,Total Cognizable Crime - Female,Murder - Male,Murder - Female,Culpable Homicide Not Amounting to Murder - Male,Culpable Homicide Not Amounting to Murder - Female,Rape - Male,Rape - Female,Kidnapping & Abduction - Male,Kidnapping & Abduction - Female,Dacoity - Male,Dacoity - Female,Robbery - Male,Robbery - Female,Burglary - Male,Burglary - Female,Thefts - Male,Thefts - Female,Riots - Male,Riots - Female,Criminal Breach of Trust - Male,Criminal Breach of Trust - Female,Cheating - Male,Cheating - Female,Counterfeiting - Male,Counterfeiting - Female
1,State,Andhra Pradesh ,103658,3285,3011,61,15,NA,186,6,476,10,1464,7,563,5,5858,31,13037,351,29313,250,588,2,619,7,13,NA
2,State,Assam,45241,1116,723,17,57,NA,217,NA,470,3,1178,1,517,NA,6104,74,7382,241,12797,604,263,3,318,5,2,NA
3,State,Bihar,183566,601,4504,16,368,3,494,NA,1518,78,7208,NA,1444,26,7234,13,23863,195,90115,345,1423,11,1428,NA,16,NA
4,State,Gujarat,82809,741,2204,10,7,NA,123,NA,664,52,788,15,1102,10,5671,42,13135,69,10717,145,1472,7,983,6,9,NA
5,State,Haryana,20419,137,764,6,251,NA,90,NA,260,12,138,NA,141,NA,1746,NA,2988,60,736,7,282,NA,189,NA,NA,NA
6,State,Himachal Pradesh,6189,477,86,8,26,7,35,1,144,6,6,NA,43,3,322,7,638,50,1007,101,64,NA,59,1,NA,NA
7,State,Jammu & Kashmir,19364,772,141,11,10,NA,116,NA,404,3,22,NA,48,NA,1555,45,2175,49,5732,282,113,NA,106,NA,NA,NA
8,State,Karnataka ,102671,1045,1808,65,18,NA,92,NA,350,8,1169,NA,728,7,4934,43,10434,224,35794,559,741,2,840,22,14,1
9,State,Kerala,77496,2659,1142,34,2,NA,90,1,86,3,258,NA,173,4,1679,10,2784,42,31797,1236,258,2,367,8,52,NA
10,State,Madhya Pradesh,208413,1527,5481,46,106,NA,1253,NA,1698,24,1999,8,2557,25,12919,526,26253,195,37239,138,1236,8,1680,13,13,NA
11,State,Maharashtra,184961,6102,3354,167,52,1,432,NA,806,61,2768,37,3381,70,15507,459,31394,1758,40629,1247,2925,17,1712,37,10,NA
12,State,Manipur,3603,3,62,NA,1,NA,11,NA,198,1,67,NA,65,NA,226,NA,603,10,536,2,69,NA,129,NA,3,NA
13,State,Meghalaya,2697,26,88,2,4,NA,10,NA,5,NA,49,NA,75,3,212,NA,837,4,536,5,31,NA,39,NA,NA,NA
14,State,Nagaland,1024,2,44,1,5,NA,3,NA,43,NA,15,NA,32,NA,264,NA,400,1,155,NA,35,NA,28,NA,NA,NA
15,State,Orissa,57859,281,870,8,36,NA,97,2,142,2,1022,1,610,NA,5310,58,13724,153,14503,26,449,NA,282,NA,2,NA
16,State,Punjab,19089,160,1407,22,336,3,141,1,413,11,5,NA,38,NA,1099,2,1854,32,100,NA,473,NA,367,3,4,NA
17,State,Rajasthan,95729,2515,1655,30,85,NA,351,NA,1483,24,468,1,1513,11,6236,233,9322,375,33934,1254,624,1,1079,11,4,NA
18,State,Sikkim ,228,7,8,NA,5,NA,10,NA,1,2,NA,NA,6,NA,34,5,129,NA,17,NA,15,NA,2,NA,1,NA
19,State,Tamil Nadu,132998,4860,1822,79,24,NA,137,NA,585,23,178,3,181,2,4837,115,15504,564,54871,1400,731,10,777,12,34,NA
20,State,Tripura,6989,179,88,4,5,NA,26,NA,150,3,305,1,219,5,239,25,951,57,1966,84,43,NA,49,NA,NA,NA
21,State,Uttar Pradesh,255943,1471,13468,141,2771,22,1036,NA,4375,150,27489,35,8415,5,19162,95,26381,148,64194,276,3534,3,1837,10,52,NA
22,State,West Bengal ,138629,1753,2051,28,685,5,661,1,1236,44,5163,6,1940,10,5958,6,29687,438,55092,295,1517,9,1428,22,53,1
Total (States),State,Total (States),1749575,29719,44781,756,4869,41,5611,12,15507,520,51759,115,23791,186,107106,1789,233475,5016,521780,8256,16886,75,14318,157,282,2
23,UT,A & N Islands,577,12,6,NA,3,NA,1,NA,8,NA,NA,NA,3,1,36,NA,75,NA,113,10,24,NA,6,NA,NA,NA
24,UT,Arunachal Pradesh,411,4,10,1,3,NA,1,NA,5,NA,3,NA,5,NA,58,1,119,2,48,NA,9,NA,4,NA,NA,NA
25,UT,Chandigarh,3403,59,5,NA,16,NA,3,NA,19,1,NA,NA,8,1,120,1,386,12,51,4,37,3,43,NA,NA,NA
26,UT,D & N Haveli,282,7,8,1,4,NA,NA,NA,NA,NA,NA,NA,9,NA,5,NA,51,NA,67,NA,NA,NA,NA,NA,NA,NA
27,UT,Delhi,34095,143,267,2,275,NA,75,NA,278,10,124,NA,455,NA,1465,18,2140,38,1529,16,226,4,341,16,13,NA
28,UT,"Goa, Daman & Diu",3120,267,36,1,8,NA,3,NA,6,1,25,NA,35,1,314,27,465,22,1059,165,24,1,26,1,NA,NA
29,UT,Lakshadweep,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,UT,Mizoram,831,19,29,1,4,NA,34,NA,8,NA,11,NA,48,NA,52,1,223,11,14,NA,50,5,25,1,NA,NA
31,UT,Pondicherry,3151,248,54,NA,1,NA,16,NA,2,4,2,NA,NA,NA,86,5,398,40,873,18,46,5,16,1,NA,NA
Total (UTs),UT,Total (UTs),45887,759,415,6,314,NA,133,NA,326,16,165,NA,563,3,2147,53,3863,125,3754,213,416,18,461,19,13,NA
Total (All-India),Total (All-India),Total (All-India),1795462,30478,45196,762,5183,41,5744,12,15833,536,51924,115,24354,189,109253,1842,237338,5141,325534,8469,17302,93,14779,176,295,2
1,City,Ahmedabad ,9496,352,76,5,5,NA,13,NA,131,23,13,NA,22,1,437,10,1270,5,1403,104,121,10,220,8,9,NA
2,City,Bangalore ,10626,152,65,4,1,NA,18,2,17,3,120,NA,247,3,536,3,1449,50,1668,36,119,1,225,20,5,1
3,City,Bombay,29635,835,304,5,1,NA,75,NA,177,13,51,NA,430,10,1737,17,6788,337,3568,175,653,3,521,11,1,NA
4,City,Calcutta,19135,384,194,4,8,NA,29,NA,138,3,163,NA,293,3,920,1,8527,251,4051,NA,357,NA,341,8,18,1
5,City,Delhi,31596,143,142,NA,261,NA,65,NA,222,10,101,NA,400,NA,1012,18,1940,38,1329,16,223,4,331,16,13,NA
6,City,Hyderabad,5429,305,50,3,7,NA,17,NA,18,2,17,NA,51,NA,487,1,1612,157,1732,NA,19,NA,64,5,NA,NA
