SL. No.,Category,States/U.Ts/Cities,Gain - Murder,Gain - Culpable Homocide Not Ampunting to Murder (C.H.),Dispute Over Property - Murder,Dispute Over Property - Culpable Homocide Not Ampunting to Murder (C.H.),Personal Vendetta - Murder,Personal Vendetta - Culpable Homocide Not Ampunting to Murder (C.H.),Sexual Causes - Murder,Sexual Causes - Culpable Homocide Not Ampunting to Murder (C.H.),Sudden Provocation - Murder,Sudden Provocation - Culpable Homocide Not Ampunting to Murder (C.H.),Lunacy - Murder,Lunacy - Culpable Homocide Not Ampunting to Murder (C.H.),Other Causes - Murder,Other Causes - Culpable Homocide Not Ampunting to Murder (C.H.),Total - Murder,Total - Culpable Homocide Not Ampunting to Murder (C.H.)
1,State,Andhra Pradesh ,81,2,89,NA,149,NA,163,NA,30,5,7,NA,619,10,1138,17
2,State,Assam,10,38,74,14,38,3,7,NA,88,12,3,NA,275,19,495,48
3,State,Bihar,233,1,463,53,279,34,26,NA,72,22,8,NA,921,122,2002,269
4,State,Gujarat,36,NA,54,NA,44,NA,45,NA,100,NA,11,1,606,4,896,6
5,State,Haryana,5,NA,46,11,6,NA,25,9,69,30,NA,NA,137,32,288,82
6,State,Himachal Pradesh,1,NA,7,1,7,4,4,NA,7,NA,NA,NA,22,13,48,18
7,State,Jammu and Kashmir,7,NA,23,NA,11,NA,7,NA,7,7,NA,NA,28,4,83,11
8,State,Karnataka ,29,NA,88,NA,86,NA,101,1,81,1,1,NA,398,10,784,12
9,State,Kerala,5,NA,44,NA,106,NA,3,NA,57,NA,2,NA,264,2,481,2
10,State,Madhya Pradesh,142,NA,325,2,515,4,190,2,161,3,2,NA,858,17,2193,28
11,State,Maharashtra,54,NA,134,NA,146,NA,257,1,189,7,8,NA,748,15,1536,23
12,State,Manipur,2,NA,1,NA,7,3,1,NA,8,NA,NA,NA,29,NA,48,3
13,State,Meghalaya,NA,NA,3,NA,9,NA,NA,NA,14,NA,NA,1,36,3,62,4
14,State,Nagaland,12,1,NA,NA,NA,NA,NA,NA,10,2,3,NA,7,3,32,6
15,State,Orissa,22,NA,62,1,48,6,27,3,62,12,1,NA,236,13,458,35
16,State,Punjab,20,2,57,19,52,8,56,6,137,52,NA,1,238,57,560,145
17,State,Rajasthan,22,NA,127,7,153,5,10,1,40,4,8,NA,412,30,772,47
18,State,Sikkim ,0,0,3,0,2,1,0,0,3,2,0,2,0,0,8,5
19,State,Tamil Nadu,44,NA,144,NA,135,NA,166,NA,91,1,1,NA,327,24,908,25
20,State,Tripura,10,NA,9,NA,5,NA,3,NA,3,3,NA,NA,4,3,34,6
21,State,Uttar Pradesh,713,553,2135,150,135,11,1555,56,234,241,38,36,515,230,5325,1277
22,State,West Bengal ,67,24,106,109,178,84,58,12,84,52,4,NA,412,97,909,378
Total (States),State,Total (States),1515,621,3994,367,2111,163,2704,91,1547,456,97,41,7092,708,19060,2447
23,UT,A & N Islands,1,NA,NA,NA,1,NA,1,NA,2,2,NA,NA,3,NA,8,2
24,UT,Arunachal Pradesh,0,0,1,0,2,0,1,0,1,1,0,0,5,3,10,4
25,UT,Chandigarh,NA,NA,NA,NA,1,3,NA,NA,1,2,NA,NA,4,1,6,6
26,UT,D & N Haveli,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,4,4,6,4
27,UT,Delhi,8,5,67,27,46,20,12,NA,26,148,NA,NA,23,56,182,256
28,UT,"Goa, Daman & Diu",NA,NA,1,2,2,NA,2,NA,2,2,NA,NA,3,NA,10,4
29,UT,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,UT,Mizoram,3,NA,NA,NA,1,NA,1,NA,2,NA,NA,NA,14,4,21,4
31,UT,Pondicherry,NA,NA,NA,NA,NA,NA,2,1,2,NA,NA,NA,7,NA,11,1
Total (UTs),UT,Total (UTs),12,5,69,29,55,23,19,NA,36,155,NA,NA,63,68,254,281
Total (All-India),Total (All-India),Total (All-India),1527,626,4063,396,2166,186,2723,92,1583,611,97,41,7155,776,19314,2728
1,City,Ahmedabad ,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,34,2,36,2
2,City,Bangalore ,NA,NA,2,NA,4,NA,1,NA,5,NA,NA,NA,26,1,38,1
3,City,Bombay,13,NA,8,NA,27,NA,15,NA,36,NA,1,NA,91,NA,191,NA
4,City,Calcutta,3,NA,NA,NA,51,3,7,NA,NA,NA,2,NA,34,2,97,5
5,City,Delhi,4,3,57,21,36,16,12,NA,26,128,NA,NA,21,56,156,224
6,City,Hyderabad,2,NA,NA,NA,17,NA,1,NA,1,NA,NA,NA,21,2,42,2
7,City,Kanpur,37,NA,19,13,111,15,9,3,NA,NA,NA,NA,24,8,200,39
8,City,Madras,1,NA,NA,NA,12,NA,5,NA,7,NA,NA,NA,15,1,40,1
Total (Cities),City,Total (Cities),60,3,86,34,258,34,50,3,77,128,3,NA,266,72,800,274
