SL. No. ,Category, States/U.Ts/Cities                           ,Arms Act - Incidence (I),Arms Act - Volume (V),Opium Act - Incidence (I),Opium Act - Volume (V),Gambling Act - Incidence (I),Gambling Act - Volume (V),Excise Act - Incidence (I),Excise Act - Volume (V),Customs Act - Incidence (I),Customs Act - Volume (V),Explosives & Explosive Substances Act - Incidence (I),Explosives & Explosive Substances Act - Volume (V),Prohibition Act - Incidence (I),Prohibition Act - Volume (V),Suppression of Immoral Traffic in Women and Girls Act - Incidence (I),Suppression of Immoral Traffic in Women and Girls Act  - Volume (V),Motor Vehicles Act - Incidence (I),Motor Vehicles Act - Volume (V),Prevention of Corruption Act - Incidence (I),Prevention of Corruption Act - Volume (V),Indian Railways Act - Incidence (I),Indian Railways Act - Volume (V),Other offences - Incidence (I),Other offences - Volume (V),Grand Total - Incidence (I),Grand Total - Volume (V)
1,State,Andhra Pradesh ,104,0.2,6,*,36355,73.8,2836,5.8,NA,NA,77,0.2,14,*,1188,2.4,101501,206,3,NA,21,*,87970,178.5,230075,466.9
2,State,Assam,79,0.4,19,0.1,541,2.9,1176,6.4,NA,NA,13,0.1,111,0.6,10,0.1,784,4.3,NA,NA,24,0.1,1183,6.4,3940,21.4
3,State,Bihar,958,1.5,10,*,375,0.6,306,0.5,13,*,289,0,2,*,3,*,1070,1.6,15,NA,180,0.3,1375,2.1,4596,7.1
4,State,Gujarat,324,1,NA,NA,23408,74.8,NA,NA,NA,NA,26,0.1,117515,375.6,12,*,53,0.2,NA,NA,548,1.8,22573,72.1,164459,525.6
5,State,Haryana,915,7.8,1950,16.6,1799,15.3,8131,69.1,NA,NA,12,0.1,NA,NA,1,*,NA,NA,39,0.3,202,1.7,318,2.7,13367,113.6
6,State,Himachal Pradesh,60,1.5,27,0.7,11,0.3,2324,57.8,NA,NA,1,*,NA,NA,NA,NA,NA,NA,1,*,5,0.1,180,4.5,2609,64.9
7,State,Jammu & Kashmir,56,1,4,0.1,78,1.4,34,0.6,NA,NA,13,0.2,NA,NA,3,*,NA,NA,8,0.1,NA,NA,1065,19,1261,22.5
8,State,Karnataka ,118,0.3,8,*,10315,30.4,3968,11.7,NA,NA,33,0.1,35,0.1,3580,10.6,174139,514,NA,NA,35,0.1,13518,39.9,205749,607.3
9,State,Kerala,36,0.1,NA,NA,528,2.1,NA,NA,NA,NA,85,0.3,2,*,40,0.2,12,*,NA,NA,291,1.2,2697,10.9,3691,14.9
10,State,Madhya Pradesh,2527,5,343,0.7,23406,46.7,10492,20.9,NA,NA,149,0.3,869,1.7,16,*,68045,135.7,13,*,3867,7.7,42903,85.5,152630,304.3
11,State,Maharashtra,126,0.2,4,*,63399,109.1,NA,NA,NA,NA,333,0.6,199926,344.2,861,1.5,15926,27.4,2,*,6830,11.8,299477,515.5,586884,1010.3
12,State,Manipur,24,1.8,3,0.2,116,8.6,925,68.5,NA,NA,4,0.3,NA,NA,2,0.1,NA,NA,NA,NA,NA,NA,34,2.5,1108,82.1
