SL. No.,Heads of Crime ,Number of New Offenders Arrested,Number of Offenders Who have been Arrested in the Past - Once,Number of Offenders Who have been Arrested in the Past - Twice,Number of Offenders Who have been Arrested in the Past - Three times or more,Number of Offenders Who have been Arrested in the Past - Total
1,Murder ,42990,1774,604,321,45689
2,Culpable Homicide Not Amounting to Murder,4687,183,50,29,4949
3,Rape,5536,129,15,1,5681
4,Kidnapping & Abduction,15110,606,251,114,16081
5,Dacoity,43984,4084,3012,835,51915
6,Robbery,21071,1866,781,370,24088
7,Burglary,92507,10978,3972,2155,109612
8,Thefts,204655,23421,8009,4216,240301
9,Riots,514630,13549,3133,1146,532458
10,Criminal Breach of Trust,16111,801,196,57,17165
11,Cheating ,13561,674,236,127,14598
12,Counterfeiting,260,20,4,NA,284
13,Total,1624920,121958,30895,13929,1791702*
