SL. No.,Category,State/UT/City,Murder - 1990,Murder - 1991,Murder - Percentage Variation,Attempt to Commit Murder - 1990,Attempt to Commit Murder - 1991,Attempt to Commit Murder - Percentage Variation,C.H. Not Amounting to Murder - 1990,C.H. Not Amounting to Murder - 1991,C.H. Not Amounting to Murder - Percentage Variation,Rape - 1990,Rape - 1991,Rape - Percentage Variation,Kidnapping & Abduction - Total - 1990,Kidnapping & Abduction - Total - 1991,Kidnapping & Abduction - Total - Percentage Variation,Kidnapping & Abduction - Of Women & Girls - 1990,Kidnapping & Abduction - Of Women & Girls - 1991,Kidnapping & Abduction - Of Women & Girls - Percentage Variation,Kidnapping & Abduction - Of Others - 1990,Kidnapping & Abduction - Of Others - 1991,Kidnapping & Abduction - Of Others - Percentage Variation,Dacoity - 1990,Dacoity - 1991,Dacoity - Percentage Variation,Preparation & Assembly for Dacoity - 1990,Preparation & Assembly for Dacoity - 1991,Preparation & Assembly for Dacoity - Percentage Variation,Robbery - 1990,Robbery - 1991,Robbery - Percentage Variation,Burglary - 1990,Burglary - 1991,Burglary - Percentage Variation,Theft - 1990,Theft - 1991,Theft - Percentage Variation,Riots - 1990,Riots - 1991,Riots - Percentage Variation,Criminal Breach of Trust - 1990,Criminal Breach of Trust - 1991,Criminal Breach of Trust - Percentage Variation,Cheating - 1990,Cheating - 1991,Cheating - Percentage Variation,Counterfeiting - 1990,Counterfeiting - 1991,Counterfeiting - Percentage Variation,Other IPC Crimes - 1990,Other IPC Crimes - 1991,Other IPC Crimes - Percentage Variation,Total Cognizable Crimes Under IPC - 1990,Total Cognizable Crimes Under IPC - 1991,Total Cognizable Crimes Under IPC - Percentage Variation
1,State,Andhra Pradesh,2614,2794,6.9,1540,1645,6.8,57,71,24.6,601,664,10.5,983,879,-10.6,600,458,-23.7,383,421,9.9,949,1033,8.9,8,9,12.5,1121,1254,11.9,7859,8012,1.9,20808,20576,-1.1,5405,5384,-0.4,711,629,-11.5,1921,1512,-21.3,140,291,107.9,59582,56923,-4.5,104299,101676,-2.5
2,State,Arunachal Pradesh,39,55,41,36,34,-5.6,3,8,166.7,18,33,83.3,50,48,-4,32,35,9.4,18,13,-27.8,42,30,-28.6,0,0,NA,70,52,-25.7,247,191,-22.7,335,290,-13.4,33,17,-48.5,63,37,-41.3,21,32,52.4,1,0,-100,1229,1034,-15.9,2187,1861,-14.9
3,State,Assam,961,976,1.6,295,229,-22.4,50,18,-64,458,486,6.1,1109,1118,0.8,1010,1012,0.2,99,106,7.1,771,599,-22.3,22,24,9.1,1575,747,-52.6,3320,3590,8.1,7717,8236,6.7,4804,4045,-15.8,399,446,11.8,537,506,-5.8,15,14,-6.7,15470,14110,-8.8,37503,35144,-6.3
4,State,Bihar,4166,4430,6.3,4531,4006,-11.6,564,522,-7.4,1005,878,-12.6,2138,2172,1.6,1219,1236,1.4,919,936,1.8,3164,3182,0.6,200,266,33,3025,3276,8.3,8486,8130,-4.2,21981,21645,-1.5,16928,14536,-14.1,1424,1201,-15.7,1592,1310,-17.7,9,7,-22.2,55201,54371,-1.5,124414,119932,-3.6
5,State,Goa,30,38,26.7,6,7,16.7,9,8,-11.1,10,16,60,27,20,-25.9,17,14,-17.6,10,6,-40,1,3,200,0,0,NA,18,21,16.7,514,600,16.7,1047,1098,4.9,156,178,14.1,78,70,-10.3,68,67,-1.5,15,43,186.7,1759,1636,-7,3738,3805,1.8
6,State,Gujarat,1392,1591,14.3,885,900,1.7,8,25,212.5,236,304,28.8,761,1145,50.5,626,980,56.5,135,165,22.2,398,455,14.3,3,1,-66.7,881,1189,35,6013,6848,13.9,21920,25005,14.1,2768,2898,4.7,1585,3114,96.5,706,4179,491.9,87,79,-9.2,69619,76739,10.2,107262,124472,16
7,State,Haryana,542,593,9.4,256,340,32.8,122,113,-7.4,168,150,-10.7,208,293,40.9,149,248,66.4,59,45,-23.7,35,43,22.9,8,12,50,120,232,93.3,2362,2334,-1.2,4360,3965,-9.1,746,366,-50.9,225,174,-22.7,501,390,-22.2,2,5,150,19058,19574,2.7,28713,28584,-0.4
8,State,Himachal Pradesh,98,103,5.1,55,57,3.6,17,12,-29.4,63,91,44.4,138,174,26.1,113,150,32.7,25,24,-4,19,15,-21.1,0,0,NA,28,42,50,906,973,7.4,1030,1124,9.1,570,551,-3.3,112,117,4.5,116,145,25,1,3,200,5163,5802,12.4,8316,9209,10.7
9,State,Jammu & Kashmir,546,550,0.7,454,605,33.3,12,14,16.7,121,124,2.5,347,415,19.6,322,379,17.7,25,36,44,21,26,23.8,0,0,NA,75,59,-21.3,1450,1877,29.4,2384,2458,3.1,1032,791,-23.4,119,114,-4.2,134,199,48.5,0,0,NA,8352,8313,-0.5,15047,15545,3.3
10,State,Karnataka,1354,1421,4.9,506,536,5.9,49,35,-28.6,164,168,2.4,505,425,-15.8,296,240,-18.9,209,185,-11.5,302,337,11.6,1,3,200,515,513,-0.4,8833,9293,5.2,18050,19360,7.3,8058,9054,12.4,701,607,-13.4,1714,1343,-21.6,896,1622,81,59092,59772,1.2,100740,104489,3.7
11,State,Kerala,554,561,1.3,280,355,26.8,31,34,9.7,197,211,7.1,137,145,5.8,101,99,-2,36,46,27.8,68,72,5.9,0,4,@,231,226,-2.2,4800,4409,-8.1,4557,4261,-6.5,6065,7837,29.2,378,355,-6.1,1210,1007,-16.8,271,311,14.8,49919,54315,8.8,68698,74103,7.9
12,State,Madhya Pradesh,2904,3415,17.6,2979,3395,14,189,193,2.1,2302,2596,12.8,1307,1241,-5,1202,1151,-4.2,105,90,-14.3,333,342,2.7,94,127,35.1,2576,2650,2.9,24044,21870,9,43311,42536,-1.8,4809,5089,5.8,935,980,4.8,1667,1812,8.7,59,26,-55.9,122047,132159,8.3,209556,218431,4.2
13,State,Maharashtra,2795,3044,8.9,1193,1414,18.5,49,79,61.2,875,906,3.5,1181,1278,8.2,793,839,5.8,388,439,13.1,754,884,17.2,45,109,142.2,3426,3779,10.3,16177,16500,2,57152,58483,2.3,5223,4644,-11.1,2197,2383,8.5,2930,3256,11.1,216,337,56,91439,95199,4.1,185652,192295,3.6
14,State,Manipur,100,100,0,46,32,-30.4,8,0,-100,21,11,-47.6,99,113,14.1,85,86,1.2,14,27,92.9,8,17,112.5,0,0,NA,41,30,-26.8,151,150,-0.7,289,256,-11.4,147,132,-10.2,37,26,-29.7,67,84,25.4,13,27,107.7,1233,1122,-9,2260,2100,-7.1
15,State,Meghalaya,118,108,-8.5,16,13,-18.8,5,1,-80,37,28,-24.3,21,22,4.8,21,20,-4.8,0,2,@,33,22,-33.3,0,1,@,47,52,10.6,179,169,-5.6,500,549,9.8,49,41,-16.3,21,24,14.3,38,45,18.4,3,1,-66.7,649,650,0.2,1716,1726,0.6
16,State,Mizoram,27,26,-3.7,19,24,26.3,0,7,@,56,46,-17.9,12,10,-16.7,0,1,@,12,9,-25,11,19,72.7,0,0,NA,45,42,-6.7,224,304,35.7,510,615,20.6,0,0,NA,49,40,-18.4,75,57,-24,4,12,200,580,579,-0.2,1612,1781,10.5
17,State,Nagaland,71,49,-31,26,36,38.5,8,3,62.5,13,13,0,22,36,63.6,6,13,116.7,16,23,43.8,32,27,-15.6,0,0,NA,142,91,-35.9,352,308,-12.5,438,388,-11.4,24,19,-20.8,35,45,28.6,67,62,-7.5,0,2,@,597,562,-5.9,1827,1641,-10.2
18,State,Orissa,668,721,7.9,775,734,-5.3,74,90,21.6,249,313,25.7,319,310,-2.8,319,310,-2.8,0,0,NA,248,312,25.8,0,0,NA,659,825,25.2,5198,5126,-1.4,10694,10743,0.5,1914,2028,6,435,416,-4.4,379,345,-9,13,21,61.5,26322,30097,14.3,47947,52081,8.6
19,State,Punjab,2813,3048,8.4,1567,1981,26.4,129,125,-3.1,55,64,16.4,370,394,6.5,118,100,-15.3,252,294,16.7,96,78,-18.8,44,35,-20.5,567,475,-16.2,1433,1474,2.9,2901,2723,-6.1,35,27,-22.9,224,151,-32.6,293,353,20.5,4,2,-50,5600,5151,-8,16131,16081,-0.3
20,State,Rajasthan,1203,1421,18.1,1210,1448,19.7,61,52,-14.8,740,803,8.5,2107,2218,5.3,2018,2007,-0.5,89,211,137.1,86,92,7,5,5,0,1070,1257,17.5,7527,7872,4.6,13922,15013,7.8,16389,18122,10.6,915,993,8.5,3473,3678,5.9,39,88,125.6,54481,60555,11.1,103228,113617,10.1
21,State,Sikkim,9,9,0,2,2,0,0,1,@,6,9,50,2,4,100,2,4,100,0,0,NA,0,1,@,1,0,-100,10,9,-10,53,93,75.5,81,111,37,0,9,@,12,6,-50,18,11,-38.9,0,0,NA,179,204,14,373,469,25.7
22,State,Tamil Nadu,1649,1650,0.1,1120,1228,9.6,27,19,-29.6,290,316,9,789,763,-3.3,674,705,4.6,115,58,-49.6,148,116,-21.6,1,0,-100,546,520,-4.8,8259,8499,2.9,27718,28199,1.7,8138,11123,36.7,662,558,-15.7,1448,1420,-1.9,533,1190,123.3,77201,77683,0.6,128529,133284,3.7
23,State,Tripura,159,203,27.7,58,64,10.3,2,5,150,76,58,-23.7,82,80,-2.4,74,64,-13.5,8,16,100,93,140,50.5,1,6,500,176,261,48.3,739,775,4.9,1061,1098,3.5,538,516,-4.1,19,14,-26.3,20,20,0,1,1,0,2627,2353,-10.4,5652,5594,-1
24,State,Uttar Pradesh,8151,9994,22.6,8284,9588,15.7,2213,1990,-10.1,1541,1417,-8,3878,4944,27.5,3099,2824,-8.9,779,2120,172.1,2864,2353,-17.8,680,532,-21.8,7368,7695,4.4,18626,19132,2.7,46949,50861,8.3,11696,10317,-11.8,3692,3604,-2.4,3169,3077,-2.9,95,164,72.6,74779,82893,10.9,193985,208561,7.5
25,State,West Bengal,1610,1712,6.3,525,547,4.2,518,706,36.3,561,469,-16.4,938,923,-1.6,672,662,-1.5,266,261,-1.9,585,592,1.2,152,232,52.6,851,822,-3.4,1551,1376,-11.3,29311,26947,-8.1,6679,6842,2.5,825,802,-2.8,964,1098,13.9,113,72,-36.3,21464,25933,20.8,66644,69073,3.6
Total (States),State,Total (States),34573,38612,11.7,26664,29220,9.6,4205,4131,-1.8,9863,10174,3.2,17530,19170,9.4,13568,13637,0.5,3962,5533,39.7,11061,10790,-2.5,1265,1366,8,25183,26119,3.7,129303,129905,0.5,339026,346540,2.2,102203,104566,2.3,15853,16906,6.6,23128,26008,12.5,2530,4318,70.7,823642,867729,5.4,1566029,1635554,4.4
26,UT,A & N Islands,18,9,-50,7,5,-28.6,1,1,0,3,2,-33.3,8,8,0,7,8,14.3,1,0,-100,1,0,-100,0,0,NA,1,0,-100,85,60,-29.4,119,89,-25.2,35,10,-71.4,8,4,-50,5,0,-100,0,3,@,628,360,-42.7,919,551,-40
27,UT,Chandigarh,30,18,-40,17,25,47.1,3,3,0,11,7,-36.4,31,22,-29,19,14,-26.3,12,8,-33.3,0,1,@,0,0,NA,10,2,-80,137,158,15.3,788,725,-8,78,33,-57.7,18,13,-27.8,53,57,7.5,2,1,-50,606,546,-6.9,1784,1629,-8.7
28,UT,D & N Haveli,6,4,-33.3,1,1,0,0,0,NA,4,1,-75,6,4,-33.3,4,2,-50,2,2,0,3,2,-33.3,0,0,NA,5,3,-40,26,49,88.5,82,96,17.1,22,37,68.2,8,4,-50,1,1,0,1,0,-100,315,235,-25.4,480,437,-9
29,UT,Daman & Diu,4,6,50,0,1,@,1,0,-100,0,1,@,2,4,100,1,2,100,1,2,100,0,1,@,0,0,NA,1,5,400,17,24,41.2,29,57,96.6,37,30,-18.9,2,4,100,0,1,@,2,3,50,109,120,10.1,204,257,26
