SL.No.,State,City,Murder,Attempt to Commit Murder,C.H. Not Amounting to Murder,Rape,Kidnapping & Abduction - Total,Kidnapping & Abduction - of Women & Girls,Kidnapping & Abduction - of Others,Dacoity,Preparation and Assembly for Dacoity,Robbery,Burglary,Theft,Riots,Criminal Breach of Trust,Cheating,Counterfeiting,Others IPC Crimes,Total Cognizable Crimes Under IPC
1,Andhra Pradesh,Hyderabad,178,241,6,38,79,33,46,18,0,126,1493,3749,658,84,404,25,3637,10736
2,Andhra Pradesh,Vijayawada,39,36,0,23,29,18,11,22,0,46,295,1217,40,27,104,17,1525,3420
3,Andhra Pradesh,Vishakhapatnam,29,27,2,3,21,17,4,16,0,27,415,1229,101,46,71,8,1603,3598
1,Assam,Guwahati,34,14,1,31,106,102,4,47,1,91,391,1293,105,108,118,1,1328,3669
1,Bihar,Patna,140,48,8,15,39,12,27,43,0,288,354,2024,241,20,18,0,255,3493
2,Bihar,Ranchi,87,45,9,23,35,23,12,31,9,177,188,739,53,22,16,0,1258,2692
1,Gujarat,Ahmedabad,136,137,9,26,203,164,39,26,0,134,905,5382,220,581,837,23,9398,18017
2,Gujarat,Bhavnagar,25,12,0,0,3,2,1,0,0,8,67,210,32,47,28,4,965,1401
3,Gujarat,Rajkot,39,27,3,9,20,17,3,2,0,21,186,508,58,122,200,1,1873,3069
4,Gujarat,Surat,93,21,0,13,60,34,26,36,0,70,440,1430,172,76,294,0,1947,4652
5,Gujarat,Vadodara,60,93,1,5,54,51,3,32,0,48,472,2343,414,152,227,7,3751,7659
1,Karnataka,Bangalore,129,61,3,25,85,32,53,22,1,134,1854,7688,1053,252,625,1395,11984,25311
2,Karnataka,Belgaum,13,4,0,0,5,5,0,3,0,10,143,266,78,9,31,8,613,1183
3,Karnataka,Bijapur,3,9,0,4,6,6,0,1,0,1,63,153,81,8,17,0,331,677
4,Karnataka,Davanagere,9,4,0,1,5,4,1,0,0,11,79,190,63,2,10,9,866,1249
5,Karnataka,Gulbarga,3,5,1,0,3,3,0,3,0,15,103,103,57,5,14,0,698,1010
6,Karnataka,Hubli Dharwad,12,5,0,1,10,8,2,9,0,21,268,422,93,11,47,3,771,1693
7,Karnataka,Mysore,34,2,1,6,17,9,8,3,0,28,382,1105,123,19,43,20,1327,3110
8,Karnataka,Raichur,6,13,0,0,6,5,1,3,0,4,58,93,32,4,10,2,319,550
9,Karnataka,Tumkur,6,0,0,1,5,2,3,2,0,4,141,220,9,6,10,3,303,710
1,Kerala,Kochy,17,5,1,1,0,0,0,4,0,9,333,364,174,22,67,0,2166,3163
2,Kerala,Kozhikode,9,11,3,9,5,2,3,0,0,5,193,203,274,23,40,0,2442,3217
3,Kerala,Thiruvananthapuram,20,33,4,7,22,12,10,16,0,28,288,454,415,27,65,0,2723,4102
1,Madhya Pradesh,BhilaiDurg,28,37,0,29,18,16,2,9,1,67,432,798,71,10,50,4,2532,4086
2,Madhya Pradesh,Bhopal,54,102,7,67,28,28,0,5,3,112,548,1131,88,49,198,2,5966,8360
3,Madhya Pradesh,Gwalior,59,76,18,22,24,19,5,4,3,79,491,878,97,24,48,0,2865,4688
4,Madhya Pradesh,Indore,71,292,1,49,61,61,0,5,0,89,902,3133,83,76,95,0,6799,11656
5,Madhya Pradesh,Jabalpur,60,121,14,43,11,11,0,1,3,94,526,1430,77,17,79,0,3909,6385
1,Maharashtra,Aurangabad,17,21,0,12,19,14,5,16,2,59,483,1092,142,35,51,2,1271,3222
2,Maharashtra,Bombay,473,261,6,114,332,164,168,115,58,1136,2665,16201,220,687,1255,55,16319,39897
3,Maharashtra,Nagpur,143,68,2,51,87,70,17,14,0,328,792,3263,174,123,177,115,4650,9987
4,Maharashtra,Nasik,26,11,1,7,11,5,6,8,2,22,224,534,38,30,90,3,920,1927
5,Maharashtra,Pune,69,40,5,36,70,50,20,13,7,143,990,3398,178,135,253,38,6036,11411
6,Maharashtra,Solapur,19,11,0,7,3,3,0,3,0,14,108,230,30,5,28,20,683,1161
7,Maharashtra,Thane,35,29,2,24,24,15,9,21,1,82,470,982,200,35,58,3,778,2744
1,Punjab,Amritsar,125,51,2,2,14,4,10,7,0,88,50,92,0,7,31,0,120,589
2,Punjab,Jalandhar,14,11,7,4,9,3,6,0,1,7,80,127,0,8,21,0,205,494
3,Punjab,Ludhiana,115,85,15,3,30,8,22,5,12,39,225,272,1,21,30,0,472,1325
1,Rajasthan,Ajmer,20,31,6,2,32,32,0,0,0,21,130,233,121,14,93,8,687,1398
2,Rajasthan,Bharatpur,6,1,0,9,22,18,4,0,0,21,47,308,258,11,47,0,573,1303
3,Rajasthan,Bikaner,11,44,1,7,17,17,0,0,0,9,117,216,101,12,56,0,713,1304
4,Rajasthan,Jaipur,56,57,4,22,134,121,13,2,0,78,641,2149,1078,150,372,19,3479,8241
5,Rajasthan,Jodhpur,25,45,0,10,32,25,7,4,0,37,232,272,183,30,129,2,1299,2300
6,Rajasthan,Kota,28,141,3,26,89,42,47,1,0,46,361,754,277,42,146,2,1565,3481
7,Rajasthan,Udaipur,7,30,0,4,27,27,0,0,0,28,155,309,144,31,60,5,626,1426
1,Tamil Nadu,Coimbatore,26,30,0,4,10,10,0,1,0,13,227,961,407,20,44,79,1564,3386
2,Tamil Nadu,Madras,81,118,3,26,24,24,0,3,0,134,747,6135,458,126,394,449,3935,12633
3,Tamil Nadu,Madurai,34,41,0,3,13,9,4,0,0,19,244,1009,114,15,68,111,1316,2987
4,Tamil Nadu,Salem,134,87,2,3,23,23,0,14,0,27,505,1442,502,6,29,32,1221,4027
