SL. No.,Event,Number of Occasions of Police Firing,Civilians - Killed,Civilians - Injured,Policemen - Killed,Policemen - Injured
1,Riot Control,644,151,600,0,1005
2,Anti-Dacoity Operations,150,94,42,6,78
3,Against Extremists and Terrorists,1304,1441,506,246,693
4,Against Others,374,75,115,15,195
Total,Total,2472,1761,1263,267,1971
