SL. No.,Crime Head,Total Number of Persons Under Arrest* Including those from Previous Year,Persons Released Before Trial - Number,Persons Released Before Trial - Percentage to Total,Persons Chargesheeted - Number,Persons Chargesheeted - Percentage to Total,Persons Under Investigation at the End of the Year - Number,Persons Under Investigation at the End of the Year - Percentage to Total
1,Murder,117399,5614,4.8,80789,68.8,30996,26.4
2,Attempt to Commit Murder,94668,3396,3.6,68663,72.5,22609,23.9
3,C.H. Not Amounting to Murder,13691,701,5.1,9459,69.1,3531,25.8
4,Rape,19113,769,4,13275,69.5,5069,26.5
5,Kidnapping & Abduction,36771,3412,9.3,23339,63.5,10020,27.2
5,I) Of Women & Girls,24873,2573,10.3,15737,63.3,6563,26.4
5,II) Of Others,11898,839,7.1,7602,63.9,3457,29.1
6,Dacoity,51328,8585,16.7,25155,49,17588,34.3
7,Preparation & Assembly for Dacoity,7985,514,6.4,5022,62.9,2449,30.7
8,Robbery,44708,6203,13.9,28627,64,9878,22.1
9,Burglary,108212,10276,9.5,81906,75.7,16030,14.8
10,Theft,331520,31457,9.5,258795,78.1,41268,12.4
11,Riots,737754,51843,7,498482,67.6,187429,25.4
12,Criminal Breach of Trust,24057,1829,7.6,14985,62.3,7243,30.1
13,Cheating,33933,2136,6.3,21021,61.9,10776,31.8
14,Counterfeiting,2207,235,10.6,733,33.2,1239,56.1
15,Other IPC Crimes,1414875,72400,5.1,1172513,82.9,169962,12
16,Total Cognizable Crimes Under IPC,3038221,199370,6.6,2302764,75.8,536087,17.6
