SL. No. (Col. 1),Crime Head (Col. 2),Total No. of Cases for Investigation Including Pending Cases (Col. 3),Number of Cases in which - Investigation was Refused (Col. 4),Number of Cases in which - Investigation was Completed - Charge Found False/ Mistake of Law etc. (Col. 5),Number of Cases in which - Investigation was Completed - Final Report True Submitted (Col. 6),Number of Cases in which - Investigation was Completed - Chargesheets were Laid (Col. 7),Number of Cases in which - Investigation was Completed - Total (Col. 5+6+7) (Col. 8),Number of Cases Pending Investigation (Col. 9)
1,Arms Act,70494,23,282,1422,60242,61946,8525
2,Narcotic Drugs & Psychotropic Substances Act,27185,79,108,576,16261,16945,10161
3,Gambling Act,172795,65,40,121,166493,166654,6076
4,Excise Act,108113,1779,233,955,91512,92700,13634
5,Prohibition Act,664591,5176,1102,17739,516790,535631,123784
6,Explosive & Explosive Substances Act,9126,27,158,1384,3952,5494,3605
7,Immoral Traffic (P) Act,16314,0,4,1742,13798,15544,770
8,Indian Railways Act,35068,1028,243,1950,30205,32398,1642
9,Registration of Foreigners Act,3510,5,17,35,3141,3193,312
10,Protection Of Civil Rights Act,4455,35,418,128,3000,3546,874
11,Indian Passport Act,928,4,22,33,529,584,340
12,Essential Commodities Act,11854,15,330,1071,6125,7526,4313
13,Terrorist & Disruptive Activites Act,6809,6,30,2052,713,2795,4008
14,Antiquity & Art Treasure Act,17,0,2,3,7,12,5
15,Dowry Prohibition Act,2557,11,196,187,1397,1780,766
16,Other L & SL Crimes,2465530,4031,14828,10468,2365581,2390877,70622
17,Total Cognizable Crimes Under L & SL,3599346,12284,18013,39866,3279746,3337625,249437
