SL. No.,Year,Total Value of Property - Stolen,Total Value of Property - Recovered,Percentage Recovery
1,1981,16242,5341,32.9
2,1982,17657,4822,27.3
3,1983,17055,4933,28.9
4,1984,23825,6818,28.6
5,1985,22642,6712,29.6
6,1986,21925,7615,34.7
7,1987,34444,8100,23.5
8,1988,33084,9057,27.4
9,1989,33487,11287,33.7
10,1990,41817,11855,28.3
11,1991,59537,17012,28.6
12,Percentage Change in 1991 Over 1981,266.6,218.5,-13.1
