SL.No,States,District,Murder,Attempt to Commit Murder,C.H. Not Amounting to Murder,Rape,Kidnapping & Abduction - Total,Kidnapping & Abduction - of Women & Girls,Kidnapping & Abduction - of others,Dacoity,Preparation and Assembly for Dacoity,Robbery,Burglary,Theft,Riots,Criminal Breach of Trust,Cheating,Counterfeiting,Others IPC Crimes,Total Cognizable Crimes Under IPC
1,Andhra Pradesh,Adilabad,112,72,5,21,24,12,12,55,0,54,137,238,94,21,27,3,1358,2221
2,Andhra Pradesh,Anantpur,135,47,0,21,35,22,13,41,0,28,200,590,290,9,30,28,1843,3297
3,Andhra Pradesh,Chittoor,126,41,0,30,56,35,21,55,0,50,420,1302,521,32,79,51,3463,6226
4,Andhra Pradesh,Cuddapah,121,49,1,16,30,18,12,50,0,14,181,433,318,13,24,15,1826,3091
5,Andhra Pradesh,Godavari East,114,96,0,42,39,3,36,28,0,39,439,1422,116,50,100,10,3093,5588
6,Andhra Pradesh,Godavari West,71,28,0,30,19,14,5,42,0,37,340,815,124,29,60,9,2104,3708
7,Andhra Pradesh,Guntur,214,194,0,72,67,36,31,63,0,124,503,1385,279,67,124,28,3972,7092
8,Andhra Pradesh,Hyderabad,178,241,6,38,79,33,46,18,0,126,1493,3749,658,84,404,25,3637,10736
9,Andhra Pradesh,Kareemnagar,176,56,0,30,49,17,32,87,0,91,221,336,352,12,64,13,2489,3976
10,Andhra Pradesh,Khammam,91,31,0,36,21,21,0,23,0,23,184,490,196,13,32,5,2287,3432
11,Andhra Pradesh,Krishna,95,164,2,40,41,30,11,39,0,67,524,1785,214,41,108,26,3468,6614
12,Andhra Pradesh,Kurnool,147,52,2,14,33,9,24,40,0,18,161,398,127,3,38,6,1920,2959
13,Andhra Pradesh,MahabubNagar,170,59,21,34,48,19,29,60,0,52,279,554,220,26,14,5,2559,4101
14,Andhra Pradesh,Medak,134,75,5,22,31,17,14,44,0,72,296,543,204,16,27,7,2353,3829
15,Andhra Pradesh,Nalgonda,121,30,3,45,22,0,22,24,0,43,212,407,224,11,22,1,1538,2703
