SL. No.,Category,State/UT/City,Murder - Incidence (I),Murder - Volume (V),Attempt to Commit Murder - Incidence (I),Attempt to Commit Murder - Volume (V),C.H. Not Amounting to Murder - Incidence (I),C.H. Not Amounting to Murder - Volume (V),Rape - Incidence (I),Rape - Volume (V),Kidnapping & Abduction - Total - Incidence (I),Kidnapping & Abduction - Total - Volume (V),Kidnapping & Abduction - Of Women & Girls - Incidence (I),Kidnapping & Abduction - Of Women & Girls - Volume (V),Kidnapping & Abduction - Of Others - Incidence (I),Kidnapping & Abduction - Of Others - Volume (V),Dacoity - Incidence (I),Dacoity - Volume (V),Preparation & Assembly for Dacoity - Incidence (I),Preparation & Assembly for Dacoity - Volume (V),Robbery - Incidence (I),Robbery - Volume (V),Burglary - Incidence (I),Burglary - Volume (V),Theft - Incidence (I),Theft - Volume (V),Riots - Incidence (I),Riots - Volume (V),Criminal Breach of Trust - Incidence (I),Criminal Breach of Trust - Volume (V),Cheating - Incidence (I),Cheating - Volume (V),Counterfeiting - Incidence (I),Counterfeiting - Volume (V),Other IPC Crimes - incidence (I),Other IPC Crimes - Volume (V),Total Cognizable Crimes Under IPC - Incidence (I),Total Cognizable Crimes Under IPC - Volume (V)
1,State,Andhra Pradesh,2794,4.2,1645,2.5,71,0.1,664,1,879,1.3,458,0.7,421,0.6,1033,1.5,9,0,1254,1.9,8012,12,20576,30.8,5384,8.1,629,0.9,1512,2.3,291,0.4,56923,85.2,101676,152.3
2,State,Arunachal Pradesh,55,6.3,34,3.9,8,0.9,33,3.8,48,5.5,35,4,13,1.5,30,3.5,0,0,52,6,191,22,290,33.4,17,2,37,4.3,32,3.7,0,0,1034,119.3,1861,214.6
3,State,Assam,976,4.3,229,1,18,0.1,486,2.2,1118,5,1012,4.5,106,0.5,599,2.7,24,0.1,747,3.3,3590,16,8236,36.7,4045,18,446,2,506,2.3,14,0.1,14110,62.8,35144,156.4
4,State,Bihar,4430,5.1,4006,4.6,522,0.6,878,1,2172,2.5,1236,1.4,936,1.1,3182,3.7,266,0.3,3276,3.8,8130,9.4,21645,24.9,14536,16.7,1201,1.4,1310,1.5,7,0,54371,62.6,119932,138
5,State,Goa,38,3.2,7,0.6,8,0.7,16,1.4,20,1.7,14,1.2,6,0.5,3,0.3,0,0,21,1.8,600,51.2,1098,93.6,178,15.2,70,6,67,5.7,43,3.7,1636,139.5,3805,324.4
6,State,Gujarat,1591,3.8,900,2.2,25,0.1,304,0.7,1145,2.8,980,2.4,165,0.4,455,1.1,1,0,1189,2.9,6848,16.5,25005,60.4,2898,7,3114,7.5,4179,10.1,79,0.2,76739,185.5,124472,300.8
7,State,Haryana,593,3.6,340,2.1,113,0.7,150,0.9,293,1.8,248,1.5,45,0.3,43,0.3,12,0.1,232,1.4,2334,14.2,3965,24.1,366,2.2,174,1.1,390,2.4,5,0,19574,119.1,28584,173.9
8,State,Himachal Pradesh,103,2,57,1.1,12,0.2,91,1.8,174,3.4,150,2.9,24,0.5,15,0.3,0,0,42,0.8,973,18.9,1124,21.9,551,10.7,117,2.3,145,2.8,3,0.1,5802,113,9209,179.3
9,State,Jammu & Kashmir,550,7.1,605,7.8,14,0.2,124,1.6,415,5.3,379,4.9,36,0.5,26,0.3,0,0,59,0.8,1877,24.1,2458,31.6,791,10.2,114,1.5,199,2.6,0,0,8313,106.8,15545,199.7
10,State,Karnataka,1421,3.2,536,1.2,35,0.1,168,0.4,425,0.9,240,0.5,185,0.4,337,0.7,3,0,513,1.1,9293,20.6,19360,43,9054,20.1,607,1.3,1343,3,1622,3.6,59772,132.7,104489,232
