SL. No.,Crime Head,Number of Cases in which Property was - Stolen,Number of Cases in which Property was - Recovered,Percentage of Cases of Recovery,Value of Property (Rs. In lakh) - Stolen,Value of Property (Rs. In lakh) - Recovered,Percentage Recovery
1,Dacoity,10124,3021,29.8,4219.2,1390.3,33
2,Robbery,23841,8625,3.6,4083.4,1374.1,33.7
3,Burglary,126395,35958,28.4,11858.8,2566.7,21.6
4,Theft,352400,120245,34.1,25789.1,8579.3,33.3
5,Criminal Breach of Trust,14591,4680,32.1,8107.5,1086.2,13.4
6,Others,28804,8177,28.4,5478.9,2015,36.8
7,Total,556155,180706,32.5,59537.1,17011.7,28.6
