SL. No.,Crime Head,Number of Cases Reported During - 1990,Number of Cases Reported During - 1991,Percentage change in 1991 Over 1990
1,Arms Act,169,169,0
2,Narcotic Drugs & Psychotropic Substances Act,38,43,13.2
3,Gambling Act,1707,1477,-13.5
4,Excise Act,386,369,-4.4
5,Prohibition Act,3871,2841,-26.6
6,Explosive & Explosive Substances Act,17,13,-23.5
7,Immoral Traffic (Prevention) Act,341,283,-17
8,Indian Railways Act,70,16,-77.1
9,Registration of ForeignersAct,27,20,-25.9
10,Protection Of Civil Rights Act,9,15,66.7
11,Indian Passport Act,1,0,-100
12,Essential Commodities Act,39,4,-89.7
13,Terrorist & Disruptive Activites Act,12,4,-66.7
14,Antiquity & Art Treasure Act,0,0,0
15,Dowry Prohibition Act,13,13,0
16,Other LSL Crimes,8099,16876,108.4
17,Total Cognizable Crimes Under LSL,14799,22143,49.6
