SI.No.,Category,State/UT,Persons in Custody/ Bail During investigation at beginning of the Year,Persons Arrested during the year,Persons released by Police /Court before trial,Persons in Custody/Bail during investigation at the end of year,Persons in whose cases chargesheets were laid,Persons under trial at the beginning of the year,Total Persons under Trial,No. of Persons whose cases withdrawn or otherwise disposed of,Persons in Custody /Bail during trial at the end of the Year,Persons in whose cases trial Completed,Persons Convicted,Persons Acquitted,Percentage of Persons Convicted to total trial Completed,Persons reported for regular Deptt.Action,Persons reported for suitable action,Persons Punished Departmentally - Dismissed from Service,Persons Punished Departmentally - Removed from Service,Persons Punished Departmentally - awarded other Major punishment,Persons Punished Departmentally - awarded Minor Punishment,Gazetted or equal Status officers in government or public undertaking involved - Group 'A' officers,Gazetted or equal Status officers in government or public undertaking involved - Group 'B' officers,Non Gazetted or equal Status officers in Govt. or Public undertaking involved,Private Persons involved
1,State,Andhra Pradesh,0,113,113,0,52,282,334,6,0,46,21,25,45.7,32,0,8,1,104,49,0,46,87,4
2,State,Arunachal Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
3,State,Assam,0,0,0,0,1,0,1,0,0,0,0,0,NA,0,0,0,0,0,0,3,1,0,0
4,State,Bihar,2,14,14,14,170,337,507,0,0,0,0,0,NA,23,0,0,0,0,0,41,23,55,46
5,State,Goa,0,3,0,3,0,9,9,0,9,0,0,0,NA,0,0,0,0,0,0,0,0,0,3
6,State,Gujarat,343,255,215,210,269,599,868,7,910,75,20,55,26.7,2,43,1,0,0,0,24,61,192,25
7,State,Haryana,193,38,15,141,24,123,147,7,156,21,4,17,19,0,15,0,0,0,0,1,5,50,7
8,State,Himachal Pradesh,42,47,40,54,14,320,334,9,313,2,0,2,0,0,5,0,0,0,0,11,13,18,6
9,State,Jammu & Kashmir,0,0,0,0,157,346,503,58,444,32,11,21,34.4,17,172,0,0,0,0,0,51,97,5
10,State,Karnataka *,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,State,Kerala,83,18,18,90,9,83,92,0,81,11,6,5,54.5,0,0,0,0,0,0,0,6,12,0
12,State,Madhya Pradesh,525,157,0,682,96,0,96,0,612,31,7,24,22.6,14,55,1,1,28,26,7,30,120,0
13,State,Maharashtra,0,52,52,3,354,965,1319,0,0,162,56,106,34.6,3,2,0,1,3,14,15,30,193,25
14,State,Manipur,3,3,3,6,7,46,53,0,6,3,0,3,0,0,0,0,0,0,0,7,0,6,3
15,State,Meghalaya,6,0,0,6,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
16,State,Mizoram,0,0,0,0,0,0,0,0,0,1,0,1,NA,0,0,0,0,0,0,0,0,0,0
17,State,Nagaland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,State,Orissa,124,191,191,315,191,704,895,0,879,16,5,11,31.3,27,0,0,0,15,2,22,39,92,18
19,State,Punjab,291,156,156,277,3,398,401,29,433,123,26,97,21.1,5,8,0,0,5,8,12,24,119,1
20,State,Rajasthan,108,111,111,101,89,93,182,9,0,26,5,21,19.2,560,0,0,9,12,0,4,352,421,1
21,State,Sikkim,0,0,0,0,1,0,1,2,0,0,0,0,NA,0,0,0,0,0,0,0,0,1,0
22,State,Tamil Nadu,63,117,0,75,69,166,235,0,210,25,14,11,56,15,0,8,5,39,181,0,20,90,7
23,State,Tripura,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
24,State,Uttar Pradesh,5,6,4,11,5,70,75,35,102,15,0,15,0,23,17,1,0,1,5,2,17,58,7
25,State,West Bengal,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
Total (States),State,Total (States),1788,1281,932,1988,1511,4541,6052,162,4155,589,175,414,29.7,721,317,19,17,207,285,149,718,1611,158
26,UT,A & N Islands,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
27,UT,Chandigarh,4,5,5,8,1,3,4,4,2,1,0,1,0,0,0,0,0,0,0,0,0,4,1
28,UT,D & N Haveli,0,0,0,0,0,1,1,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
29,UT,Daman & Diu,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
30,UT,Delhi,89,32,32,56,64,130,194,4,194,0,0,0,NA,13,0,0,0,0,0,1,0,31,0
31,UT,Lakshadweep,0,1,1,0,2,0,2,0,1,0,0,0,NA,0,0,0,0,0,0,0,0,1,0
32,UT,Pondicherry,8,6,0,14,0,5,5,3,2,3,1,2,33.3,0,0,0,0,0,0,0,0,6,0
Total (UTs),UT,Total (UTs),101,44,38,78,67,139,206,11,199,4,1,3,25,13,0,0,0,0,0,1,0,42,1
Total (All-India),Total (All-India),Total (All-India),1889,1325,970,2066,1578,4680,6258,173,4354,593,176,417,29.7,734,317,19,17,207,285,150,718,1653,159
