SL. No.,Category,State/UT/City,DG/IG/DIG/SP - Sanctioned,DG/IG/DIG/SP - Actual,ASP & DSP - Sanctioned,ASP & DSP - Actual,"Inspector, SI & A.S.I. - Sanctioned","Inspector, SI & A.S.I. - Actual",Officers Below A.S.I. - Sanctioned,Officers Below A.S.I. - Actual,Grand Total - Sanctioned,Grand Total - Actual
1,State,Andhra Pradesh,169,166,292,280,5143,4476,56038,50815,61642,55737
2,State,Arunachal Pradesh,19,14,36,20,423,391,2200,1994,2678,2419
3,State,Assam,129,111,158,118,4551,4347,19434,18682,24272,23258
4,State,Bihar,199,195,394,388,11760,11676,48201,47155,60554,59414
5,State,Goa,9,9,14,14,229,209,1882,1703,2134,1935
6,State,Gujarat,94,90,175,154,2907,2225,45627,44544,48803,47013
7,State,Haryana,62,45,111,84,2754,2513,21916,19769,24843,22411
8,State,Himachal Pradesh,87,87,85,80,1072,1039,7511,7102,8755,8308
9,State,Jammu & Kashmir,83,81,170,170,2766,2739,15806,15306,18825,18296
10,State,Karnataka,99,91,167,150,4545,4213,38490,37575,43301,42029
11,State,Kerala,64,64,159,158,2260,2216,29288,28157,31771,30595
12,State,Madhya Pradesh,258,258,623,623,8178,8178,52834,52834,61893,61893
13,State,Maharashtra,165,158,349,319,13574,12329,102243,100992,116331,113798
14,State,Manipur,35,32,50,49,1062,802,3966,3993,5113,4876
15,State,Meghalaya,29,21,32,23,1048,944,5077,4473,6186,5461
16,State,Mizoram,20,20,35,33,559,523,1959,1884,2573,2460
17,State,Nagaland,38,38,32,32,703,669,6845,6835,7618,7574
18,State,Orissa,128,125,190,174,5235,4818,21298,20414,26851,25531
19,State,Punjab,108,127,209,162,5488,4577,38434,36456,44239,41322
20,State,Rajasthan,229,229,269,269,4967,4633,40084,37213,45549,42344
21,State,Sikkim,24,18,38,14,216,216,1542,1542,1820,1790
22,State,Tamil Nadu,163,147,331,253,6114,4148,54187,51022,60795,55570
23,State,Tripura,33,30,67,25,1254,994,3243,3243,4597,4292
24,State,Uttar Pradesh,325,284,916,678,13321,12104,117167,115150,131729,128216
25,State,West Bengal,173,161,288,239,11089,10254,46306,43923,57856,54577
Total (States),State,Total (States),2742,2601,5190,4509,111218,101233,781578,752776,900728,861119
26,UT,A & N Islands,3,3,12,9,349,302,1567,1387,1931,1701
27,UT,Chandigarh,4,4,9,9,416,366,2175,2343,2604,2722
28,UT,D & N Haveli,0,0,1,1,14,11,229,201,244,213
29,UT,Daman & Diu,1,1,2,2,26,14,235,214,264,231
30,UT,Delhi,53,51,157,139,8246,6961,31965,29324,40421,36475
31,UT,Lakshadweep,1,1,1,1,53,7,312,270,367,319
32,UT,Pondicherry,3,3,12,12,119,112,966,942,1100,1069
Total (UTs),UT,Total (UTs),65,63,194,173,9223,7813,37449,34681,46931,42730
Total (All-India),Total (All-India),Total (All-India),2807,2664,5384,4682,120441,109046,819027,787457,947659,903849
33,City,Ahmedabad,12,12,13,13,535,434,5909,5810,6469,6269
34,City,Bangalore,8,8,17,17,997,986,6534,6376,7556,7387
35,City,Bombay,30,27,85,80,4442,4172,20518,19890,25075,24169
36,City,Calcutta,22,22,191,79,2932,2685,10951,10699,13996,13485
37,City,Delhi,53,51,157,139,8246,6961,31965,29324,40421,36475
38,City,Hyderabad,15,15,31,31,607,565,5289,4754,5942,5365
39,City,Jaipur,5,5,10,10,451,444,4530,4515,4996,4974
40,City,Kanpur,2,2,16,16,523,492,4936,4793,5477,5303
41,City,Lucknow,4,4,13,13,426,399,2849,2773,3292,3189
42,City,Madras,11,11,46,46,861,861,9588,8446,10506,9364
43,City,Nagpur,5,5,12,10,508,437,4238,4199,4763,4651
44,City,Pune,6,6,12,12,453,432,3276,3222,3747,3672
