SL. No.,Rank,Killed - In Dacoity Operation or Other Raids,Killed - By Riotous Mobs,Killed - By Other Criminals,Killed - On Border Duties,Killed - In Accidents,Killed - Total,Injured - In Dacoity Operation or Other Raids,Injured - By Riotous Mobs,Injured - By Other Criminals,Injured - On Border Duties,Injured - In Accidents,Injured - Total
1,Constables,38,39,312,19,186,594,198,1922,1034,35,420,3609
2,Head Constables,7,9,60,4,53,133,36,385,109,6,74,610
3,Asstt. Sub-Inspector,4,4,26,1,23,58,15,110,43,5,16,189
4,Sub-Inspector,6,7,24,0,21,58,41,263,102,7,42,455
5,Inspector,2,0,12,0,2,16,6,98,14,2,3,123
6,Others (Gazetted Officers),0,0,10,0,5,15,2,80,36,0,11,129
Total,Total,57,59,444,24,290,874,298,2858,1338,55,566,5115
