SL. No.,Category,State/UT/City,Murder - Male,Murder - Female,Murder - Total,Attempt to Commit Murder - Male,Attempt to Commit Murder - Female,Attempt to Commit Murder - Total,C.H. Not Amounting to Murder - Male,C.H. Not Amounting to Murder - Female,C.H. Not Amounting to Murder - Total,Rape - Male,Rape - Female,Rape - Total,Kidnapping & Abduction - Total - Male,Kidnapping & Abduction - Total - Female,Kidnapping & Abduction - Total - Total,Kidnapping & Abduction - Of Women & Girls - Male,Kidnapping & Abduction - Of Women & Girls - Female,Kidnapping & Abduction - Of Women & Girls - Total,Kidnapping & Abduction - Of Others - Male,Kidnapping & Abduction - Of Others - Female,Kidnapping & Abduction - Of Others - Total,Dacoity - Male,Dacoity - Female,Dacoity - Total,Preparation & Assembly for Dacoity - Male,Preparation & Assembly for Dacoity - Female,Preparation & Assembly for Dacoity - Total,Robbery - Male,Robbery - Female,Robbery - Total,Burglary - Male,Burglary - Female,Burglary - Total,Theft - Male,Theft - Female,Theft - Total,Riots - Male,Riots - Female,Riots - Total,Criminal Breach of Trust - Male,Criminal Breach of Trust - Female,Criminal Breach of Trust - Total,Cheating - Male,Cheating - Female,Cheating - Total,Counterfeiting - Male,Counterfeiting - Female,Counterfeiting - Total,Other IPC Crimes - Male,Other IPC Crimes - Female,Other IPC Crimes - Total,Total Cognizable Crimes Under IPC - Male,Total Cognizable Crimes Under IPC - Female,Total Cognizable Crimes Under IPC - Total
1,State,Andhra Pradesh,7263,205,7468,3454,204,3658,91,1,92,850,46,896,1150,102,1252,428,91,519,722,11,733,2584,27,2611,36,0,36,1538,2,1540,5643,25,5668,12550,190,12740,33444,669,34113,372,67,439,1144,34,1178,56,3,59,81844,2011,83855,152019,3856,155605
2,State,Arunachal Pradesh,54,3,57,50,0,50,4,0,4,40,0,40,51,3,54,38,3,41,13,0,13,74,0,74,0,0,0,84,0,84,131,0,131,260,11,271,74,6,80,30,0,30,30,0,30,0,0,0,1101,27,1128,1983,50,2033
3,State,Assam,1421,0,1421,260,0,260,27,0,27,474,0,474,1171,9,1180,977,9,986,194,0,194,1709,0,1709,75,0,75,1212,0,1212,3312,7,3319,6505,41,6546,11479,69,11548,418,0,418,454,2,456,21,0,21,15742,13,15755,44280,141,44421
4,State,Bihar,9949,170,10119,9824,143,9967,830,0,830,1261,0,1261,3669,341,4010,2046,222,2268,1623,119,1742,6244,25,6269,1147,0,1147,4397,19,4416,6986,40,7026,20462,715,21177,78291,801,79092,1803,14,1817,1789,81,1870,15,,15,118221,1205,119426,264888,3554,268442
5,State,Goa,94,3,97,15,0,15,15,0,15,20,0,20,32,2,34,12,1,13,20,1,21,16,0,16,0,0,0,25,0,25,487,4,491,641,29,670,905,98,1003,73,10,83,80,5,85,22,0,26,2018,119,2137,4443,274,4717
6,State,Gujarat,3349,245,3594,3176,105,3281,102,6,108,441,16,457,1253,79,1332,1011,68,1079,242,11,253,1745,6,1751,7,0,7,1552,28,1580,5425,155,5580,13291,610,13901,15682,681,16363,2415,82,2497,2698,55,2753,35,4,35,103286,6417,109703,154457,8485,162942
7,State,Haryana,1248,49,1297,940,8,948,262,4,266,223,0,223,324,4,328,265,2,267,59,2,61,196,0,196,17,0,17,354,1,355,1950,3,1953,3637,18,3655,2393,43,2436,122,0,122,469,2,471,3,0,3,30813,335,31148,42951,467,43418
8,State,Himachal Pradesh,155,13,168,86,4,90,21,2,23,126,1,127,153,17,170,142,17,159,11,0,11,12,0,12,0,0,0,42,1,43,581,4,585,673,29,702,2521,270,2791,145,10,155,118,11,129,0,0,0,7383,853,8236,12016,1215,13231
9,State,Jammu & Kashmir,379,4,383,870,24,894,24,2,26,155,3,158,376,10,386,376,10,386,0,0,0,36,9,45,0,0,0,73,5,78,662,1,663,2254,23,2277,3184,211,3395,112,3,115,193,5,198,0,0,0,10616,767,11383,18934,1067,20001
10,State,Karnataka,2639,210,2849,2137,23,2160,34,0,34,260,5,265,501,26,527,263,16,279,238,10,248,901,8,909,13,0,13,525,1,526,3431,35,3466,8309,179,8488,43513,2270,45783,353,12,365,839,39,878,86,5,91,74607,3815,78422,138148,6628,144776
