SL. No.,Category,State/UT/City,Arms Act - Incidence (I),Arms Act - Volume (V),Narcotic Drugs and Psychotropic Substances Act - Incidence (I),Narcotic Drugs and Psychotropic Substances Act - Volume (V),Gambling Act - Incidence (I),Gambling Act - Volume (V),Excise Act - Incidence (I),Excise Act - Volume (V),Prohibition Act - Incidence (I),Prohibition Act - Volume (V),Explosives and Explosive Substances Act - Incidence (I),Explosives and Explosive Substances Act - Volume (V),Immoral Traffic (Prevention) Act - Incidence (I),Immoral Traffic (Prevention) Act - Volume (V),Indian Railways Act - Incidence (I),Indian Railways Act - Volume (V),Registration of Foreigners Act - Incidence (I),Registration of Foreigners Act - Volume (V),Protection of Civil Rights Act - Incidence (I),Protection of Civil Rights Act - Volume (V),Indian Passport Act - Incidence (I),Indian Passport Act - Volume (V),Essential Commodities Act - Incidence (I),Essential Commodities Act - Volume (V),Terrorist & Disruptive Activites Act - Incidence (I),Terrorist & Disruptive Activites Act - Volume (V),Antiquity & Art Treasure Act - Incidence (I),Antiquity & Art Treasure Act - Volume (V),Dowry Prohibition Act - Incidence (I),Dowry Prohibition Act - Volume (V),Other LSL Crimes - Incidence (I),Other LSL Crimes - Volume (V),Total Cognizable Crimes Under LSL - Incidence (I),Total Cognizable Crimes Under LSL - Volume (V)
1,State,Andhra Pradesh,515,0.8,135,0.2,34326,51.4,4586,6.9,0,0,436,0.7,956,1.4,60,0.1,3,0,396,0.6,0,0,15,0,82,0.1,3,0,87,0.1,495936,742.7,537536,805
2,State,Arunachal Pradesh,21,2.4,12,1.4,0,0,0,0,0,0,6,0.7,0,0,0,0,4,0.5,0,0,0,0,1,0.1,1,0.1,0,0,0,0,8,0.9,53,6.1
3,State,Assam,334,1.5,110,0.5,214,1,560,2.5,163,0.7,75,0.3,2,0,14,0.1,14,0.1,0,0,8,0,22,0.1,1410,6.3,3,0,41,0.2,618,2.8,3588,16
4,State,Bihar,2745,3.2,111,0.1,277,0.3,1233,1.4,0,0,582,0.7,15,0,300,0.3,20,0,4,0,5,0,807,0.9,0,0,0,0,526,0.6,2293,2.6,8918,10.3
5,State,Goa,3,0.3,33,2.8,1441,122.8,2,0.2,0,0,3,0.3,75,6.4,0,0,13,1.1,4,0.3,0,0,5,0.4,0,0,0,0,1,0.1,510,43.5,2090,178.2
6,State,Gujarat,421,1,275,0.7,13151,31.8,0,0,141871,342.9,59,0.1,4,0,926,2.2,31,0.1,221,0.5,50,0.1,465,1.1,0,0,0,0,7,0,37399,90.4,194880,471
7,State,Haryana,1877,11.4,814,5,2492,15.2,14882,90.5,3,0,24,0.1,1,0,1242,7.6,0,0,1,0,0,0,145,0.9,18,0.1,0,0,0,0,1438,8.7,22937,139.5
8,State,Himachal Pradesh,18,0.4,85,1.7,90,1.8,4290,83.5,0,0,7,0.1,0,0,2,0,10,0.2,19,0.4,0,0,41,0.8,1,0,0,0,2,0,467,9.1,5032,98
9,State,Jammu & Kashmir,277,3.6,45,0.6,0,0,3,0,0,0,235,3,3,0,0,0,1,0,4,0.1,48,0.6,138,1.8,1972,25.3,0,0,0,0,346,4.4,3072,39.5
10,State,Karnataka,61,0.1,100,0.2,5810,12.9,1937,4.3,5,0,52,0.1,2324,5.2,31,0.1,61,0.1,850,1.9,6,0,588,1.3,3,0,4,0,336,0.7,458988,1019.2,471156,1046.2
11,State,Kerala,101,0.3,432,1.5,875,3,909,3.1,195,0.7,172,0.6,43,0.1,198,0.7,8,0,30,0.1,10,0,92,0.3,0,0,0,0,1,0,4772,16.4,7838,26.9
12,State,Madhya Pradesh,5079,7.6,1116,1.7,18256,27.4,15474,23.2,4,0,450,0.7,6,0,17434,26.1,13,0,367,0.6,0,0,399,0.6,8,0,0,0,108,0.2,142782,214.1,201496,302.1
13,State,Maharashtra,1670,2.1,4193,5.3,34984,44.1,1,0,134606,169.7,173,0.2,622,0.8,4644,5.9,1068,1.3,288,0.4,50,0.1,596,0.8,41,0.1,0,0,15,0,327706,413.1,510657,643.8
14,State,Manipur,13,0.7,185,10,59,3.2,2822,153.3,0,0,4,0.2,0,0,0,0,13,0.7,0,0,0,0,3,0.2,86,4.7,0,0,0,0,86,4.7,3271,177.7
15,State,Meghalaya,26,1.5,18,1,88,5,2,0.1,0,0,5,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,2.8,188,10.6
16,State,Mizoram,19,2.7,100,14.5,3,0.4,0,0,0,0,6,0.9,0,0,0,0,103,14.9,0,0,0,0,2,0.3,6,0.9,0,0,0,0,433,62.7,672,97.3
17,State,Nagaland,52,4.2,123,10,9,0.7,96,7.8,0,0,9,0.7,0,0,1,0.1,2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,156,12.6,448,36.3
18,State,Orissa,126,0.4,85,0.3,844,2.7,397,1.3,0,0,102,0.3,5,0,30,0.1,1,0,20,0.1,0,0,157,0.5,0,0,0,0,18,0.1,1760,5.6,3545,11.2
19,State,Punjab,2738,13.5,1303,6.4,1595,7.9,11127,54.8,0,0,151,0.7,0,0,378,1.9,14,0.1,0,0,80,0.4,189,0.9,17,0.1,0,0,0,0,357,1.8,17949,88.4
20,State,Rajasthan,2453,5.6,939,2.1,2879,6.5,2995,6.8,0,0,204,0.5,149,0.3,976,2.2,25,0.1,182,0.4,106,0.2,306,0.7,26,0.1,0,0,2,0,65912,149.2,77154,174.6
21,State,Sikkim,11,2.7,0,0,3,0.7,73,18,0,0,4,1,0,0,0,0,19,4.7,0,0,0,0,8,2,0,0,0,0,0,0,163,40.2,281,69.4
22,State,Tamil Nadu,149,0.3,4638,8.3,33597,60.1,0,0,271232,485.3,517,0.9,9803,17.5,688,1.2,639,1.1,698,1.2,118,0.2,74,0.1,8,0,0,0,287,0.5,437412,782.7,759840,1359.7
23,State,Tripura,43,1.6,2,0.1,5,0.2,1,0,0,0,24,0.9,0,0,0,0,0,0,0,0,0,0,39,1.4,0,0,0,0,0,0,1,0,115,4.1
24,State,Uttar Pradesh,39283,28.1,4426,3.2,7277,5.2,28445,20.4,8,0,1835,1.3,137,0.1,2280,1.6,39,0,728,0.5,13,0,2557,1.8,169,0.1,0,0,321,0.2,129855,92.9,217373,155.6
25,State,West Bengal,808,1.2,458,0.7,5562,8.1,1314,1.9,60,0.1,282,0.4,58,0.1,4415,6.4,1060,1.5,0,0,232,0.3,1362,2,0,0,0,0,82,0.1,244929,357.5,260622,380.4
Total (States),State,Total (States),58843,7,19738,2.4,163837,19.5,91149,10.9,548147,65.4,5417,0.6,14203,1.7,33599,4,3161,0.4,3812,0.5,726,0.1,8011,1,3848,0.5,10,0,1834,0.2,2354376,280.9,3310711,395
26,UT,A & N Islands,1,0.4,1,0.4,8,2.8,1570,558.7,90,32,0,0,0,0,0,0,4,1.4,0,0,0,0,2,0.7,0,0,0,0,0,0,511,181.9,2187,778.3
27,UT,Chandigarh,71,11,14,2.2,129,20,84,13,0,0,0,0,0,0,0,0,2,0.3,0,0,0,0,3,0.5,27,4.2,0,0,0,0,49,7.6,379,58.7
28,UT,D & N Haveli,2,1.4,0,0,0,0,2,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2.9,0,0,0,0,0,0,14,10.1,22,15.8
29,UT,Daman & Diu,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,4,3.9,7,6.8
30,UT,Delhi,3102,32.7,1188,12.5,2941,31,3058,32.2,0,0,38,0.4,170,1.8,121,1.3,124,1.3,2,0,0,0,215,2.3,38,0.4,0,0,4,0,1073,11.3,12074,127.2
31,UT,Lakshadweep,1,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5.8,4,7.7
32,UT,Pondicherry,5,0.6,3,0.4,197,24.7,0,0,0,0,3,0.4,266,33.4,0,0,9,1.1,21,2.6,0,0,71,8.9,0,0,0,0,3,0.4,45009,5647.3,45587,5719.8
Total (UTs),UT,Total (UTs),3182,27.6,1206,10.5,3276,28.5,4714,40.9,90,0.8,41,0.4,436,3.8,121,1.1,140,1.2,23,0.2,0,0,296,2.6,65,0.6,0,0,7,0.1,46663,405.3,60260,523.5
Total (All-India),Total (All-India),Total (All-India),62025,7.3,20944,2.5,167113,19.7,95863,11.3,548237,64.5,5458,0.6,14639,1.7,33720,4,3301,0.4,3835,0.5,726,0.1,8307,1,3913,0.5,10,0,1841,0.2,2401039,282.6,3370971,396.8
33,City,Ahmedabad,37,1.1,25,0.8,3568,107.5,0,0,14450,435.2,3,0.1,3,0.1,0,0,3,0.1,7,0.2,0,0,187,5.6,0,0,0,0,3,0.1,8254,248.6,26540,799.4
34,City,Bangalore,7,0.2,34,0.8,364,8.8,371,9.1,0,0,4,0.1,699,16.9,0,0,45,1.1,35,0.8,1,0,172,4.2,3,0.1,0,0,97,2.3,314314,7605,316146,7649.3
