SL. No.,Category,State/UT/City,Arrested & Sent to Courts,Sent to Home After Advice or Admonition,Released on Probation and placed Under Care of - Parents/ Guardians,Released on Probation and placed Under Care of - Fit instt.,Sent to Special Homes,Dealt with Fine,Acquitted or Otherwise Disposed of,Pending Disposal
1,State,Andhra Pradesh,1551,78,129,105,145,394,248,452
2,State,Arunachal Pradesh,30,3,9,0,0,2,7,9
3,State,Assam,743,0,488,9,8,0,136,102
4,State,Bihar,2255,564,280,231,65,184,476,455
5,State,Goa,53,1,1,0,1,6,0,44
6,State,Gujarat,2115,73,112,58,122,215,427,1108
7,State,Haryana,300,0,4,0,22,60,13,201
8,State,Himachal Pradesh,123,0,3,0,0,0,4,116
9,State,Jammu & Kashmir,9,0,0,0,0,0,0,9
10,State,Karnataka,526,91,111,23,87,12,38,164
11,State,Kerala,240,0,0,0,5,12,2,221
12,State,Madhya Pradesh,5814,330,508,158,233,244,416,3925
13,State,Maharashtra,7332,512,1329,445,403,212,533,3898
14,State,Manipur,69,25,5,1,0,33,0,5
15,State,Meghalaya,29,1,3,0,0,12,5,8
16,State,Mizoram,99,0,18,19,0,5,50,7
17,State,Nagaland,5,0,3,0,0,0,1,1
18,State,Orissa,216,0,19,10,0,8,48,131
19,State,Punjab,20,0,3,0,2,10,5,0
20,State,Rajasthan,712,11,93,24,38,11,11,524
21,State,Sikkim,24,24,0,0,0,0,0,0
22,State,Tamil Nadu,6827,65,3289,199,186,1028,63,1997
23,State,Tripura,31,0,0,0,0,0,31,0
24,State,Uttar Pradesh,102,15,10,4,26,0,41,6
25,State,West Bengal,86,0,11,0,4,0,23,48
Total (States),State,Total (States),29311,1793,6428,1286,1347,2448,2578,13431
26,UT,A & N Islands,6,0,0,0,0,0,3,3
27,UT,Chandigarh,5,0,0,0,0,0,1,4
28,UT,D & N Haveli,2,0,2,0,0,0,0,0
29,UT,Daman & Diu,8,0,0,0,0,0,1,7
30,UT,Delhi,226,2,2,0,0,2,0,220
31,UT,Lakshadweep,3,0,1,0,0,0,0,2
32,UT,Pondicherry,30,2,16,0,5,0,1,6
Total (UTs),UT,Total (UTs),280,4,21,0,5,2,6,242
Total (All-India),Total (All-India),Total (All-India),29591,1797,6449,1286,1352,2450,2584,13673
33,City,Ahmedabad,246,4,40,20,4,61,10,107
34,City,Bangalore,194,29,33,20,60,2,27,23
35,City,Bombay,2097,353,1048,4,46,5,204,437
36,City,Calcutta,14,0,0,0,4,0,7,3
37,City,Delhi,226,2,2,0,0,2,0,220
38,City,Hyderabad,70,41,0,10,0,0,18,1
39,City,Jaipur,71,12,40,13,6,0,0,0
40,City,Kanpur,0,0,0,0,0,0,0,0
41,City,Lucknow,14,0,0,0,14,0,0,0
42,City,Madras,208,0,31,26,12,76,0,63
43,City,Nagpur,24,0,0,0,8,0,0,16
44,City,Pune,105,0,78,8,8,0,1,10
