SL. No.,Crime Head,1990,1991,Percentage Variation in 1991 Over 1990,Percentage Share of Crime During 1991
1,Murder,80410,84793,5.5,3.4
2,Attempt to Commit Murder,65698,72983,11.1,2.9
3,C.H. Not Amounting to Murder,9919,10369,4.5,0.4
4,Rape,14382,14216,-1.2,0.6
5,Kidnapping & Abduction,25644,28572,11.4,1.1
5,I) Of Women & Girls,19284,18935,-1.8,0.7
5,II) Of Others,6360,9637,51.5,0.4
6,Dacoity,35361,34571,-2.2,1.4
7,Preparation & Assembly for Dacoity,5125,6410,25.1,0.3
8,Robbery,33855,33790,-0.2,1.3
9,Burglary,91763,92132,0.4,3.6
10,Theft,218391,290581,33.1,11.5
11,Riots,567598,552184,-2.7,21.8
12,Criminal Breach of Trust,16262,16191,-0.4,0.6
13,Cheating,21639,23707,9.6,0.9
14,Counterfeiting,1103,1368,24,0.1
15,Other IPC Crimes,1253860,1266112,1,50.1
16,Total Cognizable Crimes Under IPC,2441010,2527979,3.6,100
