SL. No.,Crime Head,Male,Female,Total,Percentage to Total - Male,Percentage to Total - Female
1,Arms Act,65601,68,65669,99.9,0.1
2,Narcotic Drugs & Psychotropic Substances Act,20282,916,21198,95.7,4.3
3,Gambling Act,368626,294,368920,99.9,0.1
4,Excise Act,100662,6113,106775,94.3,5.7
5,Prohibition Act,464559,82804,547363,84.9,15.1
6,Explosive & Explosive Substances Act,6395,47,6442,99.3,0.7
7,Immoral Traffic (Prevention) Act,2167,12910,15077,14.4,85.6
8,Indian Railways Act,34785,222,35007,99.4,0.6
9,Foreigner's Registration Act,3620,577,4197,86.3,13.7
10,Protection Of Civil Rights Act,9359,266,9625,97.2,2.8
11,Indian Passport Act,1461,101,1562,93.5,6.5
12,Essential Commodities Act,10485,43,10528,99.6,0.4
13,Terrorist & Disruptive Activites Act,5128,38,5166,99.3,0.7
14,Antiquity & Art Treasure Act,58,1,59,98.3,1.7
15,Dowry Prohibition Act,3742,847,4589,81.5,18.5
16,Other LSL Crimes,2643854,60011,2703865,97.8,2.2
17,Total Cognizable Crimes Under LSL,3740784,165258,3906042,95.8,4.2
