SL. No.,Year,Boys,Girls,Total,Percentage of Girls
1,1981,181888,8679,190567,4.6
2,1982,157664,10673,168337,6.3
3,1983,160513,11101,171614,6.5
4,1984,149755,12505,162260,7.7
5,1985,157107,11392,168499,6.8
6,1986,159977,10172,170149,6
7,1987,166407,13555,179962,7.5
8,1988,33065,5103,38168,13.4
9,1989,24777,11615,36392,31.9
10,1990,25269,5547,30816,18
11,1991,23201,6390,29591,21.6
