SL. No.,Category,State/UT/City,Residential Premises - Number,Residential Premises - Value,Highways - Number,Highways - Value,River & Sea - Number,River & Sea - Value,Railways - Number,Railways - Value,Banks - Number,Banks - Value,Commercial Establishments - Number,Commercial Establishments - Value,Other Places - Number,Other Places - Value,Total - Number,Total - Value
1,State,Andhra Pradesh,6194,272.6,96,0.5,1,0,13,6.2,17,0.1,321,69.7,1370,291.2,8012,640.3
2,State,Arunachal Pradesh,176,16.8,0,0,0,0,0,0,0,0,0,0,15,3.8,191,20.6
3,State,Assam,2837,97.7,0,0,0,0,4,0.2,0,0,414,19.2,335,63.4,3590,180.5
4,State,Bihar,6885,128,0,0,0,0,60,1.4,0,0,154,4.6,1031,37.8,8130,171.9
5,State,Goa,387,40,0,0,0,0,0,0,1,0,87,12.4,125,17.6,600,70
6,State,Gujarat,4878,502.8,1,0,1,0.8,13,0.2,7,0,630,98.6,1318,153.8,6848,756.2
7,State,Haryana,2163,199.8,0,0,0,0,2,0,2,0.1,34,1.7,133,18.1,2334,219.7
8,State,Himachal Pradesh,619,59.6,0,0,0,0,2,0,8,0.4,116,8.5,228,17,973,85.5
9,State,Jammu & Kashmir,1269,169.4,0,0,0,0,0,0,0,0,410,119.5,198,27.5,1877,316.4
10,State,Karnataka,6956,450.9,0,0,0,0,0,0,7,0.7,1006,64.8,1324,67.5,9293,583.8
11,State,Kerala,2868,417.8,2,6.1,4,0,12,0.3,7,2.4,626,65.4,890,96.1,4409,588.1
12,State,Madhya Pradesh,17913,546.5,10,0,0,0,17,0.3,13,0.7,765,67.5,3152,124.3,21870,739.3
13,State,Maharashtra,13581,1274.2,3,0.1,0,0,1,0,4,0.4,1078,269.2,1833,263.4,16500,1807.4
14,State,Manipur,76,8.2,0,0,1,0.2,0,0,0,0,8,0.7,65,4.8,150,13.9
15,State,Meghalaya,101,3.4,4,1.7,0,0,0,0,0,0,35,3.5,29,1.9,169,10.6
16,State,Mizoram,133,25,0,0,0,0,0,0,0,0,7,0.2,164,64.7,304,89.9
17,State,Nagaland,124,11.3,0,0,0,0,0,0,0,0,110,12.3,74,3.2,308,26.8
18,State,Orissa,2002,22.4,0,0,0,0,0,0,0,0,0,0,3124,235.2,5126,257.6
19,State,Punjab,1059,269,18,6.8,0,0,0,0,14,0.2,61,0,322,114.7,1474,390.7
20,State,Rajasthan,6399,496.3,0,0,0,0,5,0.1,1,0.2,163,9.1,1304,213.3,7872,719
21,State,Sikkim,93,7.3,0,0,0,0,0,0,0,0,0,0,0,0,93,7.3
22,State,Tamil Nadu,5943,370.4,0,0,0,0,14,0.1,11,1.2,507,39,2024,64.3,8499,475
23,State,Tripura,672,10.5,0,0,0,0,0,0,0,0,30,0.3,73,1.6,775,12.3
24,State,Uttar Pradesh,17312,1181.8,316,29.6,0,0,24,0.1,3,0,57,6,1420,2104.1,19132,3321.7
25,State,West Bengal,1175,51.5,0,0,0,0,0,0,0,0,106,13.7,95,2.5,1376,67.7
Total (States),State,Total (States),101815,6633.2,450,44.8,7,1,167,9.1,95,6.4,6725,885.9,20646,3991.7,129905,11572
26,UT,A & N Islands,25,2.2,0,0,0,0,0,0,0,0,0,0,35,1.8,60,4
27,UT,Chandigarh,146,21.3,0,0,0,0,0,0,0,0,3,0.6,9,0.8,158,22.6
28,UT,D & N Haveli,27,0.7,0,0,0,0,0,0,0,0,14,2.1,8,0.1,49,2.9
29,UT,Daman & Diu,14,1.6,0,0,0,0,0,0,1,0,4,0.1,5,0.7,24,2.5
30,UT,Delhi,1256,177.1,16,0.1,0,0,0,0,0,0,65,12,291,50.3,1628,239.5
31,UT,Lakshadweep,3,0.2,0,0,0,0,0,0,0,0,0,0,8,0.2,11,0.4
32,UT,Pondicherry,234,14.8,0,0,0,0,0,0,0,0,7,0.1,11,0,252,14.9
Total (UTs),UT,Total (UTs),1705,218,16,0.1,0,0,0,0,1,0,93,14.8,367,53.9,2182,286.8
Total (All-India),Total (All-India),Total (All-India),103520,6851.2,466,44.9,7,1,167,9.1,96,6.4,6818,900.8,21013,4045.6,132087,11858.8
33,City,Ahmedabad,560,94.1,0,0,0,0,0,0,1,0,135,24.2,209,42.1,905,160.4
34,City,Bangalore,1377,120.3,0,0,0,0,0,0,0,0,183,10.2,294,0.7,1854,131.2
35,City,Bombay,1611,372.8,0,0,0,0,0,0,4,0.4,638,219.1,412,124.9,2665,717.3
36,City,Calcutta,258,24.2,0,0,0,0,0,0,0,0,79,11,13,1.9,350,37.1
37,City,Delhi,1166,106.1,13,0.1,0,0,0,0,0,0,62,1,268,40.1,1509,147.2
38,City,Hyderabad,1087,142.4,0,0,0,0,0,0,0,0,0,0,406,17.2,1493,159.6
39,City,Jaipur,518,210.4,0,0,0,0,0,0,1,0.2,20,0.5,102,40.7,641,251.8
40,City,Kanpur,739,63.3,0,0,0,0,0,0,0,0,0,0,0,0,739,63.3
41,City,Lucknow,683,41.1,0,0,0,0,0,0,0,0,8,0.3,0,0,691,41.4
42,City,Madras,649,51.1,0,0,0,0,0,0,0,0,21,2.7,77,13.7,747,67.4
43,City,Nagpur,766,61.7,0,0,0,0,0,0,0,0,26,3.7,0,0,792,65.3
44,City,Pune,806,71.3,0,0,0,0,0,0,0,0,48,6,136,16.7,990,94
