SL. No.,Category,State/UT/City,Murder,Attempt to Commit Murder,C.H. Not Amounting to Murder,Rape,Kidnapping & Abduction - Total,Kidnapping & Abduction - Of Women & Girls,Kidnapping & Abduction - Of Others,Dacoity,Preparation & Assembly for Dacoity,Robbery,Burglary,Theft,Riots,Criminal Breach of Trust,Cheating,Counterfeiting,Other IPC Crimes,Total Cognizable Crimes Under IPC
1,State,Andhra Pradesh,9,79,0,13,4,4,0,4,0,6,91,177,56,0,0,0,123,562
2,State,Arunachal Pradesh,0,4,0,0,0,0,0,0,0,0,4,7,0,0,0,0,15,30
3,State,Assam,13,0,0,13,55,50,5,9,2,6,81,135,249,0,7,0,51,621
4,State,Bihar,37,15,0,10,22,22,0,47,0,62,134,576,495,0,15,0,695,2108
5,State,Goa,0,0,1,0,0,0,0,0,0,0,15,18,6,0,0,0,9,49
6,State,Gujarat,26,14,0,6,5,5,0,6,0,10,157,314,96,3,3,0,685,1325
7,State,Haryana,3,3,2,2,0,0,0,0,0,0,23,108,3,2,0,0,74,220
8,State,Himachal Pradesh,0,1,0,5,1,1,0,0,0,0,16,7,24,0,1,0,56,111
9,State,Jammu & Kashmir,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,9
10,State,Karnataka,17,7,0,3,2,2,0,0,0,5,62,184,46,5,0,0,98,429
11,State,Kerala,5,0,0,4,0,0,0,0,0,0,20,20,149,0,0,0,42,240
12,State,Madhya Pradesh,146,98,8,84,15,14,1,22,13,49,596,2631,469,0,7,0,438,4576
13,State,Maharashtra,68,39,5,50,37,36,1,21,1,35,385,876,319,10,15,1,1446,3308
14,State,Manipur,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4,7
15,State,Meghalaya,0,0,0,1,0,0,0,0,0,0,7,12,0,0,0,0,0,20
16,State,Mizoram,0,0,0,0,0,0,0,0,0,0,1,38,0,0,0,0,43,82
17,State,Nagaland,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,5
18,State,Orissa,0,0,0,0,0,0,0,0,0,0,23,59,0,0,0,0,14,96
19,State,Punjab,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,3,6
20,State,Rajasthan,9,10,0,4,4,4,0,0,0,7,86,81,229,0,2,0,220,652
21,State,Sikkim,1,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,2,24
22,State,Tamil Nadu,9,0,0,1,0,0,0,2,0,1,245,458,101,0,0,1,211,1029
23,State,Tripura,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,19,31
24,State,Uttar Pradesh,12,0,0,0,0,0,0,0,0,10,7,19,24,2,0,0,23,97
25,State,West Bengal,5,0,3,0,0,0,0,0,0,0,0,21,17,0,0,0,13,59
Total (States),State,Total (States),363,270,20,196,147,139,8,111,16,191,1977,5756,2283,22,50,2,4292,15696
26,UT,A & N Islands,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,3,6
27,UT,Chandigarh,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,1,5
28,UT,D & N Haveli,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2
29,UT,Daman & Diu,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,1,8
30,UT,Delhi,5,1,3,6,13,13,0,0,0,2,10,86,0,0,0,0,55,181
31,UT,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3
32,UT,Pondicherry,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,2,26
Total (UTs),UT,Total (UTs),5,1,3,6,13,13,0,0,0,2,13,120,6,0,0,0,62,231
Total (All-India),Total (All-India),Total (All-India),368,271,23,202,160,152,0,111,16,193,1990,5876,2289,22,50,2,4354,15927
33,City,Ahmedabad,1,2,0,1,1,1,0,0,0,1,16,50,3,1,0,0,91,167
34,City,Bangalore,3,2,0,1,1,1,0,0,0,0,31,102,5,0,0,0,17,162
35,City,Bombay,7,1,0,15,6,6,0,0,1,4,47,147,2,0,2,0,100,332
36,City,Calcutta,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,10,14
37,City,Delhi,5,1,3,6,13,13,0,0,0,2,10,86,0,0,0,0,55,181
38,City,Hyderabad,1,0,0,0,0,0,0,0,0,0,19,42,0,0,0,0,0,62
39,City,Jaipur,1,2,0,0,0,0,0,0,0,0,21,23,16,1,0,0,6,70
40,City,Kanpur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,City,Lucknow,3,0,0,0,0,0,0,0,0,0,3,7,0,1,0,0,0,14
42,City,Madras,0,0,0,0,0,0,0,0,0,0,31,81,0,0,0,0,18,130
43,City,Nagpur,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,5,10
44,City,Pune,0,0,1,4,1,0,0,0,0,0,26,27,5,0,0,0,41,105
