SL. No.,Crime Head,Number of Cases in which Property was - Stolen,Number of Cases in which Property was - Recovered,Percentage of Cases of Recovery,Value of Property (Rs. In lakh) - Stolen,Value of Property (Rs. In lakh) - Recovered,Percentage Recovery
1,Communication and Electric Wire,15522,4981,32.1,915.8,207.8,22.7
2,Cattle,12925,6454,49.9,485.9,234.2,48.2
3,Cycle,39971,18225,45.6,284.2,123.7,43.5
4,"Motor Cars including Lorries, Buses etc.",9537,4465,46.8,6766,4073.5,60.2
5,"Motorcycle, Scooters etc.",22762,7997,35.1,2819.6,1194.3,42.4
6,Fire Arms,1312,384,29.3,164,30.2,18.4
7,Explosives,43,15,34.9,9.6,1.4,14.6
8,Electronic Eqpt.,8091,2636,32.6,331.5,110.2,33.2
9,Cultural Property including Antiques,1470,655,44.6,252.4,177.6,70.4
10,Other kinds of Property Stolen,444522,134894,30.3,47508.2,1858.8,22.9
11,Total,556155,180706,32.5,59537.1,17011.7,28.6
