SL. No.,Category,State/UT,Area (in Sqr. Kms.),Estimated Mid-Year Population (in 000),Total Cognizable Crimes (IPC),Actual Police Strength - Civil,Actual Police Strength - Armed,Actual Police Strength - Total,Percentage of Civil Police to Total Police,Number of Policemen Per 100 Sqr. Kms. Area,"Number of Policemen Per 1,000 of Population",Number of IPC Cases Per Civil Policeman
1,State,Andhra Pradesh,275068,66772,101676,55737,8631,64368,86.6,23.4,1,1.8
2,State,Arunachal Pradesh,83743,867,1861,2419,1406,3825,63.2,4.6,4.4,0.8
3,State,Assam,78438,22470,35144,23258,18846,42104,55.2,53.7,1.9,1.5
4,State,Bihar,173877,86914,119932,59414,16813,76227,77.9,43.8,0.9,2
5,State,Goa,3700,1173,3805,1935,552,2487,77.8,67.2,2.1,2
6,State,Gujarat,196024,41379,124472,47013,11980,58993,79.7,30.1,1.4,2.6
7,State,Haryana,44212,16440,28584,22411,3693,26104,85.9,59,1.6,1.3
8,State,Himachal Pradesh,55673,5136,9209,8308,2898,11206,74.1,20.1,2.2,1.1
9,State,Jammu & Kashmir,222236,7784,15545,18296,10467,28763,63.6,12.9,3.7,0.8
10,State,Karnataka,191791,45033,104489,42029,5219,47248,89,24.6,1,2.5
11,State,Kerala,38863,29119,74103,30595,6439,37034,82.6,95.3,1.3,2.4
12,State,Madhya Pradesh,443446,66690,218431,61893,26752,88645,69.8,20,1.3,3.5
13,State,Maharashtra,307690,79325,192295,113798,13157,126955,89.6,41.3,1.6,1.7
14,State,Manipur,22327,1841,2100,4876,6582,11458,42.6,51.3,6.2,0.4
15,State,Meghalaya,22429,1777,1726,5461,1759,7220,75.6,32.2,4.1,0.3
16,State,Mizoram,21081,691,1781,2460,1926,4386,56.1,20.8,6.3,0.7
17,State,Nagaland,16579,1234,1641,7574,8448,16022,47.3,96.6,13,0.2
18,State,Orissa,155707,31705,52081,25531,6881,32412,78.8,20.8,1,2
19,State,Punjab,50362,20295,16081,41322,9655,50977,81.1,101.2,2.5,0.4
20,State,Rajasthan,342239,44183,113617,42344,8498,50842,83.3,14.9,1.2,2.7
21,State,Sikkim,7096,405,469,1790,584,2374,75.4,33.5,5.9,0.3
22,State,Tamil Nadu,130058,55884,133284,55570,8096,63666,87.3,49,1.1,2.4
23,State,Tripura,10486,2773,5594,4292,4606,8898,48.2,84.9,3.2,1.3
24,State,Uttar Pradesh,294411,139722,208561,128216,31681,159897,80.2,54.3,1.1,1.6
25,State,West Bengal,88752,68514,69073,54577,20298,74875,72.9,84.4,1.1,1.3
Total (States),State,Total (States),3276288,838126,1635554,861119,235867,1096986,78.5,33.5,1.3,1.9
26,UT,A & N Islands,8249,281,551,1701,413,2114,80.5,25.6,7.5,0.3
27,UT,Chandigarh,114,646,1629,2722,1371,4093,66.5,3590.4,6.3,0.6
28,UT,D & N Haveli,491,139,437,213,0,213,100,43.4,1.5,2.1
29,UT,Daman & Diu,114,103,257,231,0,231,100,202.6,2.2,1.1
30,UT,Delhi,1483,9494,34876,36475,10262,46737,78,3151.5,4.9,1
31,UT,Lakshadweep,32,52,54,319,0,319,100,996.9,6.1,0.2
32,UT,Pondicherry,492,797,5017,1069,824,1893,56.5,384.8,2.4,4.7
Total (UTs),UT,Total (UTs),10975,11512,42821,42730,12870,55600,76.9,506.6,4.8,1
Total (All-India),Total (All-India),Total (All-India),3287263,849638,1678375,903849,248737,1152586,78.4,35.1,1.4,1.9
