SL. No.,Category,State/UT/City,Residential Premises - Number,Residential Premises - Value,Highways - Number,Highways - Value,River & Sea - Number,River & Sea - Value,Railways - Number,Railways - Value,Banks - Number,Banks - Value,Commercial Establishments - Number,Commercial Establishments - Value,Other Places - Number,Other Places - Value,Total - Number,Total - Value
1,State,Andhra Pradesh,616,88.5,442,50,0,0,18,1.6,2,1.2,23,13.2,153,14.5,1254,168.8
2,State,Arunachal Pradesh,28,3.2,7,0.9,0,0,0,0,0,0,0,0,17,2.2,52,6.3
3,State,Assam,302,11.2,75,4.9,0,0,3,0,4,2,45,5.3,318,29.1,747,52.6
4,State,Bihar,1140,59,1115,37.6,0,0,73,4.1,14,12.2,101,4,833,77.3,3276,194.1
5,State,Goa,7,0.4,3,0.3,0,0,1,0.3,0,0,0,0,10,1,21,2
6,State,Gujarat,205,16.9,115,39.2,2,1.6,14,0.9,1,0.1,24,9.6,828,97,1189,165.2
7,State,Haryana,59,15.5,53,54.3,0,0,2,3.4,1,0.2,4,0.3,113,16.2,232,89.8
8,State,Himachal Pradesh,8,1.9,2,0.4,0,0,1,0,1,0.2,1,0.2,29,2.9,42,5.6
9,State,Jammu & Kashmir,16,3.3,4,2.8,0,0,0,0,4,45.3,2,0.3,33,17.8,59,69.6
10,State,Karnataka,141,15.6,35,15.4,0,0,6,0.4,0,0,16,2.2,315,31.2,513,64.8
11,State,Kerala,57,6.4,13,5.3,1,2,0,0,0,0,14,8.1,141,45,226,66.8
12,State,Madhya Pradesh,517,25.9,350,50.1,2,0,36,2.6,3,0.4,63,4.2,1679,90.2,2650,173.3
13,State,Maharashtra,639,173.1,367,73.9,5,0.1,66,11.3,1,0.1,266,125,2435,515.4,3779,898.9
14,State,Manipur,2,0.2,6,0.1,0,0,0,0,0,0,0,0,22,5.9,30,6.2
15,State,Meghalaya,1,0,12,0.8,0,0,0,0,0,0,0,0,39,2.2,52,3
16,State,Mizoram,4,0,6,0.1,0,0,0,0,1,0.1,0,0,31,0.1,42,0.5
17,State,Nagaland,19,2.6,17,1.8,0,0,0,0,0,0,18,3.9,37,4,91,12.3
18,State,Orissa,318,19.9,36,2,1,0,7,0.2,5,0.1,1,0,457,29.8,825,52
19,State,Punjab,169,59.2,123,17.1,0,0,0,0,11,10.2,20,48.3,152,117.5,475,252.4
20,State,Rajasthan,229,30.8,38,10.1,1,0,12,0.8,0,0,1,0.8,976,87.9,1257,130.3
21,State,Sikkim,6,0.7,2,0.5,0,0,0,0,0,0,0,0,1,0,9,1.2
22,State,Tamil Nadu,225,39.3,56,17.4,3,0,6,0.2,0,0,11,2.4,219,31.7,520,90.9
23,State,Tripura,128,2.2,31,0.6,0,0,0,0,0,0,6,0.1,96,1.3,261,4.2
24,State,Uttar Pradesh,4231,402.4,2340,289.5,0,0,214,6.2,4,2,2,0.2,904,649,7695,1349.2
25,State,West Bengal,299,30.3,207,61.8,2,0.5,26,1.6,2,1.6,29,11.5,257,25.3,822,132.6
Total (States),State,Total (States),9366,1008.4,5455,736.8,17,4.3,485,33.6,54,75.7,647,239.5,10095,1894.4,26119,3992.7
26,UT,A & N Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,UT,Chandigarh,0,0,0,0,0,0,0,0,0,0,0,0,2,1.1,2,1.1
28,UT,D & N Haveli,0,0,0,0,0,0,0,0,0,0,0,0,3,0.2,3,0.2
29,UT,Daman & Diu,1,0,0,0,0,0,0,0,0,0,0,0,4,0.3,5,0.4
30,UT,Delhi,114,34,17,6.3,0,0,3,0.2,1,8.5,15,2.3,134,36.4,284,87.7
31,UT,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,UT,Pondicherry,3,1,1,0.1,0,0,0,0,0,0,0,0,11,0.5,15,1.5
Total (UTs),UT,Total (UTs),118,35,18,6.3,0,0,3,0.2,1,8.5,15,2.3,154,38.5,309,90.7
Total (All-India),Total (All-India),Total (All-India),9484,1043.4,5473,743.1,17,4.3,488,33.8,55,84.2,662,241.7,10249,1932.9,26428,4083.4
33,City,Ahmedabad,19,4,1,0.1,0,0,0,0,0,0,6,4,108,15,134,23
34,City,Bangalore,43,5,3,0.4,0,0,1,0.4,0,0,3,0.6,84,10.1,134,16.5
35,City,Bombay,204,124,36,16.6,4,0.1,0,0,1,0.1,182,120.1,709,379.5,1136,640.4
36,City,Calcutta,26,17.8,81,42.2,2,0.5,0,0,0,0,14,10.8,36,10.7,159,82
37,City,Delhi,107,32.9,9,6.3,0,0,2,0.2,1,8.5,13,2.3,132,36.4,264,86.6
38,City,Hyderabad,40,6.6,72,4.7,0,0,0,0,0,0,5,0.2,9,0.4,126,11.9
39,City,Jaipur,3,0.2,2,0.1,0,0,0,0,0,0,0,0,73,3.8,78,4.1
40,City,Kanpur,13,0.7,163,42.8,0,0,0,0,0,0,0,0,0,0,176,43.5
41,City,Lucknow,40,6.8,95,10.2,0,0,0,0,0,0,0,0,0,0,135,17
42,City,Madras,48,8.7,1,0,0,0,0,0,0,0,9,2,76,8.6,134,19.4
43,City,Nagpur,7,1.3,2,0,0,0,0,0,0,0,27,1.6,292,8.6,328,11.5
44,City,Pune,14,1.6,0,0,0,0,0,0,0,0,2,0.2,127,15.5,143,17.3
