SL. No.,Category,State/UT/City,Arms Act - Male,Arms Act - Female,Arms Act - Total,Narcotic Drugs and Psychotropic Substances Act - Male,Narcotic Drugs and Psychotropic Substances Act - Female,Narcotic Drugs and Psychotropic Substances Act - Total,Gambling Act - Male,Gambling Act - Female,Gambling Act - Total,Excise Act - Male,Excise Act - Female,Excise Act - Total,Prohibition Act - Male,Prohibition Act - Female,Prohibition Act - Total,Explosives and Explosive Substances Act - Male,Explosives and Explosive Substances Act - Female,Explosives and Explosive Substances Act - Total,Immoral Traffic (Prevention) Act - Male,Immoral Traffic (Prevention) Act - Female,Immoral Traffic (Prevention) Act - Total,Indian Railways Act - Male,Indian Railways Act - Female,Indian Railways Act - Total,Registration of Foreigners Act - Male,Registration of Foreigners Act - Female,Registration of Foreigners Act - Total,Protection of Civil Rights Act - Male,Protection of Civil Rights Act - Female,Protection of Civil Rights Act - Total,Indian Passport Act - Male,Indian Passport Act - Female,Indian Passport Act - Total,Essential Commodities Act - Male,Essential Commodities Act - Female,Essential Commodities Act - Total,Terrorist & Disruptive Activites Act - Male,Terrorist & Disruptive Activites Act - Female,Terrorist & Disruptive Activites Act - Total,Antiquity & Art Treasure Act - Male,Antiquity & Art Treasure Act - Female,Antiquity & Art Treasure Act - Total,Dowry Prohibition Act - Male,Dowry Prohibition Act - Female,Dowry Prohibition Act - Total,Other LSL Crimes - Male,Other LSL Crimes - Female,Other LSL Crimes - Total,Total Cognizable Crimes Under LSL - Male,Total Cognizable Crimes Under LSL - Female,Total Cognizable Crimes Under LSL - Total
1,State,Andhra Pradesh,695,2,697,168,6,174,36007,0,36007,4243,221,4464,0,2,2,779,11,790,208,932,1140,29,0,29,25,2,27,594,24,618,0,0,0,22,0,22,325,2,327,18,1,19,67,17,84,487373,5818,493191,530553,7038,537591
2,State,Arunachal Pradesh,21,0,21,11,0,11,0,0,0,0,0,0,0,0,0,15,0,15,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,17,0,17,72,0,72
3,State,Assam,425,0,425,158,2,160,504,0,504,461,8,469,177,3,180,121,0,121,2,3,5,13,0,13,16,0,16,0,0,0,8,0,8,26,0,26,3850,19,3869,21,0,21,46,5,51,1979,43,2022,7807,83,7890
4,State,Bihar,4219,22,4241,258,10,268,962,11,973,2063,48,2111,2,0,2,860,6,866,13,0,13,360,0,360,2,0,2,44,0,44,1,0,1,1004,18,1022,0,0,0,0,0,0,1395,328,1723,2894,35,2929,14077,478,14555
5,State,Goa,4,0,4,39,1,40,1866,0,1866,2,0,2,0,0,0,6,0,6,0,173,173,0,0,0,11,4,15,1,1,2,1,0,1,4,1,5,0,0,0,0,0,0,2,1,3,509,29,538,2445,210,2655
6,State,Gujarat,559,0,559,357,11,368,39212,17,39229,0,0,0,118739,31787,150526,61,3,64,16,8,24,712,32,744,38,4,42,363,35,398,351,0,351,554,0,554,0,0,0,0,0,0,11,2,13,54817,3808,58625,215790,35707,251497
7,State,Haryana,1877,0,1877,823,1,824,5430,0,5430,16094,12,16106,4,0,4,24,0,24,2,2,4,1482,0,1482,0,0,0,4,0,4,0,0,0,157,0,157,31,0,31,0,0,0,0,0,0,1570,2,1572,27498,17,27515
8,State,Himachal Pradesh,19,0,19,83,2,85,194,0,194,3658,763,4421,0,0,0,7,0,7,0,0,0,1,0,1,8,2,10,28,10,38,0,0,0,50,0,50,4,0,4,0,0,0,4,0,4,815,14,829,4871,791,5662
9,State,Jammu & Kashmir,209,0,209,86,0,86,25,0,25,5,0,5,0,0,0,43,0,43,4,2,6,0,0,0,0,0,0,8,0,8,52,5,57,168,0,168,293,1,294,0,0,0,1,0,1,407,20,427,1301,28,1329
10,State,Karnataka,84,0,84,114,12,126,17252,0,17252,2333,176,2509,0,0,0,56,3,59,373,2930,3303,31,0,31,45,5,50,2440,67,2507,52,0,52,877,5,882,1,0,1,19,0,19,608,160,768,446126,832,446958,470411,4190,474601
