SL. No.,Place of Occurrence,Dacoity - Number,Dacoity - Value,Robbery - Number,Robbery - Value,Burglary - Number,Burglary - Value,Theft - Number,Theft - Value
1,Residential Premises,6610,1247.4,9484,1043.4,103520,6851.2,154861,9225.9
2,High-way,1460,527.9,5473,743.1,466,44.9,8595,859.4
3,River & Sea,2,5.1,17,4.3,7,1,524,40.2
4,Railways,185,27.7,488,33.8,167,9.1,17329,787.2
5,Banks,61,259.7,55,84.2,96,6.4,125,18
6,Commercial Establishments,192,164.7,662,241.7,6818,900.8,12169,988.8
7,Other Places,2321,1986.8,10249,1932.9,21013,4045.6,169325,13869.6
8,Total,10831,4219.2,26428,4083.4,132087,11858.8,362928,25789.1
