SL. No.,Crime Head,Total Number of Persons Under Arrest* Including those from Previous year,Persons Released before Trial - Number,Persons Released before Trial - Percentage to Total,Persons Chargesheeted - Number,Persons Chargesheeted - Percentage to Total,Persons Under Investigation at the End of the Year - Number,Persons Under Investigation at the End of the Year - Percentage to Total
1,Arms Act,75663,844,1.1,64305,85,10514,13.9
2,Narcotic Drugs & Psychotropic Substances Act,27901,443,1.6,17092,61.3,10366,37.2
3,Gambling Act,379021,1006,0.3,365380,96.4,12635,3.3
4,Excise Act,122145,2954,2.4,104625,85.7,14566,11.9
5,Prohibition Act,648716,8487,1.3,535518,82.6,104711,16.1
6,Explosive & Explosive Substances Act,9949,489,4.9,5700,57.3,3760,37.8
7,Immoral Traffic (Prevention) Act,16781,62,0.4,16000,95.3,719,4.3
8,Indian Railways Act,37627,1489,4,34064,90.5,2074,5.5
9,Foreigner's Registration Act,4498,68,1.5,4212,93.6,218,4.8
10,Protection Of Civil Rights Act,10709,484,4.5,9197,85.9,1028,9.6
11,Indian Passport Act,1792,101,5.6,1283,71.6,408,22.8
12,Essential Commodities Act,14285,736,5.2,8889,62.2,4660,32.6
13,Terrorist & Disruptive Activites Act,8408,1209,14.4,1927,22.9,5272,62.7
14,Antiquity & Art Treasure Act,68,4,5.9,34,50,30,44.1
15,Dowry Prohibition Act,5863,259,4.4,4069,69.4,1535,26.2
16,Other L & SL Crimes,2835126,33465,1.2,2629441,92.7,172220,6.1
17,Total Cognizable Crimes Under L & SL,4198552,52100,1.2,3801736,90.5,344716,8.2
