SL. No.,Category,State/UT/City,Killed - In Dacoity Operation or Other Raids,Killed - By Riotous Mobs,Killed - By Other Criminals,Killed - On Border Duties,Killed - In Accidents,Killed - Total,Injured - In Dacoity Operation or Other Raids,Injured - By Riotous Mobs,Injured - By Other Criminals,Injured - On Border Duties,Injured - In Accidents,Injured - Total
1,State,Andhra Pradesh,4,4,32,0,7,47,28,119,65,10,15,237
2,State,Arunachal Pradesh,0,0,1,0,0,1,0,10,0,0,0,10
3,State,Assam,0,14,13,1,4,32,0,10,11,0,6,27
4,State,Bihar,2,2,2,0,14,20,12,26,15,0,13,66
5,State,Goa,0,0,0,0,0,0,0,53,1,0,0,54
6,State,Gujarat,0,1,3,0,17,21,5,127,44,0,20,196
7,State,Haryana,1,2,0,1,24,28,1,3,18,4,11,37
8,State,Himachal Pradesh,0,0,0,0,0,0,0,11,19,0,0,30
9,State,Jammu & Kashmir,0,0,84,0,2,86,0,16,406,0,9,431
10,State,Karnataka,1,3,1,0,12,17,17,544,58,2,33,654
11,State,Kerala,0,1,0,0,1,2,0,547,79,5,45,676
12,State,Madhya Pradesh,0,0,14,1,19,34,3,77,35,6,36,157
13,State,Maharashtra,15,2,1,2,50,70,75,492,164,11,64,806
14,State,Manipur,0,0,6,0,1,7,1,0,4,0,1,6
15,State,Meghalaya,0,0,0,0,0,0,0,5,0,1,0,6
16,State,Mizoram,0,0,3,0,2,5,0,0,1,0,0,1
17,State,Nagaland,0,0,3,0,0,3,0,0,3,0,0,3
18,State,Orissa,1,0,0,0,2,3,8,1,6,0,0,15
19,State,Punjab,18,0,226,18,54,316,30,0,197,6,36,269
20,State,Rajasthan,0,0,12,0,8,20,0,102,74,2,7,185
21,State,Sikkim,0,0,0,0,0,0,0,0,0,0,0,0
22,State,Tamil Nadu,0,0,5,0,10,15,17,306,44,3,51,421
23,State,Tripura,0,0,1,0,0,1,0,26,5,0,0,31
24,State,Uttar Pradesh,11,30,33,1,39,114,44,43,53,5,35,180
25,State,West Bengal,4,0,0,0,3,7,57,222,0,0,113,392
Total (States),State,Total (States),57,59,440,24,269,849,298,2740,1302,55,495,4890
26,UT,A & N Islands,0,0,1,0,0,1,0,0,0,0,0,0
27,UT,Chandigarh,0,0,3,0,0,3,0,0,18,0,3,21
28,UT,D & N Haveli,0,0,0,0,0,0,0,0,0,0,0,0
29,UT,Daman & Diu,0,0,0,0,0,0,0,0,0,0,0,0
30,UT,Delhi,0,0,0,0,19,19,0,91,3,0,68,162
31,UT,Lakshadweep,0,0,0,0,0,0,0,2,0,0,0,2
32,UT,Pondicherry,0,0,0,0,2,2,0,25,15,0,0,40
Total (UTs),UT,Total (UTs),0,0,4,0,21,25,0,118,36,0,71,225
Total (All-India),Total (All-India),Total (All-India),57,59,444,24,290,874,298,2858,1338,55,566,5115
33,City,Ahmedabad,0,0,0,0,3,3,0,5,5,0,0,10
34,City,Bangalore,0,0,0,0,2,2,0,192,9,0,6,207
35,City,Bombay,0,1,0,0,1,2,9,23,57,4,5,97
36,City,Calcutta,0,0,0,0,2,2,8,73,0,0,101,183
37,City,Delhi,0,0,0,0,19,19,0,91,3,0,68,162
38,City,Hyderabad,0,0,0,0,0,0,0,10,5,0,0,15
39,City,Jaipur,0,0,0,0,2,2,0,0,0,0,29,29
40,City,Kanpur,0,1,0,0,0,1,0,3,0,0,11,14
41,City,Lucknow,0,0,0,0,1,1,0,14,4,0,5,23
42,City,Madras,0,0,0,0,0,0,0,27,11,3,0,41
43,City,Nagpur,0,0,0,0,0,0,0,38,6,0,9,53
44,City,Pune,0,0,0,0,1,1,0,0,6,0,3,9
