SL. No.,Category,State/UT/City,7-12 Years - Boys,7-12 Years - Girls,12-16 Years - Boys,12-16 Years - Girls,16-18 Years - Girls Only,Overall Age Group - Boys,Overall Age Group - Girls,Total (Boys + Girls)
1,State,Andhra Pradesh,212,1,410,24,342,622,367,989
2,State,Arunachal Pradesh,0,0,0,0,0,0,0,0
3,State,Assam,7,3,90,5,17,97,25,122
4,State,Bihar,15,0,116,0,16,131,16,147
5,State,Goa,1,0,3,0,0,4,0,4
6,State,Gujarat,35,11,318,38,388,353,437,790
7,State,Haryana,0,0,80,0,0,80,0,80
8,State,Himachal Pradesh,0,0,4,1,7,4,8,12
9,State,Jammu & Kashmir,0,0,0,0,0,0,0,0
10,State,Karnataka,20,6,39,0,32,59,38,97
11,State,Kerala,0,0,0,0,0,0,0,0
12,State,Madhya Pradesh,49,12,1096,7,74,1145,93,1238
13,State,Maharashtra,1018,260,2206,314,226,3224,800,4024
14,State,Manipur,1,0,6,0,55,7,55,62
15,State,Meghalaya,0,0,9,0,0,9,0,9
16,State,Mizoram,0,0,6,0,11,6,11,17
17,State,Nagaland,0,0,0,0,0,0,0,0
18,State,Orissa,73,0,44,3,0,117,3,120
19,State,Punjab,0,0,14,0,0,14,0,14
20,State,Rajasthan,0,0,38,7,15,38,22,60
21,State,Sikkim,0,0,0,0,0,0,0,0
22,State,Tamil Nadu,2018,5,1986,90,1699,4004,1794,5798
23,State,Tripura,0,0,0,0,0,0,0,0
24,State,Uttar Pradesh,0,0,5,0,0,5,0,5
25,State,West Bengal,0,0,26,1,0,26,1,27
Total (States),State,Total (States),3449,298,6496,490,2882,9945,3670,13615
26,UT,A & N Islands,0,0,0,0,0,0,0,0
27,UT,Chandigarh,0,0,0,0,0,0,0,0
28,UT,D & N Haveli,0,0,0,0,0,0,0,0
29,UT,Daman & Diu,0,0,0,0,0,0,0,0
30,UT,Delhi,0,1,41,1,2,41,4,45
31,UT,Lakshadweep,0,0,0,0,0,0,0,0
32,UT,Pondicherry,0,2,2,0,0,2,2,4
Total (UTs),UT,Total (UTs),0,3,43,1,2,43,6,49
Total (All-India),Total (All-India),Total (All-India),3449,301,6539,491,2884,9988,3676,13664
33,City,Ahmedabad,2,0,46,6,25,48,31,79
34,City,Bangalore,0,0,3,0,29,3,29,32
35,City,Bombay,891,248,282,263,81,1173,592,1765
36,City,Calcutta,0,0,0,0,0,0,0,0
37,City,Delhi,0,1,41,1,2,41,4,45
38,City,Hyderabad,0,0,8,0,0,8,0,8
39,City,Jaipur,0,0,0,0,1,0,1,1
40,City,Kanpur,0,0,0,0,0,0,0,0
41,City,Lucknow,0,0,0,0,0,0,0,0
42,City,Madras,0,0,33,16,29,33,45,78
43,City,Nagpur,11,2,0,0,1,11,3,14
44,City,Pune,0,0,0,0,0,0,0,0
