SL. No.,Category,State/UT/City,7-12 Years - Boys,7-12 Years - Girls,12-16 Years - Boys,12-16 Years - Girls,16-18 Years - Girls Only,Overall Age Group - Boys,Overall Age Group - Girls,Total (Boys + Girls)
1,State,Andhra Pradesh,71,1,358,14,118,429,133,562
2,State,Arunachal Pradesh,1,0,19,1,9,20,10,30
3,State,Assam,37,1,556,12,15,593,28,621
4,State,Bihar,278,22,1294,158,356,1572,536,2108
5,State,Goa,10,1,33,2,3,43,6,49
6,State,Gujarat,162,44,786,80,253,948,377,1325
7,State,Haryana,0,0,174,4,42,174,46,220
8,State,Himachal Pradesh,4,0,68,6,33,72,39,111
9,State,Jammu & Kashmir,1,0,6,0,2,7,2,9
10,State,Karnataka,50,2,329,9,39,379,50,429
11,State,Kerala,1,0,235,3,1,236,4,240
12,State,Madhya Pradesh,642,35,3227,97,575,3869,707,4576
13,State,Maharashtra,386,39,2547,104,232,2933,375,3308
14,State,Manipur,0,0,2,0,5,2,5,7
15,State,Meghalaya,6,0,14,0,0,20,0,20
16,State,Mizoram,6,0,41,0,35,47,35,82
17,State,Nagaland,0,0,5,0,0,5,0,5
18,State,Orissa,24,0,71,1,0,95,1,96
19,State,Punjab,0,0,0,0,6,0,6,6
20,State,Rajasthan,40,2,471,40,99,511,141,652
21,State,Sikkim,1,0,22,0,1,23,1,24
22,State,Tamil Nadu,188,8,757,30,46,945,84,1029
23,State,Tripura,7,0,0,0,24,7,24,31
24,State,Uttar Pradesh,0,0,51,2,44,51,46,97
25,State,West Bengal,6,0,51,2,0,57,2,59
Total (States),State,Total (States),1921,155,11117,565,1938,13038,2658,15696
26,UT,A & N Islands,0,0,5,1,0,5,1,6
27,UT,Chandigarh,0,0,5,0,0,5,0,5
28,UT,D & N Haveli,0,0,2,0,0,2,0,2
29,UT,Daman & Diu,0,0,4,1,3,4,4,8
30,UT,Delhi,8,2,124,5,42,132,49,181
31,UT,Lakshadweep,0,0,3,0,0,3,0,3
32,UT,Pondicherry,1,0,23,2,0,24,2,26
Total (UTs),UT,Total (UTs),9,2,166,9,45,175,56,231
Total (All-India),Total (All-India),Total (All-India),1930,157,11283,574,1983,13213,2714,15927
33,City,Ahmedabad,5,0,105,12,45,110,57,167
34,City,Bangalore,24,0,118,4,16,142,20,162
35,City,Bombay,64,22,212,15,19,276,56,332
36,City,Calcutta,6,0,7,1,0,13,1,14
37,City,Delhi,8,2,124,5,42,132,49,181
38,City,Hyderabad,25,0,36,1,0,61,1,62
39,City,Jaipur,4,0,46,3,17,50,20,70
40,City,Kanpur,0,0,0,0,0,0,0,0
41,City,Lucknow,0,0,12,2,0,12,2,14
42,City,Madras,0,0,120,1,9,120,10,130
43,City,Nagpur,0,0,8,1,1,8,2,10
44,City,Pune,10,0,90,0,5,100,5,105
