SL. No.,Category,State/UT/City,Residential Premises - Number,Residential Premises - Value,Highways - Number,Highways - Value,River & Sea - Number,River & Sea - Value,Railways - Number,Railways - Value,Banks - Number,Banks - Value,Commercial Establishments - Number,Commercial Establishments - Value,Other Places - Number,Other Places - Value,Total - Number,Total - Value
1,State,Andhra Pradesh,7492,28.2,1524,17.5,2,0,892,11.2,51,0.4,1073,5.3,9542,38,20576,100.7
2,State,Arunachal Pradesh,101,7.5,35,4.1,0,0,0,0,0,0,0,0,154,15.1,290,26.7
3,State,Assam,5446,131,114,1.6,15,0.2,124,8.8,2,0.8,625,20.6,1910,54.3,8236,217.4
4,State,Bihar,11249,22.3,454,20.7,6,1.1,1588,56.4,0,0,576,11.2,7772,322.7,21645,434.4
5,State,Goa,291,24.8,5,0.5,27,3.1,10,1.9,0,0,43,3.4,722,45.8,1098,79.5
6,State,Gujarat,4563,245,52,3.8,18,0.6,794,39.9,13,1.6,941,156.1,18624,1268.6,25005,1715.6
7,State,Haryana,2200,248.3,11,6.7,35,0.6,117,5.6,1,0,88,18,1513,480.4,3965,759.6
8,State,Himachal Pradesh,253,19.9,35,4,0,0,3,0.3,0,0,15,1.1,818,101,1124,126.3
9,State,Jammu & Kashmir,990,102.8,121,74.4,0,0,2,0.1,0,0,342,26.9,1003,116.1,2458,320.2
10,State,Karnataka,6187,499.4,51,9.8,3,7,294,24.1,3,1.3,1294,94.6,11528,615.4,19360,1251.6
11,State,Kerala,1687,158.5,76,5.3,79,8.4,0,0,8,3.2,452,32.4,1959,257.2,4261,465
12,State,Madhya Pradesh,18393,857.5,1250,172.1,246,10.7,1383,59.9,5,0.1,850,50.8,20409,660.8,42536,1811.8
13,State,Maharashtra,19206,1677,814,120.3,72,6.7,3147,190.1,5,1.1,1773,237.3,33466,6064.3,58483,8296.8
14,State,Manipur,132,15.6,7,2.1,1,0,0,0,0,0,3,0.5,113,95.6,256,113.8
15,State,Meghalaya,177,12.3,33,3.5,0,0,0,0,0,0,0,0,339,16.6,549,32.4
16,State,Mizoram,377,54.9,0,0,0,0,0,0,0,0,3,0.4,235,39.5,615,94.8
17,State,Nagaland,192,14.6,8,1,0,0,0,0,0,0,61,8.5,127,5.9,388,30
18,State,Orissa,2226,40.6,0,0,0,0,0,0,0,0,0,0,8517,688.1,10743,728.7
19,State,Punjab,1069,278.4,191,144.6,0,0,23,1.8,6,7.3,102,23.7,1332,420.6,2723,876.3
20,State,Rajasthan,6225,1063.9,20,2.1,0,0,534,31.7,2,1,182,20.6,8050,106.6,15013,1225.7
21,State,Sikkim,53,4.2,0,0,0,0,0,0,0,0,0,0,58,33.5,111,37.7
22,State,Tamil Nadu,12325,306.8,568,14.6,17,1.8,599,37,20,0.2,1158,48.5,13512,416.5,28199,825.4
23,State,Tripura,495,5.5,12,0.4,0,0,0,0,0,0,176,14.2,415,3.3,1098,23.4
24,State,Uttar Pradesh,30714,1955.7,2603,233.6,0,0,6055,270.5,1,0.8,147,20.2,11341,957,50861,3437.8
25,State,West Bengal,15564,540,439,6.1,0,0,1252,24.1,8,0.3,1831,160.6,7853,391.6,26947,1122.8
Total (States),State,Total (States),147607,8314.5,8423,848.8,521,40.2,16817,763.6,125,18,11735,954.7,161312,13214.7,346540,24154.5
26,UT,A & N Islands,11,0.2,0,0,1,0,0,0,0,0,2,0.14,75,4,89,4.3
27,UT,Chandigarh,504,67.9,0,0,0,0,0,0,0,0,6,5,215,1.7,725,74.5
28,UT,D & N Haveli,28,1,0,0,2,0,0,0,0,0,22,15,44,1.4,96,17.4
29,UT,Daman & Diu,20,0.6,0,0,0,0,0,0,0,0,1,0,36,6.1,57,6.7
30,UT,Delhi,6439,824.9,172,10.6,0,0,512,23.7,0,0,403,14,5619,622.7,13145,1495.9
31,UT,Lakshadweep,5,0,0,0,0,0,0,0,0,0,0,0,10,0.3,15,0.3
32,UT,Pondicherry,247,16.7,0,0,0,0,0,0,0,0,0,0,2014,18.9,2261,35.6
Total (UTs),UT,Total (UTs),7254,911.3,172,10.6,3,0,512,23.7,0,0,434,34.1,8013,654.9,16388,1634.7
Total (All-India),Total (All-India),Total (All-India),154861,9225.9,8595,859.4,524,40.2,17329,787.2,125,18,12169,988.8,169325,13869.6,362928,25789.1
33,City,Ahmedabad,735,48.8,7,1.1,0,0,0,0,3,0.9,340,30,4297,290.8,5382,371.6
34,City,Bangalore,3093,195.2,3,0.1,0,0,1,0.4,0,0,597,45,3994,139.5,7688,380.2
35,City,Bombay,4096,1047.3,279,62.4,70,6.7,1,0.4,3,0.1,1129,192.5,10623,981.9,16201,2291.4
36,City,Calcutta,3722,413.1,0,0,0,0,0,0,6,0.1,275,52.6,2896,254,6899,719.8
37,City,Delhi,6231,722.8,163,7.6,0,0,437,23.6,0,0,338,14,5418,619.8,12587,1387.8
38,City,Hyderabad,2111,136.7,1128,69.4,0,0,0,0,0,0,297,30.9,213,19.6,3749,256.6
39,City,Jaipur,809,41.6,20,2.1,0,0,0,0,1,0,128,6.1,1191,124,2149,174.3
40,City,Kanpur,938,26.8,104,2.5,0,0,0,0,0,0.6,0,0,1082,27.2,2124,56.5
41,City,Lucknow,1186,96.9,1030,86.9,0,0,0,0,0,0,8,0.3,73,2.2,2297,186.4
42,City,Madras,4973,107.2,0,0,0,0,0,0,0,0,206,2.4,956,89.6,6135,199.3
43,City,Nagpur,3194,140.4,0,0,0,0,0,0,0,0,56,7.7,13,0.6,3263,148.7
44,City,Pune,536,31.7,0,0,0,0,0,0,0,0,53,1.8,2809,240.6,3398,273.7
