SL. No.,Category,State/UT/City,Number of Occasions of Police Firing,Civilians - Killed,Civilians - Injured,Policemen - Killed,Policemen - Injured
1,State,Andhra Pradesh,317,118,93,24,150
2,State,Arunachal Pradesh,1,1,0,0,0
3,State,Assam,29,13,11,11,10
4,State,Bihar,149,79,72,3,75
5,State,Goa,2,0,8,0,29
6,State,Gujarat,191,26,51,0,9
7,State,Haryana,16,13,11,1,3
8,State,Himachal Pradesh,2,1,0,0,0
9,State,Jammu & Kashmir,265,329,413,72,431
10,State,Karnataka,26,21,84,0,324
11,State,Kerala,25,5,14,0,51
12,State,Madhya Pradesh,26,4,7,2,13
13,State,Maharashtra,66,37,230,1,133
14,State,Manipur,3,7,5,2,1
15,State,Meghalaya,0,0,0,0,0
16,State,Mizoram,4,0,0,3,1
17,State,Nagaland,0,0,0,0,0
18,State,Orissa,2,0,2,0,1
19,State,Punjab,845,961,30,137,179
20,State,Rajasthan,29,17,35,0,107
21,State,Sikkim,0,0,0,0,0
22,State,Tamil Nadu,28,18,62,0,115
23,State,Tripura,207,0,0,0,7
24,State,Uttar Pradesh,60,55,53,7,95
25,State,West Bengal,167,55,72,4,214
Total (States),State,Total (States),2460,1760,1253,267,1948
26,UT,A & N Islands,0,0,0,0,0
27,UT,Chandigarh,0,0,0,0,0
28,UT,D & N Haveli,0,0,0,0,0
29,UT,Daman & Diu,0,0,0,0,0
30,UT,Delhi,8,1,5,0,1
31,UT,Lakshadweep,0,0,0,0,0
32,UT,Pondicherry,4,0,5,0,22
Total (UTs),UT,Total (UTs),12,1,10,0,23
Total (All-India),Total (All-India),Total (All-India),2472,1761,1263,267,1971
33,City,Ahmedabad,149,5,11,0,0
34,City,Bangalore,4,16,36,0,155
35,City,Bombay,27,25,20,0,19
36,City,Calcutta,37,13,21,0,82
37,City,Delhi,8,1,5,0,1
38,City,Hyderabad,84,0,0,0,3
39,City,Jaipur,0,0,0,0,0
40,City,Kanpur,1,2,0,0,0
41,City,Lucknow,8,12,4,0,6
42,City,Madras,2,1,16,0,10
43,City,Nagpur,3,3,44,0,18
44,City,Pune,0,0,0,0,0
