SL. No.,Category,State/UT/City,Murder,Attempt to Commit Murder,C.H. Not Amounting to Murder,Rape,Kidnapping & Abduction - Total,Kidnapping & Abduction - Of Women & Girls,Kidnapping & Abduction - Of Others,Dacoity,Preparation & Assembly for Dacoity,Robbery,Burglary,Theft,Riots,Criminal Breach of Trust,Cheating,Counterfeiting,Other IPC Crimes,Total Cognizable Crimes Under IPC
1,State,Andhra Pradesh,9,7,0,8,3,3,0,3,0,4,66,129,19,0,0,0,81,329
2,State,Arunachal Pradesh,0,2,0,0,0,0,0,0,0,0,4,7,0,0,0,0,10,23
3,State,Assam,11,0,0,12,46,43,3,4,2,3,60,103,76,0,7,0,23,347
4,State,Bihar,15,8,0,5,4,4,0,9,0,16,33,181,203,0,8,0,74,556
5,State,Goa,0,0,1,0,0,0,0,0,0,0,7,12,6,0,0,0,8,34
6,State,Gujarat,21,15,0,6,5,5,0,5,0,45,162,254,52,2,2,0,589,1158
7,State,Haryana,25,17,7,14,7,6,1,0,1,11,107,132,46,3,4,0,606,980
8,State,Himachal Pradesh,0,1,0,5,1,1,0,0,0,0,10,7,13,0,1,0,46,84
9,State,Jammu & Kashmir,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,7
10,State,Karnataka,15,6,0,3,2,2,0,0,0,5,40,151,33,3,0,0,74,332
11,State,Kerala,4,0,0,4,0,0,0,0,0,0,13,18,25,0,0,0,23,87
12,State,Madhya Pradesh,111,73,8,70,15,14,1,3,4,24,317,1811,262,0,4,0,104,2806
13,State,Maharashtra,86,29,1,50,38,36,2,15,2,29,339,776,298,11,16,1,1705,3396
14,State,Manipur,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,3
15,State,Meghalaya,0,0,0,1,0,0,0,0,0,0,7,10,0,0,0,0,0,18
16,State,Mizoram,0,0,0,0,0,0,0,0,0,0,1,25,0,0,0,0,17,43
17,State,Nagaland,0,0,0,0,0,0,0,3,0,0,7,7,3,0,0,0,8,28
18,State,Orissa,0,0,0,0,0,0,0,0,0,0,15,35,0,0,0,0,13,63
19,State,Punjab,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,3,6
20,State,Rajasthan,12,9,0,4,4,4,0,0,0,7,63,66,76,0,2,0,137,380
21,State,Sikkim,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,6
22,State,Tamil Nadu,20,3,0,1,1,1,0,10,0,14,283,748,140,0,3,1,338,1562
23,State,Tripura,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,19,26
24,State,Uttar Pradesh,6,0,0,0,0,0,0,0,0,4,3,11,5,2,0,0,7,38
25,State,West Bengal,5,0,3,0,0,0,0,0,0,0,0,21,11,0,0,0,3,43
Total (States),State,Total (States),343,170,21,183,128,120,8,52,9,162,1540,4512,1268,21,47,2,3897,12355
26,UT,A & N Islands,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,3,6
27,UT,Chandigarh,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,1,5
28,UT,D & N Haveli,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
29,UT,Daman & Diu,0,0,0,0,0,0,0,0,0,0,0,9,2,0,0,0,1,12
30,UT,Delhi,5,1,3,6,13,13,0,0,0,2,10,86,0,0,0,0,55,181
31,UT,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2
32,UT,Pondicherry,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,2,26
Total (UTs),UT,Total (UTs),5,1,3,6,13,13,0,0,0,2,13,126,2,0,0,0,62,233
Total (All-India),Total (All-India),Total (All-India),348,171,24,189,141,133,8,52,9,164,1553,4638,1270,21,47,2,3959,12588
33,City,Ahmedabad,1,2,0,1,1,1,0,0,0,1,16,41,3,1,0,0,48,115
34,City,Bangalore,1,1,0,1,1,1,0,0,0,0,16,88,2,0,0,0,7,117
35,City,Bombay,9,1,0,16,6,6,0,0,2,2,21,121,1,0,2,0,99,280
36,City,Calcutta,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,5
37,City,Delhi,5,1,3,6,13,13,0,0,0,2,10,86,0,0,0,0,55,181
38,City,Hyderabad,1,0,0,0,0,0,0,0,0,0,9,25,0,0,0,0,0,35
39,City,Jaipur,1,2,0,0,0,0,0,0,0,0,21,18,5,1,0,0,5,53
40,City,Kanpur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,City,Lucknow,1,0,0,0,0,0,0,0,0,0,1,3,0,1,0,0,0,6
42,City,Madras,0,0,0,0,0,0,0,0,0,0,30,75,0,0,0,0,35,140
43,City,Nagpur,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,5,10
44,City,Pune,0,0,1,2,1,0,1,0,0,0,19,22,5,0,0,0,41,91
