SL. No. (Col. 1),Category (Col. 2),State/UT/City (Col. 3),Total Number of Persons Arrested (Col. 4),New Offenders - Number (Col. 5),New Offenders - Percentage to Total (Col. 6),Old Offenders Convicted in the Past - Once - Number (Col. 7),Old Offenders Convicted in the Past - Once - Percentage to Total (Col. 8),Old Offenders Convicted in the Past - Twice - Number (Col. 9),Old Offenders Convicted in the Past - Twice - Percentage to Total (Col. 10),Old Offenders Convicted in the Past - Thrice or More - Number (Col. 11),Old Offenders Convicted in the Past - Thrice or More - Percentage to Total (Col. 12),Old Offenders Convicted in the Past - Percentage of Recidivists (Col. 8+10+12) (Col. 13)
1,State,Andhra Pradesh,155605,119672,76.9,32800,21.1,2450,1.6,683,0.4,23.1
2,State,Arunachal Pradesh,2033,2014,99.1,12,0.6,7,0.3,0,0,0.9
3,State,Assam,44421,44036,99.1,367,0.8,18,0,0,0,0.9
4,State,Bihar,268442,258132,96.2,8620,3.2,1408,0.5,282,0.1,3.8
5,State,Goa,4717,4644,98.5,40,0.8,23,0.5,10,0.2,1.5
6,State,Gujarat,162942,143409,88,16903,10.4,2015,1.2,615,0.4,12
7,State,Haryana,43418,41626,95.9,1144,2.6,541,1.2,107,0.2,4.1
8,State,Himachal Pradesh,13231,12981,98.1,196,1.5,39,0.3,15,0.1,1.9
9,State,Jammu & Kashmir,20001,20001,100,0,0,0,0,0,0,0
10,State,Karnataka,144776,139342,96.2,4884,3.4,385,0.3,165,0.1,3.8
11,State,Kerala,119867,105173,87.7,13638,11.4,1056,0.9,0,0,12.3
12,State,Madhya Pradesh,309628,275485,89,29604,9.6,2609,0.8,1930,0.6,11
13,State,Maharashtra,258937,247163,95.5,8652,3.3,1668,0.6,1454,0.6,4.5
14,State,Manipur,2587,2517,97.3,51,2,13,0.5,6,0.2,2.7
15,State,Meghalaya,2163,1835,84.8,166,7.7,139,6.4,23,1.1,15.2
16,State,Mizoram,1517,1451,95.6,40,2.6,25,1.6,1,0.1,4.4
17,State,Nagaland,1883,1694,90,157,8.3,18,1,14,0.7,10
18,State,Orissa,86424,83954,97.1,2057,2.4,358,0.4,55,0.1,2.9
19,State,Punjab,14750,13550,91.9,981,6.7,195,1.3,24,0.2,8.1
20,State,Rajasthan,156626,148957,95.1,5370,3.4,1481,0.9,818,0.5,4.9
21,State,Sikkim,493,490,99.4,3,0.6,0,0,0,0,0.6
22,State,Tamil Nadu,224467,116164,51.8,61233,27.3,23985,10.7,23085,10.3,48.2
23,State,Tripura,7698,7253,94.2,432,5.6,13,0.2,0,0,5.8
24,State,Uttar Pradesh,347630,312003,89.8,27873,8,6300,1.8,1454,0.4,10.2
25,State,West Bengal,98722,97651,98.9,963,1,104,0.1,4,0,1.1
Total (States),State,Total (States),2492978,2201197,88.3,216186,8.7,44850,1.8,30745,1.2,11.7
26,UT,A & N Islands,572,543,94.9,21,3.7,8,1.4,0,0,5.1
27,UT,Chandigarh,1323,631,47.7,648,49,26,2,18,1.4,52.3
28,UT,D & N Haveli,602,601,99.8,0,0,0,0,1,0.2,0.2
29,UT,Daman & Diu,384,384,100,0,0,0,0,0,0,0
30,UT,Delhi,26785,25165,94,1231,4.6,257,1,132,0.5,6
31,UT,Lakshadweep,41,40,97.6,1,2.4,0,0,0,0,2.4
32,UT,Pondicherry,5294,5178,97.6,96,1.8,9,0.2,11,0.2,2.2
Total (UTs),UT,Total (UTs),35001,32542,93,1997,5.7,300,0.9,162,0.5,7
Total (All-India),Total (All-India),Total (All-India),2527979,2233739,88.4,218183,8.6,45150,1.8,30907,1.2,11.6
33,City,Ahmedabad,16393,15159,92.5,821,5,261,1.6,152,0.9,7.5
34,City,Bangalore,14887,12956,87,1896,12.7,23,0.2,12,0.1,13
35,City,Bombay,32919,29395,89.3,2039,6.2,722,2.2,763,2.3,10.7
36,City,Calcutta,14112,13681,96.9,405,2.9,26,0.2,0,0,3.1
37,City,Delhi,23924,22364,93.5,1210,5.1,231,1,119,0.5,6.5
38,City,Hyderabad,5829,5089,87.3,547,9.4,136,2.3,57,1,12.7
39,City,Jaipur,7610,7098,93.3,318,4.2,169,2.2,25,0.3,6.7
40,City,Kanpur,8870,8673,97.8,137,1.5,51,0.6,9,0.1,2.2
41,City,Lucknow,5849,5182,88.6,474,8.1,164,2.8,29,0.5,11.4
42,City,Madras,11778,11612,98.6,97,0.8,69,0.6,0,0,1.4
43,City,Nagpur,8309,8145,98,120,1.4,38,0.5,6,0.1,2
44,City,Pune,14592,14175,97.1,214,1.5,139,1,64,0.4,2.9
