SL. No.,Category,State/UT/City,Residential Premises - Number,Residential Premises - Value,Highways - Number,Highways - Value,River & Sea - Number,River & Sea - Value,Railways - Number,Railways - Value,Banks - Number,Banks - Value,Commercial Establishments - Number,Commercial Establishments - Value,Other Places - Number,Other Places - Value,Total - Number,Total - Value
1,State,Andhra Pradesh,656,189.3,253,75.1,0,0,1,1.6,1,0.1,20,5.4,102,29.1,1033,300.5
2,State,Arunachal Pradesh,13,2.8,1,0.4,0,0,0,0,1,180,0,0,15,4.2,30,187.3
3,State,Assam,452,43.2,21,2.3,0,0,4,0.1,2,0.5,15,4.6,105,46.2,599,97
4,State,Bihar,2159,178.2,432,24.1,0,0,79,5.6,24,39.9,38,1.8,450,14.6,3182,264.3
5,State,Goa,2,0.8,0,0,0,0,0,0,0,0,0,0,1,0,3,0.8
6,State,Gujarat,124,56.7,73,66.9,0,0,5,1.6,1,10.9,12,1.5,240,195.3,455,332.9
7,State,Haryana,20,5.3,4,2.1,0,0,0,0,0,0,3,0.8,16,2.5,43,10.65
8,State,Himachal Pradesh,7,1.8,1,0,0,0,0,0,0,0,1,1.5,6,3.1,15,6.4
9,State,Jammu & Kashmir,5,0,0,0,0,0,0,0,6,3,0,0,15,3.1,26,6.1
10,State,Karnataka,135,41,39,13.7,0,0,0,0,0,0,7,1.2,156,844.3,337,900.1
11,State,Kerala,13,8.1,2,3.7,0,0,0,0,0,0,7,2,50,32,72,45.7
12,State,Madhya Pradesh,206,35.3,39,29.5,1,0.1,5,0.4,3,5.8,11,26.2,77,355.1,342,452.3
13,State,Maharashtra,288,171.6,197,111.8,0,0,11,5.9,4,2.2,46,94.6,338,245.1,884,631.2
14,State,Manipur,0,0,8,0,0,0,0,0,0,0,1,0.8,8,0.2,17,1.1
15,State,Meghalaya,5,1,7,1.1,0,0,0,0,0,0,0,0,10,3.5,22,5.6
16,State,Mizoram,0,0,0,0,0,0,0,0,0,0,0,0,19,1.9,19,1.9
17,State,Nagaland,6,1.3,4,0.4,0,0,0,0,0,0,4,0.9,13,0.9,27,3.5
18,State,Orissa,206,32.2,9,1.5,0,0,1,2.6,2,0.3,0,0,94,15.3,312,51.9
19,State,Punjab,37,22,5,2.4,0,0,0,0,1,0.5,0,0,35,28.2,78,53.2
20,State,Rajasthan,41,25.3,5,2.3,0,0,5,0.8,0,0,1,0,40,7.1,92,35.4
21,State,Sikkim,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
22,State,Tamil Nadu,56,13.6,4,4.4,1,5,2,0,1,0.2,0,0,52,8.7,116,31.9
23,State,Tripura,95,4,10,0.4,0,0,0,0,0,0,2,0.1,33,1.5,140,6
24,State,Uttar Pradesh,1657,313.6,280,141,0,0,51,6,1,2.3,3,0.1,361,63,2353,526
25,State,West Bengal,401,70.1,63,38.8,0,0,21,2.9,14,14.2,19,21,74,78,592,225
Total (States),State,Total (States),6585,1217.2,1457,521.8,2,5.1,185,27.7,61,259.7,190,162.5,2310,1982.9,10790,4176.8
26,UT,A & N Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,UT,Chandigarh,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5
28,UT,D & N Haveli,0,0,0,0,0,0,0,0,0,0,1,2,1,0,2,2
29,UT,Daman & Diu,1,0.6,0,0,0,0,0,0,0,0,0,0,0,0,1,0.6
30,UT,Delhi,23,29.1,2,6.1,0,0,0,0,0,0,1,0.2,7,3.1,33,38.6
31,UT,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,UT,Pondicherry,0,0,1,0,0,0,0,0,0,0,0,0,3,0.8,4,0.8
Total (UTs),UT,Total (UTs),25,30.2,3,6.1,0,0,0,0,0,0,2,2.2,11,3.9,41,42.4
Total (All-India),Total (All-India),Total (All-India),6610,1247.4,1460,527.9,2,5.1,185,27.7,61,259.7,192,164.7,2321,1986.8,10831,4219.2
33,City,Ahmedabad,8,4.6,1,0,0,0,0,0,0,0,4,0.1,13,5.7,26,10.4
34,City,Bangalore,9,3.8,0,0,0,0,0,0,0,0,0,0,13,0.4,22,4.1
35,City,Bombay,24,64.8,9,9,0,0,0,0,0,0,41,73.8,41,97.4,115,245
36,City,Calcutta,6,3.5,2,0.3,0,0,0,0,0,0,7,4.1,6,3.9,21,11.8
37,City,Delhi,21,25.1,2,6.1,0,0,0,0,0,0,0,0,6,3.3,29,34.5
38,City,Hyderabad,12,13.8,4,0.4,0,0,0,0,0,0,0,0,2,0.1,18,14.3
39,City,Jaipur,2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,2,0.2
40,City,Kanpur,33,11,19,0.3,0,0,0,0,0,0,0,0,0,0,52,11.3
41,City,Lucknow,18,4.7,6,2,0,0,0,0,0,0,0,0,1,0.1,25,6.7
42,City,Madras,2,0.5,0,0,0,0,0,0,0,0,0,0,1,0,3,0.5
43,City,Nagpur,4,5.6,0,0,0,0,0,0,2,1.3,5,0.2,3,1.6,14,8.7
44,City,Pune,4,0.8,0,0,0,0,0,0,0,0,0,0,9,9.9,13,10.8
