SL. No.,Crime Head,Incidence - 1981,Volume - 1981,Incidence - 1986,Volume - 1986,Incidence - 1987,Volume - 1987,Incidence - 1988,Volume - 1988,Incidence - 1989,Volume - 1989,Incidence - 1990,Volume - 1990,Incidence - Quinquennial Avg. 1985-1989 (Q.A.),Volume - Quinquennial Avg. 1985-1989 (Q.A.),Incidence - 1991,Volume - 1991,"Percentage Change in 1991 ((+) Increase, (-) Decrease) Over - 1981","Percentage Change in 1991 ((+) Increase, (-) Decrease) Over - Quinquennial Avg. (Q.A.)","Percentage Change in 1991 ((+) Increase, (-) Decrease) Over - 1990"
1,Arms Act,69662,10.1,56954,7.4,53577,6.9,52601,6.6,54637,6.7,58092,7,55172,6.9,62025,7.3,-11,12.4,6.8
2,Narcotic Drugs & Psychotropic Substances Act,14347,2.1,13253,1.7,9442,1.2,13357,1.7,12831,1.6,14176,1.7,12612,1.6,20944,2.5,46,66.1,47.7
3,Gambling Act,235824,34.2,163097,21.3,166429,21.3,171024,21.5,162966,20.1,168056,20.3,166314,20.9,167113,19.7,-29.1,0.5,-0.6
4,Excise Act,110518,16,95011,12.4,91696,11.7,88419,11.1,90118,11.1,94093,11.4,91867,11.5,95863,11.3,-13.3,4.3,1.9
5,Prohibition Act,320606,46.5,365300,47.7,553138,70.8,640011,80.3,710928,87.6,594789,71.9,572833,71.9,548237,64.5,71,-4.3,-7.8
6,Explosive & Explosive Substances Act,2818,0.4,3205,0.4,3304,0.4,3712,0.5,4322,0.5,5600,0.7,4029,0.5,5458,0.6,93.7,35.5,-2.5
7,Immoral Traffic (P) Act,15658,2.3,14403,1.9,13453,1.7,15989,2,13466,1.7,16426,2,14747,1.9,14639,1.7,-6.5,-0.7,-10.9
8,Indian Railways Act,42128,6.1,37460,4.9,19429,2.5,37438,4.7,35664,4.4,39443,4.8,33887,4.3,33720,4,-20,-0.5,-14.5
9,Foreigners Registration Act,*,NA,*,NA,*,NA,119,0.1,1969,0.2,2357,0.3,*,NA,3301,0.4,NA,NA,40.1
10,Protection Of Civil Rights Act,*,NA,*,NA,*,NA,2966,0.4,3443,0.4,3683,0.4,*,NA,3835,0.5,NA,NA,4.1
11,Indian Passport Act,*,NA,*,NA,*,NA,729,0.1,628,0.1,608,0.1,*,NA,726,0.1,NA,NA,19.4
12,Essential Commodities Act,*,NA,*,NA,*,NA,5829,0.7,11149,1.4,6611,0.8,*,NA,8307,1,NA,NA,25.7
13,Terrorist & Disruptive Activites Act,*,NA,*,NA,*,NA,763,0.1,1773,0.2,2498,3,*,NA,3913,0.5,NA,NA,56.6
14,Antiquity & Art Treasure Act,*,NA,*,NA,*,NA,12,0,11,0,18,0,*,NA,10,0,NA,NA,-44.4
15,Dowry Prohibition Act,*,NA,*,NA,*,NA,2064,0.3,1918,0.2,2155,0.3,*,NA,1841,0.2,NA,NA,-14.6
16,Other LSL Crimes,1734838,251.4,2678858,291.9,2678858,342.8,2729636,342.7,2741842,337.7,2284958,276.3,2534253,318.1,2401039,282.6,38.4,-5.3,5.1
17,Total Cognizable Crimes Under LSL,2546399,369,3589326,389.6,3589326,459.3,3765669,427.7,3847665,474,3293563,398.3,3496175,438.9,3370971,396.8,32.4,-3.6,2.4
