SL. No.,Place of Occurrence,Dacoity - Number,Dacoity - Value,Robbery - Number,Robbery - Value,Burglary - Number,Burglary - Value,Theft - Number,Theft - Value
1,Residential Premises,4131,1441.1,5400,1300.7,84162,11551.1,100710,12237.7
2,Highway,1203,796.1,5061,2019,81,13.5,7394,1988.6
3,River & Sea,1,0,5,0.4,2,1.1,123,12.4
4,Railways,129,32.9,351,41.2,67,3.4,12421,1302.9
5,Banks,65,137.9,71,103.9,262,53.7,244,41.1
6,Commercial Establishment,416,529.3,1097,815.6,11703,2566.2,20987,4917.6
7,Other Places,1922,1376.3,10156,3018.2,17042,2372.2,135198,26086.8
8,Total,7867,4313.4,22141,7198.9,113319,16561.1,277077,46587.1
