SI.No.,Category,State/UT/City,Residential Permises - Number,Residential Permises - Value,Highways - Number,Highways - Value,River & Sea - Number,River & Sea - Value,Railways - Number,Railways - Value,Banks - Number,Banks - Value,Commercial Establishments - Number,Commercial Establishments - Value,Others Place - Number,Others Place - Value,Total - Number,Total - Value
1,State,Andhra Pradesh,8200,978.5,297,19.5,6,0.5,712,88.9,59,2.8,1181,79.8,4554,459.2,15009,1629.3
2,State,Arunachal Pradesh,208,66.4,6,2,5,0.5,0,0,0,0,41,12.1,129,18.4,389,99.4
3,State,Assam,4661,215.6,74,9.6,5,0.3,10,0.8,7,0,572,45.9,2044,133.7,7373,405.9
4,State,Bihar,7556,556.7,245,26.4,2,0.1,846,59.7,8,1.1,1345,162.7,4957,337.3,14959,1144.2
5,State,Goa,187,27.1,2,0.3,4,1.2,0,0,0,0,62,12.8,529,148.5,784,189.8
6,State,Gujarat,3188,538.5,109,61.3,15,1.6,445,78,21,5.2,1006,201.3,12885,2085.9,17669,2971.8
7,State,Haryana,1842,502.9,0,0,0,0,131,15.4,0,0,619,165.4,2387,963.3,4979,1647
8,State,Himachal Pradesh,139,38.1,36,17.7,0,0,1,0,1,0,40,7.9,399,182.1,616,245.8
9,State,Jammu & Kashmir,726,142.1,200,102.1,0,0,0,0,0,0,100,0.2,1146,215.6,2172,460
10,State,Karnataka,5296,790,106,27.3,3,0.9,202,25.9,14,4.8,1859,442.6,8919,1109,16399,2400.5
11,State,Kerala,1224,385.8,32,7.9,4,0.7,107,26.4,3,0.1,431,71.2,2189,713.7,3990,1205.8
12,State,Madhya Pradesh,10653,868,990,240.7,42,2.2,1107,138.8,3,1.4,1767,149.9,12026,1290.1,26588,2690.9
13,State,Maharashtra,10199,1920.5,651,130.8,3,0,3872,418.8,16,14.3,2206,1049.9,29286,8780.3,46233,12314.6
14,State,Manipur,23,0.2,0,0,0,0,0,0,0,0,0,0,226,39.9,249,40.2
15,State,Meghalaya,242,14.5,2,1.4,0,0,0,0,0,0,50,4.3,95,7.7,389,27.8
16,State,Mizoram,525,294.7,0,0,0,0,0,0,0,0,6,0.4,284,117.6,815,412.8
17,State,Nagaland,102,23.4,8,0.5,0,0,0,0,0,0,53,62.4,93,11.8,256,98.1
18,State,Orissa,2901,336.4,19,5.7,0,0,567,42.3,91,8.9,304,43.5,3147,254,7029,690.8
19,State,Punjab,527,309.7,18,26.8,0,0,31,6.2,0,0,152,97.3,1097,637.9,1825,1078
20,State,Rajasthan,7054,483.3,30,72.1,0,0,498,50.6,2,1.1,1359,312.5,8879,2117.1,17822,3036.6
21,State,Sikkim,31,11.2,6,1.2,3,2.7,0,0,0,0,5,5.5,67,11.1,112,31.7
22,State,Tamil Nadu,8445,851.5,118,31.6,30,1.7,322,33.6,1,0,1052,158.3,10240,1054.2,20208,2130.9
23,State,Tripura,357,10.4,0,0,0,0,0,0,0,0,16,1.1,74,3.2,447,14.7
24,State,Uttar Pradesh,7017,806.2,3971,1104.6,0,0,1928,211.4,0,0,289,37.2,14626,1582.9,27831,3742.2
25,State,West Bengal,9340,538.4,140,15.2,0,0,775,33.6,8,0,1353,195.2,7290,473.3,18906,1255.6
Total States,State,Total States,90643,10710.3,7060,1904.6,122,12.4,11554,1230.3,234,39.8,15868,3319.2,127568,22747.7,253049,39964.4
26,UT,A & N Islands,5,0.1,0,0,1,0,0,0,0,0,1,0,45,15.1,52,15.3
27,UT,Chandigarh,246,55.9,0,0,0,0,0,0,0,0,39,3.3,555,163.9,840,223.1
28,UT,D & N Haveli,3,0.2,0,0,0,0,0,0,0,0,7,2.2,33,13.2,43,15.6
29,UT,Daman & DIU,7,1.4,0,0,0,0,0,0,0,0,6,1.6,24,8.2,37,11.2
30,UT,Delhi,9764,1466,334,83.9,0,0,867,72.6,10,1.4,5049,1588.6,6555,3098.7,22579,6311.2
31,UT,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,8,0.2,8,0
32,UT,Pondicherry,42,3.8,0,0,0,0,0,0,0,0,17,2.7,410,39.7,469,46.2
Total (UTs),UT,Total (UTs),10067,1527.4,334,83.9,1,0,867,72.6,10,1.4,5119,1598.4,7630,3339.1,24028,6622.7
Total (All -India),Total (All -India),Total (All -India),100710,12237.7,7394,1988.6,123,12.4,12421,1302.9,244,41.1,20987,4917.6,135198,26086.8,277077,46587.1
