SI.No.,State/UT,Estimated Mid Year Population,Rape - Incidence,Rape - Rate,Rape - percentage contribution to All India,Kidnapping & Abduction - Incidence,Kidnapping & Abduction - Rate,Kidnapping & Abduction - percentage contribution to All India,Dowry Deaths - Incidence,Dowry Deaths - Rate,Dowry Deaths - percentage contribution to All- India,Cruelty By Husband And Relatives - Incidence,Cruelty By Husband And Relatives - Rate,Cruelty By Husband and Relatives - percentage contribution to All India,Molestation - Incidence,Molestation - Rate,Molestation - percentage contribution to All India,Eve -Teasing - Incidence,Eve -Teasing - Rate,Eve -Teasing - percentage contribution to All India,Importation of Girls - Incidence,Importation of Girls - Rate,Importation of Girls - percentage contribution to All India,Sati Prev.Act - Incidence,Sati Prev.Act - Rate,Sati Prev.Act - percentage contribution to All India,Immoral Traffic (P) Act - Incidence,Immoral Traffic (P) Act - Rate,Immoral Traffic (P) Act - percentage contribution to All India,Indecent Representation of Women (P) Act - Incidence,Indecent Representation of Women (P) Act - Rate,Indecent Representation of Women (P) Act - percentage contribution to All India,Dowry Proh.Act - Incidence,Dowry Proh.Act - Rate,Dowry Proh.Act - percentage contribution to All India percentage contribution to All India,Total - Incidence,Total - Rate,Total - percentage contribution to All India
1,Andhra Pradesh,733.6,947,1.3,6.2,730,1,4.7,520,0.7,8.7,3870,5.3,10.6,2899,4,9.4,1023,1.4,17.7,6,0,7.7,0,0,0,613,0.8,7.4,0,0,0,149,0.2,5.5,10757,14.7,8.9
2,Arunachal Pradesh,10.9,43,3.9,0.3,23,2.1,0.1,0,0,0,1,0.1,0,37,3.4,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,9.5,0.1
3,Assam,252.8,717,2.8,4.7,1113,4.4,7.1,22,0.1,0.4,775,3.1,2.1,686,2.7,2.2,34,0.1,0.6,0,0,0,0,0,0,20,0.1,0.2,0,0,0,40,0.2,1.5,3407,13.5,2.8
4,Bihar,952.4,1457,1.5,9.5,968,1,6.2,761,0.8,12.7,974,1,2.7,612,0.6,2,48,0.1,0.8,9,0,11.5,0,0,0,21,0,0.3,0,0,0,1038,1.1,38.7,5888,6.2,4.9
5,Goa,14.6,15,1,0.1,5,0.3,0,3,0.2,0,8,0.5,0,15,1,0,7,0.5,0.1,0,0,0,0,0,0,134,9.2,1.6,0,0,0,0,0,0,187,12.8,0.2
6,Gujarat,464.2,375,0.8,2.4,973,2.1,6.2,87,0.2,1.4,3183,6.9,8.7,1077,2.3,3.5,90,0.2,1.6,8,0,10.3,0,0,0,5,0,0.1,11,0,15.1,0,0,0,5809,12.5,4.8
7,Haryana,190.2,373,2,2.4,291,1.5,1.9,267,1.4,4.4,533,2.8,1.5,546,2.9,1.8,287,1.5,5,9,0,11.5,0,0,0,7,0,0.1,0,0,0,1,0,0,2314,12.2,1.9
8,Himachal Pradesh,62.3,129,2.1,0.8,130,2.1,0.8,12,0.2,0.2,221,3.5,0.6,288,4.6,0.9,18,0.3,0.3,1,0,1.3,0,0,0,1,0,0,0,0,0,1,0,0,801,12.9,0.7
9,jammu & Kashmir,92.6,166,1.8,1.1,588,6.3,3.8,12,0.1,0.2,7,0.1,0,425,4.6,1.4,319,3.4,5.5,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0.1,1523,16.4,1.3
10,Karnataka,502.9,244,0.5,1.6,358,0.7,2.3,195,0.4,3.2,1450,2.9,4,1405,2.8,4.6,147,0.3,2.5,11,0,14.1,0,0,0,1645,3.3,19.8,0,0,0,224,0.4,8.3,5679,11.3,4.7
