SI.No.,States/UTs,Murder,Attempt to Commit Murder,C.H. Not Amounting to Murder,Rape,Kidnapping & Abduction - Total,Kidnapping & Abduction - of Women & Girls,Kidnapping & Abduction - of others,Dacoity,Preparation and Assembly for Dacoity,Robbery,Burglary,Theft,Riots,Criminal Breach of Trust,Cheating,Counterfeiting,Arson,Hurt,Dowry Deaths,Molestation,Sexual Harassment,Cruelty by Husband and Relatives,Others IPC Crimes,Total Cognizable Crimes Under IPC
1,Andhra Pradesh,90.56,93.66,94.78,98.23,85.31,84.27,87.44,71.24,100,70.78,57.56,71.42,91.09,74.85,68.34,23.48,72.14,98.18,97.21,97.41,99.58,97.29,90.49,87.19
2,Arunachal Pradesh,60.49,64.86,66.67,83.67,50.98,51.43,50,34.88,100,43.94,46.2,51.2,78.95,48.89,66.67,66.67,62.5,72.54,NA,84.85,NA,0,63.99,59.92
3,Assam,65.06,53.36,66.67,73.45,59.03,59.28,57.38,39.43,80,38.3,30.59,38.79,66.45,50.82,56.18,61.9,31.76,66.98,65.71,78.25,73.91,82.48,68.15,55.42
4,Bihar,76.15,87.5,71.01,87.46,80.41,80.63,80.23,60.87,89,56.95,34.95,44.11,86.63,78.37,79.71,61.29,61.61,90.57,91.29,89.48,79.49,87.64,80.86,73.78
5,Goa,76.32,100,83.33,66.67,25,50,0,33.33,NA,33.8,15.34,23.69,62.63,46.88,46.15,0,36.36,76.61,100,82.35,62.5,37.5,76.5,47.92
6,Gujarat,83.7,93.29,100,93.09,79.16,79.48,77.84,56.23,100,57.51,31.17,31.49,87.99,79.46,73,5.41,66.92,96.44,89.89,97.67,91.14,96.82,90.93,78.31
7,Haryana,86.17,93.73,90.91,98.47,89.26,95.12,79.34,60.42,100,67.46,44.99,49.93,96.41,82.86,85.11,12.5,72.95,96.33,97.07,95.07,96.73,94.74,89.18,79.87
8,Himachal Pradesh,84.35,98.65,100,97.48,79.01,87.69,43.75,50,NA,75,30.96,33.11,99.62,89.74,76.83,28.57,59.79,98.79,100,99.31,93.33,99.49,93.93,85.38
9,Jammu & Kashmir,16.36,51.72,92.31,92.59,74.85,78.3,48.28,33.33,NA,29.11,13.12,50.73,85.46,81.69,82.25,62.5,7.59,96.94,100,91.32,98.99,100,85.09,63.53
10,Karnataka,80.35,91.69,85.42,92.89,80.95,86.73,75.89,62.64,100,52.62,26.06,32.82,90.08,57.11,44.95,48.48,61.58,93.35,99.23,97.47,97.18,96.76,87.88,75.53
11,Kerala,91.47,97.67,99.11,97.77,89.47,94.92,77.36,90.59,100,73.02,34.41,51.87,96.07,88.93,84.23,47.62,52.58,98.35,100,98.13,100,96.8,93.9,89.81
12,Madhya Pradesh,89.76,95.88,97.54,97.66,86.36,86.95,83.52,73.89,98.91,66.86,34.06,36.32,94.88,87.13,83.69,10.81,80.15,98.02,98.49,99.01,99.6,98.58,92.88,81.28
13,Maharashtra,83.8,92.65,95.79,97.63,81.05,84.19,74.77,63.43,89.34,52.71,32.2,33.15,94.31,80.63,72.38,16.36,65.41,96.55,98.72,98.18,99.14,99.55,87.97,71.66
14,Manipur,8,1.94,0,8.33,3.7,3.85,3.51,4.76,NA,9.76,8.26,6.17,0,7.41,9.41,37.5,1.75,1.45,NA,0,NA,0,3.65,4.6
15,Meghalaya,57.5,56.52,62.5,84.21,76.47,70,85.71,74.24,NA,55.38,17.26,43.24,42.42,50,63.64,40,47.83,72.87,NA,70.59,NA,100,65.92,53.81
16,Mizoram,93.33,92.86,100,92.31,100,NA,100,66.67,NA,92.31,71.69,78.97,100,100,87.5,100,62.5,86.89,NA,100,NA,NA,96.26,84.12
17,Nagaland,17.97,38.89,50,93.75,44.12,50,37.5,42.11,NA,31.73,40.37,50.53,28.57,64.71,66.67,NA,50,78.26,NA,100,NA,NA,56.02,46.32
