SI.No,States,District,Murder,Attempt to Commit Murder,C.H. Not Amounting to Murder,Rape,Kidnapping & Abduction - Total,Kidnapping & Abduction - of Women & Girls,Kidnapping & Abduction - of others,Dacoity,Preparation and Assembly for Dacoity,Robbery,Burglary,Theft,Riots,Criminal Breach of Trust,Cheating,Counterfeiting,Arson,Hurt /Grievous Hurt,Dowry Deaths,Molestation,Sexual Harassment,Cruelty by Husband or Relatives,Others IPC Crimes,Total Cognizable Crimes Under IPC
1,Andhra Pradesh,Adilabad,144,59,21,46,36,12,24,24,0,50,155,279,95,5,49,0,52,889,10,131,4,121,1539,3709
2,Andhra Pradesh,Anantpur,180,0,1,29,72,31,41,35,0,50,235,429,276,17,58,14,0,951,19,134,0,55,1618,4173
3,Andhra Pradesh,Chittoor,131,47,2,34,47,27,20,12,0,25,224,649,187,24,196,23,54,911,13,50,65,179,2562,5435
4,Andhra Pradesh,Cuddapah,122,39,0,17,22,20,2,9,0,7,99,213,109,3,29,3,17,612,4,97,3,35,1192,2632
5,Andhra Pradesh,East Godavari,92,76,3,44,59,9,50,3,0,20,361,818,123,64,147,5,147,1206,13,252,53,182,2105,5773
6,Andhra Pradesh,Guntur,167,122,5,50,95,30,65,19,1,36,304,783,185,46,149,1,58,1811,22,129,88,214,2311,6596
7,Andhra Pradesh,Hyderabad City,100,86,2,36,121,83,38,12,0,69,1410,3068,226,106,869,18,0,830,37,62,0,587,3421,11060
8,Andhra Pradesh,Karimnagar,178,88,11,102,82,49,33,51,3,95,212,369,396,22,226,7,61,1268,58,268,56,389,2149,6091
9,Andhra Pradesh,Khammam,84,26,1,43,31,22,9,6,0,20,153,303,131,20,52,2,51,743,12,116,1,134,1351,3280
10,Andhra Pradesh,Krishna,101,87,0,54,117,75,42,10,0,25,380,1543,120,60,512,10,66,2550,24,217,148,350,2248,8622
11,Andhra Pradesh,Kurnool,200,73,1,35,51,32,19,34,1,32,143,322,135,12,74,7,31,832,12,142,43,61,1369,3610
12,Andhra Pradesh,Mahabob Nagar,193,59,11,52,72,39,33,39,0,52,267,334,192,18,56,3,72,1003,38,164,0,188,2239,5052
13,Andhra Pradesh,Medak,113,48,11,37,39,20,19,48,0,106,454,555,236,20,70,0,98,815,23,80,23,177,1595,4548
14,Andhra Pradesh,Nalgonda,128,58,6,48,55,32,23,22,0,32,183,315,176,20,61,2,18,984,22,151,47,107,2136,4571
15,Andhra Pradesh,Nellore,75,48,5,45,51,42,9,22,2,29,291,518,115,26,86,5,36,1095,9,118,25,84,1364,4049
16,Andhra Pradesh,Nizambad,136,58,17,24,47,18,29,87,1,68,231,294,216,27,99,3,68,1220,24,60,20,204,1146,4050
17,Andhra Pradesh,Prakasham,129,56,3,22,36,22,14,13,1,23,166,326,108,14,63,4,24,804,11,132,61,60,2778,4834
18,Andhra Pradesh,Ranga Reddy,175,67,9,44,65,53,12,31,0,58,663,880,87,52,192,4,144,947,76,69,0,78,2821,6462
