SI.No.,Category,State/UT/City,Murder - Male,Murder - Female,Murder - Total,Attempt to Commit Murder - Male,Attempt to Commit Murder - Female,Attempt to Commit Murder - Total,C. H. Not Amounting to Murder - Male,C. H. Not Amounting to Murder - Female,C. H. Amounting to Murder - Total,Rape - Male,Rape - Female,Rape - Total,Kidnapping & Abuduction - Total - Male,Kidnapping & Abuduction - Total - Female,Kidnapping & Abuduction - Total - Total,Kidnapping & Abuduction - of Women & Girls - Male,Kidnapping & Abuduction - of Women & Girls - Female,Kidnapping & Abuduction - of Women & Girls - Total,Kidnapping & Abuduction - of Others - Male,Kidnapping & Abuduction - of Others - Female,Kidnapping & Abuduction - of Others - Total,Dacoity - Male,Dacoity - Female,Dacoity - Total,Preparation & Assembly For Dacoity - Male,Preparation & Assembly For Dacoity - Female,Preparation & Assembly for Dacoity - Total,Robbery - Male,Robbery - Female,Robbery - Total,Burglary - Male,Burglary - Female,Burglary - Total,Theft - Male,Theft - Female,Theft - Total,Riots - Male,Riots - Female,Riots - Total,Criminal Breach of Trust - Male,Criminal Breach of Trust - Female,Criminal Breach of Trust - Total,Cheating - Male,Cheating - Female,Cheating - Total,Counterfeiting - Male,Counterfeiting - Female,Counterfeiting - Total,Arson - Male,Arson - Female,Arson - Total,Hurt - Male,Hurt - Female,Hurt - Total,Dowry Deaths - Male,Dowry Deaths - Female,Dowry Deaths - Total,Molestation - Male,Molestation -Female,Molestation - Total,Sexual Harassment - Male,Sexual Harassment - Female,Sexual Harassment - Total,Cruelty By Husband And Relatives - Male,Cruelty By Husband And Relatives - Female,Cruelty By Husband And Relatives - Total,Other IPC Crimes - Male,Other IPC Crimes - Female,Other IPC Crimes - Total,Total Cognizable Crimes Under IPC - Male,Total Cognizable crimes under IPC - Female,Total Cognizable Crimes under IPC - Total,Percentage of female to total
1,State,Andhra Pradesh,6862,348,7210,3047,88,3135,225,4,229,1352,24,1376,1401,116,1517,790,82,872,611,34,645,1958,2,1960,38,0,38,1265,1,1266,4420,39,4459,9378,265,9643,22821,938,23759,788,10,798,2016,56,2072,60,0,60,1338,7,1345,44442,2842,47284,799,256,1055,3143,40,3183,1394,8,1402,5634,1239,6873,69204,5465,74669,181585,11748,193333,6.08
2,State,Arunachal Pradesh,97,2,99,41,0,41,2,0,2,54,0,54,75,1,76,60,1,61,15,0,15,96,0,96,3,0,3,85,0,85,160,1,161,400,0,400,102,0,102,34,0,34,22,0,22,0,0,0,13,1,14,254,9,263,0,0,0,52,0,52,0,0,0,1,0,1,632,7,639,2123,21,2144,0.98
3,State,Assam,2317,64,2381,494,6,500,36,0,36,720,3,723,1257,7,1264,987,7,994,270,0,270,1895,2,1897,137,0,137,1230,0,1230,2987,22,3009,6392,62,6454,11602,245,11847,347,5,352,622,2,624,35,0,35,691,10,701,5012,90,5102,46,8,54,733,7,740,25,0,25,654,78,732,9065,163,9228,46297,774,47071,1.64
4,State,Bihar,9866,180,10046,9444,130,9574,935,43,978,1950,14,1964,4270,250,4520,1208,195,1403,3062,55,3117,5326,8,5334,945,0,945,4465,0,4465,3916,26,3942,14673,148,14821,49102,634,49736,1630,27,1657,2459,43,2502,335,4,339,1380,14,1394,14052,444,14496,1542,288,1830,920,7,927,62,0,62,1821,324,2145,92774,1978,94752,221867,4562,226429,2.01
5,State,Goa,54,4,58,33,1,34,10,1,11,24,1,25,10,0,10,7,0,7,3,0,3,37,0,37,0,0,0,103,0,103,298,4,302,389,17,406,795,144,939,40,1,41,44,1,45,2,0,2,35,1,36,284,34,318,2,0,2,21,1,22,10,0,10,8,6,14,987,136,1123,3186,352,3538,9.95
6,State,Gujarat,2947,257,3204,2554,139,2693,13,0,13,525,14,539,1468,182,1650,992,154,1146,476,28,504,1258,10,1268,28,0,28,1467,31,1498,3718,118,3836,8759,427,9186,14268,910,15178,1994,138,2132,2507,124,2631,15,1,16,986,36,1022,30339,2729,33068,140,92,232,1477,19,1496,102,0,102,5915,2365,8280,72111,4790,76901,152591,12382,164973,7.51
7,State,Haryana,1556,80,1636,1290,59,1349,342,12,354,497,6,503,551,39,590,329,36,365,222,3,225,241,0,241,264,2,266,416,0,416,1727,21,1748,3621,54,3675,4178,193,4371,427,8,435,1253,60,1313,12,0,12,527,3,530,13828,521,14349,577,174,751,773,9,782,372,31,403,1287,430,1717,16628,302,16930,50367,2004,52371,3.83
8,State,Himachal Pradesh,246,30,376,152,11,163,10,1,11,200,17,217,130,10,140,99,9,108,31,1,32,21,0,21,0,0,0,94,3,97,478,34,512,404,29,433,2714,532,3246,73,3,76,136,7,143,1,0,1,121,19,140,2217,368,2585,25,15,40,425,17,442,24,2,26,286,125,411,7213,912,8125,14970,2135,17105,12.48
9,State,Jammu & Kashmir,337,25,362,990,18,1008,28,0,28,169,0,169,511,10,521,499,10,509,12,0,12,87,0,87,0,0,0,357,0,357,513,0,513,2550,13,2563,2847,186,3033,80,0,80,226,9,235,6,0,6,106,0,106,742,117,859,32,23,55,651,51,702,334,1,335,45,8,53,9958,997,10955,20569,1458,22027,6.62
10,State,Karnataka,3221,245,3466,3506,138,3644,52,2,54,323,13,336,676,29,705,362,18,380,314,11,325,766,4,770,13,0,13,982,6,988,3232,46,3278,5919,167,6086,37552,2685,40237,412,11,423,1061,49,1110,77,5,82,348,3,351,39271,3168,42439,320,156,476,1854,43,1897,88,0,88,2269,760,3029,48209,3896,52105,150151,11426,161577,7.07
11,State,Kerala,890,48,938,1950,25,1975,169,2,171,780,13,793,352,22,374,234,21,255,118,1,119,411,0,411,17,0,17,361,8,369,2427,23,2450,2890,71,2961,37807,1128,38935,356,16,372,1810,75,1885,45,1,46,435,5,440,26840,1316,28156,45,15,60,1925,11,1936,84,0,84,2252,569,2821,51516,1782,53298,133362,5130,138492,3.7
12,State,Madhya Pradesh,7124,354,7478,9247,216,9463,350,36,386,4564,74,4638,1802,49,1851,1380,48,1428,422,1,423,694,1,695,490,0,490,2406,6,2412,10334,165,10499,14679,389,15068,24581,583,25164,799,12,811,2177,57,2234,9,0,9,2178,26,2204,54504,2567,57071,1118,305,1423,9243,11,9254,964,3,967,5112,1333,6445,143917,3683,147600,296292,9870,306162,3.22
13,State,Maharashtra,5337,624,5961,4528,244,4772,189,38,227,1689,57,1746,1575,140,1715,962,121,1083,613,19,632,3388,60,3448,577,3,580,3465,41,3506,10477,386,10863,21666,998,22664,49269,6036,55305,2384,45,2429,3425,149,3574,100,5,105,1476,43,1519,54879,3945,58824,975,283,1258,3709,15,3724,1051,5,1056,18797,5518,24315,62742,6493,69235,251698,25128,276826,9.08
14,State,Manipur,85,7,92,77,1,78,6,0,6,5,0,5,22,0,22,13,0,13,9,0,9,1,0,1,0,0,0,4,0,4,22,0,22,68,3,71,29,0,29,7,0,7,21,0,21,3,0,3,61,6,67,32,0,32,0,0,0,15,0,15,0,0,0,0,0,0,684,30,714,1142,47,1189,3.95
15,State,Meghalaya,172,5,177,25,0,25,5,1,6,44,0,44,17,1,18,9,1,10,8,0,8,227,0,227,7,0,7,124,0,124,108,0,108,355,2,357,349,4,353,15,0,15,27,0,27,2,0,2,32,1,33,145,2,147,0,0,0,34,0,34,0,0,0,3,0,3,492,2,494,2183,18,2201,0.82
