SL.No.,Year,Total Value of Property - Stolen,Total Value of Property - Recovered,Percentage Recovery
1,1987,34444,8100,23.5
2,1988,33084,9057,27.4
3,1989,33487,11287,33.7
4,1990,41817,11855,28.3
5,1991,59537,17012,28.6
6,1992,64210,17759,26.4
7,1993,136775,21334,15.6
8,1994,86505,20963,24.2
9,1995,106306,25717,24.2
10,1996,99670,28142,28.2
11,1997,131216,33514,25.5
12,Percentage Change in 1997 Over 1987,281,313.8,8.6
