SI.No.,Category,State/UT/City,Murder,Attempt to Commit Murder,C.H. Not Amounting to Murder,Rape,Kidnapping and Abduction - Total,Kidnapping and Abduction - of Women & Girls,Kidnapping and Abduction - of Others,Dacoity,Preaparation and Assembly for Dacoity,Robbery,Burglary,Theft,Riots,Criminal Breach of Trust,Cheating,Counterfeiting,Arson,Hurt/Grievous Hurt,Dowry Deaths,Molestation,Sexual Harassment,Cruelty by Husband and Relatives,Others IPC Crimes,Total Cognizable Crimes Under IPC
1,State,Andhra Pradesh,20,2,1,10,22,11,11,0,0,1,137,202,17,0,1,0,0,83,13,2,2,11,110,634
2,State,Arunachal Pradesh,0,0,0,2,0,0,0,0,0,1,2,7,2,0,0,0,0,2,0,0,0,0,8,24
3,State,Assam,7,1,0,1,1,1,0,0,0,0,29,74,12,1,0,0,0,16,0,0,0,2,21,165
4,State,Bihar,90,19,4,8,2,2,0,7,0,5,48,71,93,0,0,0,1,16,5,10,0,6,154,539
5,State,Goa,0,1,1,0,0,0,0,0,0,0,4,1,1,0,2,0,0,1,0,1,0,0,2,14
6,State,Gujarat,5,2,0,0,2,2,0,0,0,0,24,69,4,2,2,0,3,46,0,0,0,6,49,214
7,State,Haryana,10,4,2,16,8,8,0,2,0,0,21,27,23,3,5,0,1,56,9,8,12,9,46,262
8,State,Himachal Pradesh,0,0,1,4,0,0,0,1,0,0,8,1,6,0,0,0,2,10,0,2,0,0,16,51
9,State,Jammu & Kashmir,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,State,Karnataka,8,2,0,0,3,0,3,0,0,10,80,105,29,0,1,0,0,84,2,0,0,6,61,391
11,State,Kerala,3,0,0,1,0,0,0,0,0,0,22,9,3,0,0,1,0,3,0,1,0,0,10,53
12,State,Madhya Pradesh,89,71,10,60,7,7,0,0,0,8,268,333,69,0,2,0,9,452,6,62,4,32,672,2154
13,State,Maharashtra,35,25,1,18,3,2,1,6,1,16,269,576,96,4,8,0,18,375,0,27,1,63,170,1712
14,State,Manipur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,State,Meghalaya,2,0,0,0,0,0,0,3,0,2,11,10,0,0,0,0,0,0,0,0,0,0,4,32
16,State,Mizoram,0,0,0,8,0,0,0,0,0,0,0,5,0,0,5,0,0,8,0,0,0,0,10,36
17,State,Nagaland,0,2,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,5
