SI.No.,State/UT,Area (In Sqr. Kms),Estimated Mid- Year population ( in 000),Total Cases for Insvestigation (Including Pending Cases From Preious Year) - IPC,Total Cases For insvestigation (Including Pending Cases From Preious Year) - SLL,Total Cases For insvestigation (Including Pending Cases From Preious Year) - Total,Actual Police Strength - Civil,Actual Police Strength - Armed,Actual Police Strength - Total,Percentage of Civil Police to Total Police,Actual Police Strength (of Ranks) - D.G. To A.S.I.,Actual Police Strength (of Ranks) - Head Constable to Constables,Actual Police Strength (of Ranks) - Teeth to Tail Ratio,Actual Police Strength of I.Os. (Insp.+SI+A.S.I. of Civil Police),No. of Policemen per 100 Sqr.Kms. of Area,"No. of Policemen per - 1,000 of Population","No. of Policemen per 1,00,000 of Population",No. of IPC Cases Per Civil policeman,Work Load Of I.Os - IPC,Work Load Of I.Os - SLL,Work Load Of I.Os - Total,Total Police Expenditure (Rs. In Crores),Unit Cost Per Policemen (per Annum)
1,Andhra Pradesh,275045,73361,153161,784583,937744,63059,10701,73760,85.5,6565,67195,4.86E-02,5439,26.8,1,101,2.4,28.2,144.3,172.4,621.26,84227
2,Arunachal Pradesh,83743,1087,2834,69,2903,2922,1366,4288,68.1,563,3725,4.65E-02,467,5.1,3.9,394,1,6.1,0.1,6.2,47.04,109701
3,Assam,78438,25275,73351,7250,80601,28653,20009,48662,58.9,6040,42622,4.65E-02,4849,62,1.9,193,2.6,15.1,1.5,16.6,419.06,86116
4,Bihar,173877,95236,173177,12341,185518,63874,19535,83409,76.6,15192,68217,4.44E-02,13132,48,0.9,88,2.7,13.2,0.9,14.1,562.62,67453
5,Goa,3702,1460,3806,1237,5043,2062,599,2661,77.5,269,2392,4.79E-02,216,71.9,1.8,182,1.8,17.6,5.7,23.3,23.82,89515
6,Gujarat,196024,46421,136031,178716,314747,51807,12389,64196,80.7,3482,60714,5.35E-02,2667,32.7,1.4,138,2.6,51,67,118,509.54,79373
7,Haryana,44212,19023,38171,93350,131521,26210,4575,30785,85.1,3229,27556,4.79E-02,2736,69.6,1.6,162,1.5,14,34.1,48.1,256.68,83378
8,Himachal Pradesh,55673,6233,13334,6957,20291,8013,3678,11691,68.5,1465,10226,4.65E-02,1113,21,1.9,188,1.7,12,6.3,18.2,96.45,82499
9,Jammu & Kashmir,101387,9263,24928,9320,34248,25542,15780,41322,61.8,4188,37134,4.79E-02,3034,40.8,4.5,446,1,8.2,3.1,11.3,240.21,58131
10,Karnataka,191791,50291,150827,1670644,1821471,49563,9502,59065,83.9,5958,53107,4.79E-02,5131,30.8,1.2,117,3,29.4,325.6,355,343.52,58160
11,Kerala,38863,31455,115470,17631,133101,30164,5785,35949,83.9,3257,32692,4.86E-02,2643,92.5,1.1,114,3.8,43.7,6.7,50.4,263.44,73282
12,Madhya Pradesh,443446,76006,215339,256775,472114,56230,27523,83753,67.1,10511,73242,4.65E-02,7220,18.9,1.1,110,3.8,29.8,35.6,65.4,638.85,76278
13,Maharashtra,307713,88270,224613,360423,585036,124107,13093,137200,90.5,16007,121193,4.72E-02,14561,44.6,1.6,155,1.8,15.4,24.8,40.2,1141.58,83206
